,input_chunk_length,training_length,hidden_dim,n_rnn_layers,dropout,batch_size,lr,RMSE,sMAPE,MAPE
0,10,12,11,2,0.005800129696541967,32,0.003259320244847092,0.03445231914520264,4.428097233176231,4.379980266094208
1,6,41,9,1,0.24631839846100215,64,0.004706504115416811,0.029093585908412933,3.5757210105657578,3.552059829235077
2,17,51,8,1,0.09596726097147402,128,0.004616322617928792,0.027626674622297287,3.36013101041317,3.345032036304474
3,4,12,28,1,0.19469800256349884,64,0.002941793667622539,0.029178377240896225,3.613404929637909,3.5825274884700775
4,6,58,14,3,0.0848606402869146,128,0.002911769260352511,0.02654203027486801,3.09344120323658,3.134429454803467
5,5,24,12,2,0.21562384638503315,128,0.0018943418973598018,0.026448210701346397,3.0350513756275177,3.0583053827285767
6,23,44,13,3,0.15016683679919476,128,0.001985593820271315,0.026516489684581757,3.082580864429474,3.121919371187687
7,2,28,17,2,0.1355820807663172,128,0.004928863198923159,0.027826504781842232,3.240703046321869,3.236660361289978
8,10,26,23,2,0.06589457412305569,128,0.003051194484864049,0.02661752700805664,3.0782001093029976,3.0870137736201286
9,18,47,20,2,0.23756479153618992,128,0.0013414238461526464,0.026400800794363022,3.0903926119208336,3.1286153942346573
10,29,51,22,2,0.28568470827788606,256,0.0010425343668268357,0.0265402402728796,3.0583927407860756,3.09977475553751
11,17,31,32,2,0.22103712628482017,32,0.0010349769718536953,0.027350792661309242,3.369128331542015,3.389642760157585
12,22,39,19,2,0.28056136862932335,256,0.0017264421847243633,0.026463044807314873,3.047456219792366,3.0790694057941437
13,12,21,25,2,0.18297642467303482,128,0.002046430795567003,0.027350205928087234,3.2791461795568466,3.2699808478355408
14,21,47,17,2,0.24321107405381825,128,0.0017655579609032154,0.026615360751748085,3.0894413590431213,3.1109418720006943
15,28,54,15,3,0.1946760123362851,128,0.002396596075193335,0.02638692408800125,3.032117336988449,3.0614005401730537
16,31,60,16,3,0.15323269752953084,64,0.0025196362058901045,0.052894435822963715,5.878167599439621,5.715443938970566
17,27,55,20,3,0.2574066118269621,32,0.0040334325338640745,0.042304567992687225,5.014517158269882,4.948855563998222
18,26,53,25,3,0.17843931320917378,256,0.0036425117652903066,0.02651328220963478,3.0722029507160187,3.108031675219536
19,19,36,15,3,0.1258706213151708,128,0.002307015835754806,0.026499994099140167,3.077314794063568,3.115997649729252
20,14,62,19,3,0.20781837905675038,128,0.0013465317913399564,0.02725490741431713,3.3483989536762238,3.3444926142692566
21,24,47,12,2,0.22266474842770254,128,0.0015654586784082016,0.026401568204164505,3.0256999656558037,3.05157620459795
22,25,47,11,2,0.23632038717509232,128,0.0015827624410814911,0.026697274297475815,3.1250640749931335,3.1672418117523193
23,31,50,17,1,0.2992569191691928,128,0.0025093494029251786,0.026617219671607018,3.1376756727695465,3.1519759446382523
24,24,46,10,2,0.2632189067319678,128,0.0014064840423317691,0.026460738852620125,3.0385801568627357,3.0747486278414726
25,21,56,14,3,0.1730261447536297,128,0.002290033845663903,0.026456624269485474,3.062833286821842,3.099333308637142
26,19,43,22,2,0.2232698017853682,64,0.0013355288674818833,0.02984105423092842,3.8206178694963455,3.781135007739067
27,28,49,19,2,0.1912008888759273,256,0.002646731427808724,0.02664025127887726,3.08510921895504,3.1180256977677345
28,15,34,13,1,0.16738804760849818,128,0.0021713203021450126,0.026469646021723747,3.0960775911808014,3.116559237241745
29,19,54,10,3,0.03110616394172097,32,0.003428374955645446,0.05006258562207222,4.57448847591877,4.516296461224556
30,29,57,15,2,0.20161322609096546,32,0.0015677835564519432,0.02791471965610981,3.2829824835062027,3.302716463804245
31,11,19,12,2,0.22191275472245284,128,0.0017795733747866705,0.026455745100975037,3.056957758963108,3.090437687933445
32,8,39,8,2,0.2601015360783236,128,0.0019204594295111248,0.026338700205087662,3.0625425279140472,3.0851785093545914
33,7,39,8,2,0.2590676027496725,128,0.0012318968771123156,0.027034860104322433,3.2529134303331375,3.3106129616498947
34,25,41,8,1,0.24482260135928152,64,0.0016212030881533254,0.026854757219552994,3.1953752040863037,3.2073475420475006
35,13,43,10,2,0.27344696125913415,128,0.0027363895484289824,0.02642170712351799,3.029154986143112,3.0610213056206703
36,9,34,11,2,0.23514187748995258,128,0.002057271734889196,0.026647396385669708,3.1132616102695465,3.1543537974357605
37,17,37,9,1,0.2010826179547923,128,0.001177299304327007,0.02679399400949478,3.169330209493637,3.193211182951927
38,23,45,12,3,0.11817451005579574,128,0.002398046915400496,0.02645367942750454,3.0602626502513885,3.0960513278841972
39,4,7,28,2,0.2983363613213914,64,0.0019508283192672274,0.030307123437523842,3.918718174099922,3.860243409872055
40,2,31,14,2,0.23105171703705663,128,0.003118320569075641,0.026426950469613075,3.023962117731571,3.049376606941223
41,13,43,10,2,0.2820720767059634,128,0.002763639121489188,0.0264210794121027,3.029005602002144,3.0608516186475754
42,9,49,9,2,0.27249858343772576,128,0.002850114923789665,0.02628474310040474,3.0236082151532173,3.0500009655952454
43,8,51,9,2,0.24937551387115994,128,0.0032985243266492373,0.02630784548819065,3.0389806255698204,3.069521486759186
44,8,52,8,2,0.2654371337192569,128,0.003360465934136075,0.026890872046351433,3.1585372984409332,3.193085640668869
45,6,49,9,2,0.25021121367967686,128,0.0037643766531397474,0.026298964396119118,3.0374355614185333,3.0675049871206284
46,6,59,9,2,0.27170529585859965,128,0.00390910639170337,0.026328563690185547,3.050653263926506,3.0834050849080086
47,6,59,9,2,0.289227440743535,256,0.004093282630717868,0.026309609413146973,3.0395446345210075,3.0694250017404556
48,4,59,9,2,0.29113620243338223,256,0.004109695331730291,0.0263057854026556,3.039620816707611,3.069416433572769
49,4,62,9,2,0.28958247658577224,256,0.00441217901999511,0.02633439376950264,3.0510295182466507,3.083442337810993
