,input_chunk_length,training_length,hidden_dim,n_rnn_layers,dropout,batch_size,lr,RMSE,sMAPE,MAPE
0,24,61,16,3,0.24507602055348365,64,0.0027158425734625045,0.026494963094592094,3.0753184109926224,3.113759495317936
1,10,13,32,3,0.09093233314080836,64,0.004156672972848349,0.03098909743130207,3.9722908288240433,3.9178110659122467
2,21,25,21,3,0.005829562701378776,64,0.0022678814864239413,0.03426584601402283,4.670912027359009,4.571591317653656
3,19,45,26,1,0.2878183345285462,128,0.0019025503408394541,0.02691700868308544,3.1165292486548424,3.1515922397375107
4,16,22,13,2,0.1352543589763715,32,0.0027457082253258764,0.029468515887856483,3.614185005426407,3.6039449274539948
5,23,25,31,3,0.012780526630195877,128,0.00493435041053762,0.028345946222543716,3.393355756998062,3.433198854327202
6,17,47,22,2,0.2645355896320344,256,0.0023842778726034996,0.02661946974694729,3.100377880036831,3.144453838467598
7,5,55,14,1,0.03350904389813612,64,0.0019021853977939773,0.02707413025200367,3.1360704451799393,3.1620878726243973
8,14,32,9,2,0.23412818947043057,32,0.004882848203611416,0.028393248096108437,3.4064244478940964,3.4202415496110916
9,4,40,11,1,0.2204064002311663,64,0.0015761594690997488,0.03186824172735214,4.044239968061447,4.02609184384346
10,31,62,17,3,0.1764083195326539,256,0.0035220947110782552,0.026514459401369095,3.0796214938163757,3.1185755506157875
11,31,62,16,3,0.1784663078485493,256,0.0034500438947700916,0.026478949934244156,3.0692676082253456,3.1068164855241776
12,31,62,17,3,0.18488960203235535,256,0.0033811161018736198,0.026526713743805885,3.0835911631584167,3.123125247657299
13,26,54,17,3,0.12033225449616956,256,0.003241660919282008,0.026407599449157715,3.03470678627491,3.0643589794635773
14,27,55,24,3,0.10707005277827063,256,0.0039044262387741327,0.026387792080640793,3.033083863556385,3.0628060922026634
15,25,53,26,3,0.0949531204852467,256,0.004283388979084133,0.026475636288523674,3.049950487911701,3.0782142654061317
16,27,55,25,3,0.09423690569550629,256,0.004014348423373744,0.02654910646378994,3.070566803216934,3.1052278354763985
17,28,50,23,3,0.13103341979975447,256,0.003111909359167081,0.02681492082774639,3.114209696650505,3.142336383461952
18,11,40,19,2,0.05862364408679458,256,0.0011115758030878823,0.026570409536361694,3.0764343217015266,3.1131695955991745
19,27,57,28,1,0.06046786565445213,32,0.0038376668312753355,0.06778928637504578,8.109594881534576,7.8949131071567535
20,20,45,19,3,0.15089041751276286,128,0.004395375059638967,0.027557868510484695,3.289322555065155,3.3086933195590973
21,24,50,28,3,0.10003822315854205,256,0.004309530058981888,0.02653696946799755,3.0901525169610977,3.131064400076866
22,26,51,24,3,0.11385067941644517,256,0.004598853879654624,0.02645116299390793,3.0600905418395996,3.0960813164711
23,28,58,24,3,0.11332015174865506,256,0.004619957451990418,0.026377243921160698,3.0278051272034645,3.055841475725174
24,29,58,21,3,0.06474642436985323,256,0.0037556489518670816,0.030261248350143433,3.8272924721240997,3.806718811392784
25,22,58,29,3,0.15245109603189774,256,0.003029992930301203,0.026679007336497307,3.119553066790104,3.162417933344841
26,29,54,19,3,0.11884695666014274,256,0.004690116043851978,0.02641458436846733,3.037491627037525,3.068823926150799
27,18,36,23,3,0.0741185642600487,256,0.0037078843458145205,0.02740003727376461,3.2491177320480347,3.306174650788307
28,22,48,26,1,0.19784511594089604,32,0.0032131259914896567,0.057538483291864395,8.007059246301651,7.621659338474274
29,25,59,15,2,0.04661898351517521,128,0.0028034259779878565,0.026963183656334877,3.1509701162576675,3.1796425580978394
30,24,52,20,3,0.14077368680478547,256,0.004568960245571912,0.026417778804898262,3.0464602634310722,3.0795933678746223
31,29,55,18,3,0.11778540103462992,256,0.004595789782987347,0.026544352993369102,3.091091848909855,3.1315401196479797
32,29,60,21,3,0.11490004535122023,256,0.003996272507407741,0.028286239132285118,3.4155160188674927,3.4346837550401688
33,27,54,24,3,0.08434940558760445,256,0.004726555470480079,0.02648060768842697,3.070009872317314,3.107623942196369
34,29,57,12,3,0.1630559546943815,64,0.004148953233132707,0.026433438062667847,3.0485842376947403,3.081841953098774
35,7,12,19,3,0.11897002106801122,256,0.004954695319755431,0.027371052652597427,3.2586921006441116,3.3226650208234787
36,20,44,22,3,0.12938179505982345,128,0.004392504524361524,0.026505695655941963,3.07907797396183,3.1177176162600517
37,26,48,16,3,0.08022629308842905,256,0.002506670728978806,0.026380106806755066,3.0289502814412117,3.057311661541462
38,1,6,15,1,0.02240688717476233,64,0.0023101725000970485,0.027210284024477005,3.183629736304283,3.191790357232094
39,15,48,30,2,0.07640357178767816,32,0.0025576452815604203,0.044409770518541336,6.1870332807302475,6.06767050921917
40,23,41,8,3,0.04492999108752606,256,0.0020745667187827567,0.026365699246525764,3.025115840137005,3.0523478984832764
41,23,41,8,3,0.04212197651849567,256,0.0018970334529063038,0.026363855227828026,3.0238140374422073,3.050598129630089
42,23,41,8,3,0.0004699210712276261,256,0.0017021379372386804,0.026365457102656364,3.028113767504692,3.056716173887253
43,22,37,9,3,0.007630272842054562,256,0.0019715181028642894,0.0264266487210989,3.0454490333795547,3.077862970530987
44,23,42,8,3,0.035998669515764824,256,0.0017090279377654915,0.02636473812162876,3.024541772902012,3.0516797676682472
45,18,42,8,3,0.03404437906050303,64,0.0015966505463152019,0.026384690776467323,3.0332274734973907,3.063076362013817
46,23,36,10,2,0.0021949819955489613,256,0.002019231032975715,0.026413924992084503,3.031960129737854,3.0541984364390373
47,20,31,8,3,0.02315883986379932,128,0.0015478198549599836,0.02647203579545021,3.070988692343235,3.108604811131954
48,17,32,11,1,0.03842822753656224,256,0.0012896132414428798,0.02659497782588005,3.074188157916069,3.1084787100553513
49,21,39,10,3,0.018342885542809412,256,0.00212241160940734,0.026412298902869225,3.0409539118409157,3.0724387615919113
