,in_len,out_len,hidden_size,lstm_layers,num_attention_heads,dropout,hidden_continuous_size,batch_size,lr,RMSE,sMAPE,MAPE,type
0,12,30,14,3,8,0.07867948329969801,10,128,0.0025138645194321503,0.026586635038256645,3.108516149222851,3.143405541777611,30
1,2,10,31,1,7,0.12180384713203538,10,256,0.0019362664970858016,0.028064727783203125,3.496164456009865,3.564055636525154,30
2,16,6,21,3,4,0.028751682068009307,9,256,0.00347009244826762,0.026464227586984634,3.144090250134468,3.17780040204525,30
3,20,9,28,1,5,0.0949914484060382,6,32,0.004626625514570374,0.04435646906495094,5.881600454449654,5.6685250252485275,30
4,8,26,13,3,2,0.18519051348126875,10,128,0.003844831332621667,0.027761170640587807,3.2520633190870285,3.249090537428856,30
5,19,3,19,1,4,0.21380962116806027,7,64,0.0028801102962475794,0.027506012469530106,3.362862393260002,3.4278608858585358,30
6,13,27,29,1,2,0.252799094397675,8,256,0.0037741349778714142,0.026829181239008904,3.2043997198343277,3.2612644135951996,30
7,26,25,14,2,2,0.10329128224839364,7,32,0.0027695524855608456,0.05143038183450699,6.925936043262482,6.672783195972443,30
8,15,30,21,2,8,0.14403303557279698,6,64,0.0018840028747173151,0.026501204818487167,3.1645208597183228,3.1685806810855865,30
9,17,29,31,3,4,0.16419836860009132,8,32,0.0032652060490814803,0.03280472755432129,4.305749014019966,4.278088361024857,30
10,31,17,8,3,6,0.013839643129227586,9,256,0.004855077836586309,0.026572806760668755,3.092619404196739,3.1217413023114204,30
11,23,18,22,2,4,0.012152021205096453,6,64,0.0010743068323152572,0.028584644198417664,3.3695559948682785,3.3669166266918182,30
12,10,1,21,2,8,0.05229547175757457,9,64,0.0018227453276824597,0.02747860923409462,3.2962296158075333,3.267393261194229,30
13,5,21,25,2,6,0.2977946880442116,9,256,0.0011301233064383992,0.027667628601193428,3.3928822726011276,3.4564323723316193,30
