,in_len,out_len,hidden_size,lstm_layers,num_attention_heads,dropout,hidden_continuous_size,batch_size,lr,RMSE,sMAPE,MAPE,type
0,1,4,17,3,3,0.17466481538721304,6,32,0.0015162845981010874,0.026649871841073036,3.0725860968232155,3.1033791601657867,30
1,10,19,24,3,2,0.23306823822000325,9,64,0.0019156132742178525,0.02823619730770588,3.497133031487465,3.5801447927951813,30
2,15,3,8,3,5,0.27510476553738883,8,256,0.004577416009202833,0.026396960020065308,3.030179440975189,3.0559342354536057,30
3,7,26,30,2,5,0.016411688083604926,10,128,0.0019064029085474332,0.02895817719399929,3.5777591168880463,3.5475406795740128,30
4,30,12,25,1,5,0.09986931539558154,7,256,0.0038609171057026716,0.026471436023712158,3.0344773083925247,3.0574243515729904,30
5,10,26,15,2,8,0.052307221748980455,7,64,0.0037042963734773018,0.03134804219007492,4.005462676286697,3.9411984384059906,30
6,28,17,17,3,7,0.09502747465482508,7,128,0.0049129556425001,0.029132263734936714,3.4454748034477234,3.4365247935056686,30
7,22,10,32,2,7,0.24555023114919794,7,128,0.0029509807319479018,0.02672862447798252,3.087599389255047,3.0948765575885773,30
8,9,13,20,3,4,0.12937770189085948,10,128,0.001619993474394807,0.02646501548588276,3.0275916680693626,3.050014190375805,30
9,25,21,9,3,5,0.25483003488988354,6,128,0.003942871365869623,0.02666538394987583,3.08506041765213,3.1228598207235336,30
10,18,1,8,1,6,0.29270810446616163,9,256,0.00483724958016061,0.027735719457268715,3.4251730889081955,3.499758243560791,30
11,15,8,12,3,3,0.16807272898577585,9,256,0.002599646754472772,0.026505712419748306,3.047472983598709,3.064890019595623,30
12,15,5,22,3,4,0.12478631891633432,10,32,0.0011033846969417992,0.027536122128367424,3.2633882015943527,3.307483345270157,30
13,4,14,27,3,4,0.20227400790867506,8,256,0.002460556362979939,0.026692796498537064,3.091980330646038,3.137633204460144,30
14,11,1,20,3,4,0.29186207461354724,8,128,0.003376872573057852,0.026800071820616722,3.0862342566251755,3.0900439247488976,30
15,19,30,12,1,6,0.11980076748550389,9,256,0.004322560178631946,0.026631783694028854,3.0582910403609276,3.0938517302274704,30
16,13,7,20,3,2,0.20896460957791194,10,32,0.0010591732203934653,0.028257466852664948,3.4216567873954773,3.3953409641981125,30
17,5,13,12,3,3,0.05936190118712378,8,64,0.0031564833486578247,0.026768753305077553,3.0894244089722633,3.118230029940605,30
18,21,22,15,1,6,0.15154037842904594,8,256,0.004448520345309877,0.026646262034773827,3.0739881098270416,3.1147651374340057,30
19,8,16,28,2,4,0.18928464691954636,9,128,0.0023338535103866486,0.027994634583592415,3.349221870303154,3.3418089151382446,30
20,1,10,10,3,7,0.14231875620855583,10,256,0.0018755417419182045,0.026730172336101532,3.081582486629486,3.0920593068003654,30
21,28,11,25,1,5,0.08009006660088452,7,256,0.0040627374153080955,0.026584656909108162,3.0500754714012146,3.063584864139557,30
22,30,13,23,1,5,0.09338208702247702,7,256,0.0035083950435459404,0.027026046067476273,3.172330930829048,3.2114751636981964,30
23,17,5,26,1,6,0.022129063109182015,6,256,0.004506399183853411,0.026344195008277893,3.044230118393898,3.078239969909191,30
24,13,4,28,1,6,0.003573124537304625,6,256,0.004479952538866483,0.026713810861110687,3.081430494785309,3.105436824262142,30
25,17,7,18,1,8,0.030746236332259383,6,128,0.002832719742002166,0.02738318219780922,3.2006654888391495,3.1903214752674103,30
26,22,3,31,3,4,0.044307718070233544,8,32,0.004257058672603323,0.028041258454322815,3.304118663072586,3.3046789467334747,30
27,13,8,22,3,6,0.2735649859144961,9,64,0.004649075223634345,0.02692565508186817,3.161812946200371,3.169286623597145,30
28,20,2,15,1,7,0.06487531441551445,10,256,0.0015327116960488732,0.026787806302309036,3.1310848891735077,3.167130798101425,30
29,15,5,19,2,3,0.22192016912062273,6,32,0.004969414718164161,0.027242343872785568,3.239169716835022,3.296031430363655,30
30,7,6,27,3,5,0.1567483785350688,8,128,0.0021922374596653254,0.02713736519217491,3.1806200742721558,3.181123733520508,30
31,25,11,25,1,5,0.12899198842252024,7,256,0.003885904839925368,0.02659805677831173,3.0587080866098404,3.0732769519090652,30
32,24,17,26,1,5,0.09824807314925822,6,256,0.004653772791298789,0.02666100114583969,3.120918571949005,3.154890611767769,30
