,input_chunk_length,training_length,hidden_dim,n_rnn_layers,dropout,batch_size,lr,RMSE,sMAPE,MAPE
0,22,61,26,1,0.08300434265508871,32,0.004572266742898408,0.05142299458384514,6.394590437412262,6.271573901176453
1,1,45,27,3,0.16817349923109864,128,0.0026512663098802363,0.027317466214299202,3.2695841044187546,3.2718025147914886
2,14,39,26,3,0.27112159502291044,32,0.003579499628225014,0.046630311757326126,5.667979270219803,5.567945167422295
3,22,29,9,2,0.1408218772838408,64,0.0028835934607252065,0.02771497145295143,3.231055662035942,3.2554224133491516
4,10,30,13,3,0.11715225564826619,32,0.0038402745087712416,0.03951447829604149,4.7990381717681885,4.710868000984192
5,19,32,18,2,0.016588811615627728,256,0.0017069990724913925,0.02686825394630432,3.1867969781160355,3.1973689794540405
6,6,11,21,2,0.08732542472923875,64,0.002573822315783651,0.028842059895396233,3.5088643431663513,3.482998162508011
7,18,47,23,1,0.11768556990663817,128,0.0010003800685836697,0.027537960559129715,3.3095326274633408,3.3127151429653168
8,6,49,23,2,0.2759952551305822,64,0.004614179103058711,0.03745996206998825,4.425203427672386,4.399481788277626
9,26,59,13,1,0.2914067420812426,64,0.0029704711283048283,0.028729666024446487,3.449241816997528,3.470458462834358
10,26,35,31,2,0.002053548185755205,256,0.0014327933763472768,0.027259614318609238,3.2598543912172318,3.2621297985315323
11,31,33,32,2,0.00140224743067041,256,0.001474662934367671,0.027027102187275887,3.1669147312641144,3.1804893165826797
12,31,37,17,2,0.014436024312403704,256,0.0018152090239281313,0.031161051243543625,4.156949743628502,4.094007983803749
13,31,32,18,2,0.03684603682916296,256,0.0019621360164992947,0.02717074193060398,3.2539308071136475,3.25014628469944
14,16,23,30,2,0.05337711358207113,256,0.002072175777661621,0.028218785300850868,3.4347154200077057,3.440947085618973
15,26,41,15,2,0.19584254333191117,256,0.0010861828183606587,0.029845353215932846,3.895203396677971,3.999752551317215
16,21,24,8,2,0.05453011152601732,256,0.001604407419856502,0.02649526484310627,3.0434053391218185,3.0638720840215683
17,20,24,8,2,0.07206098040921256,256,0.002314003922759099,0.02667057327926159,3.098592348396778,3.122130036354065
18,13,18,8,1,0.06657223428523291,256,0.002263364145330118,0.027770966291427612,3.3834077417850494,3.3838316798210144
19,22,55,11,3,0.21871375505052904,128,0.0032984201580517625,0.02725462056696415,3.177450969815254,3.170492500066757
20,20,25,10,2,0.11381645452699464,256,0.0024398068004313845,0.02734958752989769,3.249271959066391,3.242037445306778
21,18,25,13,2,0.03643976424737172,256,0.0015503972408404019,0.027023769915103912,3.2161716371774673,3.215176612138748
22,24,29,11,2,0.031917042338693746,256,0.001767588297951235,0.02641468122601509,3.0389586463570595,3.0661238357424736
23,24,28,8,2,0.0841657090445894,256,0.002158823627677693,0.02666424587368965,3.1131500378251076,3.1429804861545563
24,28,42,11,2,0.0439151922629572,256,0.001299316071332904,0.026428798213601112,3.030604124069214,3.0596304684877396
25,28,42,11,2,0.04360188793304043,256,0.001338352262406936,0.026434730738401413,3.0328508466482162,3.06161530315876
26,28,43,11,2,0.03354917352733541,256,0.001282065169797975,0.026399342343211174,3.021928109228611,3.047996573150158
27,27,51,15,2,0.02388091362289354,128,0.001131058335111427,0.02761159837245941,3.4372135996818542,3.5070449113845825
28,29,45,15,1,0.10336795603451222,32,0.001231022991944376,0.04121561720967293,5.908224731683731,5.730000138282776
29,23,53,12,3,0.13829953239396456,32,0.0018011233654248078,0.04629158601164818,4.699200764298439,4.580504819750786
