,input_chunk_length,training_length,hidden_dim,n_rnn_layers,dropout,batch_size,lr,RMSE,sMAPE,MAPE
0,30,42,25,2,0.09285541709411262,32,0.0021661553923553135,0.06668830662965775,8.581782132387161,8.457296341657639
1,27,57,8,2,0.14765656432276109,256,0.003966548455510976,0.026726821437478065,3.1516067683696747,3.199463337659836
2,15,16,12,3,0.07943257139120884,64,0.004190127163868962,0.031293243169784546,3.5744130611419678,3.5717569291591644
3,16,51,8,3,0.10584668479659583,256,0.003697320624954901,0.026432598009705544,3.037751279771328,3.0677711591124535
4,10,45,12,1,0.2340536324442502,256,0.0015730227189497082,0.026246899738907814,3.1218672171235085,3.1545333564281464
5,17,45,9,1,0.11658814192424122,32,0.0010066776097961414,0.02625647373497486,3.052389994263649,3.0629051849246025
6,13,15,31,2,0.2479143517552669,64,0.003216103248725705,0.033577967435121536,4.4746194034814835,4.372061043977737
7,8,19,20,3,0.20452187261248247,256,0.0010653147241044781,0.026380334049463272,3.0138513073325157,3.03749181330204
8,24,44,27,1,0.1946855853830882,64,0.002210899710378805,0.02822689153254032,3.3565394580364227,3.3377371728420258
9,29,45,29,1,0.05119258912382169,64,0.0020166635697567038,0.03729746863245964,4.7570932656526566,4.644260928034782
10,1,30,17,1,0.2965159886851876,128,0.004725826936202672,0.026962867006659508,3.1495988368988037,3.153277561068535
11,21,37,13,1,0.017004435995639805,32,0.0012130357818944924,0.03517689183354378,4.503126442432404,4.41691130399704
12,7,62,14,1,0.16884006820064562,32,0.0016028181463034017,0.03576507419347763,4.671391472220421,4.6042826026678085
13,10,25,11,1,0.23824903976634326,128,0.0027561441871547174,0.027233196422457695,3.257685899734497,3.2529249787330627
14,21,51,17,1,0.1396645615767012,256,0.0014882116594810394,0.027670038864016533,3.2681986689567566,3.27087864279747
15,4,34,17,1,0.2982077737833409,32,0.0016959100502337387,0.03159678727388382,4.04825322329998,3.9853431284427643
16,19,50,22,1,0.2377991715233005,32,0.002764096774301648,0.03767043724656105,5.032104998826981,4.9014657735824585
17,12,41,11,1,0.11943718732344885,256,0.0010071834664132418,0.028288479894399643,3.4766536206007004,3.553372249007225
18,17,48,15,3,0.19722375340330522,128,0.002425787949237162,0.026807446032762527,3.1822871416807175,3.2105349004268646
19,6,57,9,2,0.05568864874076808,256,0.0017661980800571411,0.026539811864495277,3.1084951013326645,3.1512051820755005
20,11,32,21,1,0.26530264561310907,32,0.0013792240388615516,0.028717610985040665,3.499848395586014,3.4708552062511444
21,8,24,23,3,0.19942909472940343,256,0.00105645113048852,0.02661038376390934,3.1162019819021225,3.159947320818901
