,input_chunk_length,training_length,hidden_dim,n_rnn_layers,dropout,batch_size,lr,RMSE,sMAPE,MAPE
0,16,38,32,3,0.18626728910857662,32,0.0019319446441055429,0.05169132724404335,6.7115940153598785,6.409800052642822
1,23,49,15,3,0.2977802570729731,32,0.00187757601906534,0.02643587812781334,3.02673876285553,3.0420172959566116
2,18,47,13,3,0.2204404737405018,256,0.004838582229220376,0.02659129910171032,3.1062282621860504,3.1488101929426193
3,26,59,11,2,0.025230184020023437,256,0.0026418074421496844,0.026463409885764122,3.0522800981998444,3.0839357525110245
4,19,34,15,1,0.22752372761528672,256,0.004783953925861934,0.027125457301735878,3.1892728060483932,3.204648569226265
5,7,21,10,1,0.28772517849162166,256,0.004562024654488406,0.026773547753691673,3.123161382973194,3.1520385295152664
6,4,26,25,2,0.2225076290273341,128,0.001351087536584842,0.02646237052977085,3.044978901743889,3.076530806720257
7,18,21,22,3,0.27950418507814756,64,0.0037441873923357064,0.02899961918592453,3.6179687827825546,3.6487821489572525
8,3,49,32,1,0.05854983191299433,128,0.004643425770111016,0.027949834242463112,3.332788497209549,3.3197205513715744
9,16,34,24,1,0.09919163264348736,64,0.00434156490435792,0.028088612481951714,3.3410053700208664,3.3514078706502914
10,31,62,17,3,0.1260518427622232,32,0.002704955082015926,0.036447923630476,5.037396028637886,4.940074682235718
11,9,11,26,2,0.24918515788697404,128,0.001150084401241618,0.026516685262322426,3.0660945922136307,3.1004648655653
12,24,55,19,2,0.17582402828265575,32,0.0010944487856335045,0.04663356393575668,6.930076330900192,6.667405366897583
13,11,41,27,2,0.2931872658866353,128,0.001861016331714756,0.027000045403838158,3.209807723760605,3.2628707587718964
14,3,25,8,3,0.24308657575873527,128,0.0018674060616216425,0.026423051953315735,3.0413860455155373,3.0734824016690254
15,24,53,8,3,0.25651128677449964,32,0.002067540174633917,0.02644726261496544,3.0581166967749596,3.0935849994421005
16,13,28,14,3,0.18344268363903235,32,0.0031586904651638935,0.06986169517040253,10.835179686546326,10.570483654737473
17,29,44,8,3,0.2521616928276794,128,0.0023057805626356532,0.02651994675397873,3.0848251655697823,3.124627284705639
18,22,51,18,3,0.1441687204881918,64,0.0015603549277213487,0.029249079525470734,3.60291488468647,3.5713300108909607
19,2,6,11,3,0.20681969932265645,32,0.0033670601160529843,0.027560077607631683,3.3679522573947906,3.4372396767139435
20,6,16,16,3,0.299161677274356,128,0.002374363021420528,0.026669524610042572,3.06876078248024,3.083713725209236
21,22,56,8,3,0.25831190184522645,32,0.0018547988223646505,0.026403412222862244,3.021487593650818,3.039754182100296
22,21,56,13,3,0.2586748079049408,32,0.0016689776297154574,0.026472602039575577,3.0669309198856354,3.103906847536564
23,27,46,10,3,0.27147097958189215,32,0.0022369378232323456,0.02662653475999832,3.1181329861283302,3.162311017513275
24,13,59,8,3,0.23888043553141197,32,0.002715052314623756,0.02638164907693863,3.0187953263521194,3.0400892719626427
25,14,62,8,3,0.24194833232028817,32,0.002820491031845088,0.026376869529485703,3.0189231038093567,3.041377477347851
26,14,61,11,3,0.2046305104941168,32,0.002783634728002638,0.026821600273251534,3.0983245000243187,3.0982479453086853
27,10,58,9,3,0.15522661045134117,32,0.0036637657849573554,0.03571215644478798,4.386797174811363,4.351945221424103
28,13,62,12,1,0.09587869456776818,32,0.0029872332461168163,0.03344248607754707,4.195624217391014,4.161151126027107
29,15,55,29,3,0.19960067340403112,32,0.0035406730205046963,0.04512407258152962,5.913691222667694,5.911591276526451
30,20,58,21,3,0.16711287224218868,32,0.0041897446175377185,0.02883923426270485,3.4505952149629593,3.4711748361587524
31,7,30,8,3,0.2356289110104498,128,0.0025271943710631368,0.02646722085773945,3.064846061170101,3.1015807762742043
32,1,41,9,3,0.2363049231268034,32,0.00205644326552322,0.030886687338352203,3.8962408900260925,3.8819927722215652
33,17,52,13,3,0.27050826151745044,64,0.002942934859664668,0.026406578719615936,3.0399540439248085,3.071345202624798
34,17,51,13,3,0.271269844430002,64,0.002972779429692403,0.0267088133841753,3.143421933054924,3.1909458339214325
35,12,59,10,3,0.2691181756660229,64,0.0031767721832928445,0.026721637696027756,3.1477998942136765,3.1958356499671936
36,16,52,12,3,0.21665689379002767,64,0.0025181913954135837,0.026608187705278397,3.111151047050953,3.1549010425806046
37,18,57,14,3,0.010960072788898712,256,0.0029117107060380016,0.026467468589544296,3.0647175386548042,3.099873848259449
38,20,48,10,2,0.2833595614518573,64,0.0039057395074164935,0.0410185232758522,5.578182265162468,5.652470141649246
39,26,54,15,1,0.2229423779106448,256,0.0032875139410603518,0.026911653578281403,3.165128082036972,3.1835604459047318
40,9,44,12,3,0.19828877422047858,32,0.002758933691912396,0.030433494597673416,3.6292269825935364,3.643438220024109
41,4,22,8,3,0.24427510504108574,128,0.0017500396740195775,0.026423143222928047,3.0461763963103294,3.0793102458119392
