,input_chunk_length,training_length,hidden_dim,n_rnn_layers,dropout,batch_size,lr,RMSE,sMAPE,MAPE
0,23,35,12,3,0.117563933086975,64,0.003377207022813488,0.026692291721701622,3.1231405213475227,3.169497475028038
1,31,34,32,3,0.20079049054793066,64,0.0026129521219628057,0.042343709617853165,6.1014242470264435,5.891425162553787
2,1,26,31,1,0.02659491837404304,128,0.0037335564477482563,0.03156160190701485,4.09131720662117,4.032440483570099
3,16,30,18,2,0.07618868305215076,256,0.004810445406094523,0.026378225535154343,3.002002462744713,3.020014800131321
4,2,9,27,3,0.14572089788632508,32,0.0028008047299604294,0.041110143065452576,4.970519989728928,4.80792336165905
5,18,37,26,1,0.15915890923248194,256,0.0032797634218494874,0.026795396581292152,3.124302625656128,3.1309563666582108
6,1,3,29,2,0.13004568316332601,256,0.0028561200145483952,0.026813969016075134,3.1120548024773598,3.1262222677469254
7,30,32,9,2,0.2307887726911486,32,0.003387347599752916,0.02961781807243824,3.6787956953048706,3.635532408952713
8,6,59,24,2,0.2319614961814375,128,0.0046661471872273905,0.026464838534593582,3.071206994354725,3.1096169725060463
9,16,43,10,2,0.19617060380541593,256,0.00150407456831759,0.02644265443086624,3.0334053561091423,3.0488548800349236
10,11,22,18,2,0.04218343988948288,256,0.004918408856624662,0.026302985846996307,3.0128037557005882,3.0287200585007668
11,11,21,18,2,0.03838787045569281,256,0.0048016193496901016,0.026539364829659462,3.0570369213819504,3.078819438815117
12,12,22,17,2,0.07315030587715145,256,0.004153456921749019,0.02744915522634983,3.2403741031885147,3.2374221831560135
13,22,47,21,2,0.07042601668008829,256,0.0049499696367606184,0.028093846514821053,3.405587747693062,3.3873308449983597
14,10,19,14,2,0.0810167209654255,256,0.00426196387161084,0.02796289697289467,3.4088745713233948,3.389711305499077
15,16,28,21,1,0.2962096330870576,256,0.002085708198252819,0.028106557205319405,3.3611826598644257,3.3528272062540054
16,7,16,15,2,0.009006695742080656,64,0.00422110616017538,0.09432514011859894,15.312570333480835,14.003606140613556
17,21,51,23,2,0.10144775826883487,32,0.0011122651896650444,0.0436650849878788,6.008971109986305,5.80970011651516
18,26,40,18,3,0.04115064665504221,128,0.004459967179371158,0.12652991712093353,20.249097049236298,18.661881983280182
19,14,28,15,1,6.661576057903629e-05,256,0.0038850182150240104,0.026871735230088234,3.1334560364484787,3.1431563198566437
20,6,15,20,2,0.06114884892980301,256,0.004977907308266618,0.02788328006863594,3.323773294687271,3.318672254681587
21,18,45,8,2,0.1679269648322702,256,0.0012078923310706838,0.029347438365221024,3.6645691841840744,3.750191256403923
22,15,40,10,2,0.19999041922277816,256,0.001653569228222717,0.02643517032265663,3.033272549510002,3.048155829310417
23,9,31,11,2,0.09584966645103524,256,0.0019148823289217797,0.026678316295146942,3.1393002718687057,3.1876500695943832
24,14,24,13,2,0.28151552112839956,256,0.00235918636668949,0.026736337691545486,3.156493231654167,3.2067012041807175
25,19,38,17,2,0.25002918150640846,256,0.0037813601170197083,0.026478294283151627,3.0412688851356506,3.0733801424503326
26,13,56,19,2,0.050429904121031544,128,0.004469210068095868,0.02703774906694889,3.1522683799266815,3.160267695784569
27,9,49,22,2,0.17924298151305462,32,0.0018065399933772596,0.10513497143983841,14.336687326431274,13.316743075847626
28,15,41,25,1,0.13091501379777537,64,0.002399296679193013,0.0289620328694582,3.5429921001195908,3.5124272108078003
