,input_chunk_length,training_length,hidden_dim,n_rnn_layers,dropout,batch_size,lr,RMSE,sMAPE,MAPE
0,12,39,16,1,0.1459863960382444,256,0.00447618541199649,0.02694868855178356,3.2676145434379578,3.3208824694156647
1,19,25,11,2,0.19491444945889147,64,0.0038214494581963986,0.027459725737571716,3.2393306493759155,3.2728511840105057
2,17,45,9,1,0.19682280068900906,32,0.0027992046147159205,0.0317937508225441,3.8703206926584244,3.8643456995487213
3,24,57,24,2,0.061554669174897464,256,0.001072056015117266,0.026476822793483734,3.092818707227707,3.131537511944771
4,4,41,14,1,0.10941165460404402,32,0.003769702434416885,0.03313365578651428,4.296974837779999,4.229255393147469
5,18,32,29,3,0.200770379988819,128,0.003293747685237102,0.026614084839820862,3.100922703742981,3.1391892582178116
6,31,55,21,3,0.2757952581423813,256,0.0014506960693756556,0.027005666866898537,3.2417017966508865,3.296024352312088
7,15,26,26,1,0.23365337063062044,64,0.004976740536720267,0.028394391760230064,3.3928848803043365,3.4107521176338196
8,31,39,22,1,0.28364932169796264,128,0.0028376744896530413,0.027238203212618828,3.21066752076149,3.2026294618844986
9,21,49,12,3,0.12918145803714084,32,0.0027955384556608777,0.027979500591754913,3.327319025993347,3.3668790012598038
10,26,62,32,2,0.016653345848581788,256,0.0015539424912452775,0.026589397341012955,3.110675886273384,3.139776736497879
11,26,62,32,2,0.003947081748021835,256,0.0011274822510293674,0.02644352801144123,3.083244152367115,3.1114641577005386
12,25,61,26,2,0.014221306329315578,256,0.0010252390631984598,0.026620423421263695,3.1294040381908417,3.166995942592621
13,26,56,32,2,0.06572168298767797,256,0.00203319858478415,0.026738503947854042,3.1618203967809677,3.2010946422815323
14,23,54,25,2,0.06295066665345533,256,0.0021725618724349654,0.026399539783596992,3.0572619289159775,3.0898278579115868
15,11,15,18,2,0.06772736068802229,256,0.002133245123964519,0.026374658569693565,3.025626204907894,3.050517849624157
16,9,13,17,2,0.06046544390946079,256,0.0022898276695338987,0.02643270045518875,3.050607815384865,3.078034147620201
17,5,6,18,2,0.09620651651313475,64,0.002167788171369752,0.02644057385623455,3.084109164774418,3.115745820105076
18,9,20,20,2,0.0833991169194336,128,0.001831331065190457,0.02663235366344452,3.1427767127752304,3.182481974363327
19,13,33,28,2,0.05526542134328242,256,0.002450630305630929,0.026458298787474632,3.122938424348831,3.161134198307991
20,1,5,24,3,0.1662535768908778,256,0.003404058738632905,0.02642924152314663,3.037593699991703,3.0673937872052193
21,2,3,23,3,0.16467218304648812,256,0.0034117751296046414,0.027764838188886642,3.3234719187021255,3.3010154962539673
22,8,16,25,3,0.11844487421751695,256,0.002567104050538118,0.02709966152906418,3.1874172389507294,3.2278280705213547
23,22,47,19,3,0.16401680537845562,256,0.0032109120055445243,0.026466982439160347,3.06768212467432,3.1035877764225006
24,1,5,28,3,0.02996873570399701,256,0.0038640774707009756,0.026665523648262024,3.1342223286628723,3.1771745532751083
25,12,15,15,2,0.1423289328993534,256,0.001782814757799744,0.02652285248041153,3.1035974621772766,3.1445205211639404
26,7,10,22,3,0.08729037408843965,128,0.002529004593763833,0.02663274109363556,3.1230926513671875,3.1682610511779785
27,5,20,19,2,0.0444290509844469,64,0.003503771674724158,0.029216917231678963,3.6135178059339523,3.5669907927513123
28,20,52,24,2,0.23339379559189505,32,0.003081783512796695,0.032045572996139526,3.737008571624756,3.79745215177536
29,14,34,29,3,0.1558363467009893,256,0.004318770582766311,0.02654346451163292,3.0848436057567596,3.122048079967499
30,11,27,17,1,0.03545712622904659,256,0.004120124429908964,0.02646392211318016,3.0975505709648132,3.127460554242134
31,10,15,16,2,0.07057315257558501,256,0.002254091809291019,0.02629346027970314,3.027173690497875,3.0552729964256287
32,11,21,15,2,0.08067971261261231,256,0.001961368411241557,0.026468496769666672,3.0976593494415283,3.1376726925373077
33,17,23,13,2,0.10230121018655502,256,0.001553483448636099,0.02648862823843956,3.0878346413373947,3.128768503665924
34,7,12,21,2,0.13269331625163686,256,0.0022955477660152202,0.026928219944238663,3.220294415950775,3.269859403371811
35,16,29,11,2,0.17280399995485873,32,0.002735490733154874,0.029913470149040222,3.509216755628586,3.572319820523262
36,3,9,16,2,0.07157356143202045,64,0.0030253217352261175,0.026777829974889755,3.2104216516017914,3.2547418028116226
37,29,35,26,1,0.18174151072167746,256,0.003550914427835249,0.027355482801795006,3.4023474901914597,3.4622859209775925
38,19,43,8,2,0.2105413620680515,256,0.001313486080985167,0.029982563108205795,3.9378073066473007,4.038214311003685
39,23,31,23,3,0.11617562263303322,128,0.0018369344388041503,0.027237949892878532,3.2837584614753723,3.338136523962021
40,10,17,19,1,0.04743233044281808,32,0.0021584581686102636,0.03397515416145325,4.403204843401909,4.327881708741188
41,6,12,13,2,0.06423637483616293,256,0.002329647064948427,0.026454489678144455,3.056005761027336,3.089505434036255
42,9,14,17,2,0.034941398687542334,256,0.0026928279585116473,0.02644752524793148,3.081498108804226,3.113801032304764
43,15,22,17,2,0.09711832562916137,256,0.002390834498100115,0.026904206722974777,3.208993747830391,3.2597634941339493
44,13,18,15,2,0.05315478453854093,256,0.0016606700135590319,0.02638819068670273,3.0737752094864845,3.1097950413823128
45,18,24,15,2,0.021382796390033043,256,0.001672110682601484,0.026403235271573067,3.0999649316072464,3.138912096619606
46,14,18,10,2,0.0051348740781776425,256,0.0013925228456004653,0.026530295610427856,3.053410165011883,3.065924718976021
47,18,24,15,2,0.014571839928095062,64,0.0011978751200563274,0.026423495262861252,3.112862817943096,3.1407050788402557
48,12,26,14,2,0.02552096412573173,256,0.0017289252481418947,0.026621932163834572,3.1712666153907776,3.2125432044267654
49,21,25,12,2,0.05075570327471553,128,0.0016339178140286502,0.026554415002465248,3.1171562150120735,3.1577888876199722
