Iteration,input_chunk_length,output_chunk_length,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,dropout,batch_size,MAPE
401,10,10,64,4,4,3,512,0.1,32,84.39511576783941
402,10,10,64,4,4,3,512,0.1,64,92.9427891480362
403,10,10,64,4,4,3,512,0.2,32,78.3040285019058
404,10,10,64,4,4,3,512,0.2,64,120.70926693408074
405,10,10,64,4,4,3,1024,0.1,32,134.1377800818671
406,10,10,64,4,4,3,1024,0.1,64,92.95988230179152
407,10,10,64,4,4,3,1024,0.2,32,113.9263025140794
408,10,10,64,4,4,3,1024,0.2,64,73.90808595987163
409,10,10,64,4,4,4,512,0.1,32,74.85460778700008
410,10,10,64,4,4,4,512,0.1,64,140.12188923943955
411,10,10,64,4,4,4,512,0.2,32,109.49140592161444
412,10,10,64,4,4,4,512,0.2,64,73.73931415600624
413,10,10,64,4,4,4,1024,0.1,32,147.59091279540905
414,10,10,64,4,4,4,1024,0.1,64,122.431576909971
415,10,10,64,4,4,4,1024,0.2,32,133.22066087109678
416,10,10,64,4,4,4,1024,0.2,64,72.16368012716016
417,10,10,64,8,3,3,512,0.1,32,87.98369724181994
418,10,10,64,8,3,3,512,0.1,64,95.19541885047892
419,10,10,64,8,3,3,512,0.2,32,74.19186466894664
420,10,10,64,8,3,3,512,0.2,64,87.95025408088254
421,10,10,64,8,3,3,1024,0.1,32,123.42790156114064
422,10,10,64,8,3,3,1024,0.1,64,87.29709279779972
423,10,10,64,8,3,3,1024,0.2,32,120.70792619073428
424,10,10,64,8,3,3,1024,0.2,64,101.99098350841774
425,10,10,64,8,3,4,512,0.1,32,119.4597543021714
426,10,10,64,8,3,4,512,0.1,64,83.8326316829895
427,10,10,64,8,3,4,512,0.2,32,204.1468565886903
428,10,10,64,8,3,4,512,0.2,64,126.72483196341642
429,10,10,64,8,3,4,1024,0.1,32,103.6035593881162
430,10,10,64,8,3,4,1024,0.1,64,111.41264310608028
431,10,10,64,8,3,4,1024,0.2,32,98.61029054439882
432,10,10,64,8,3,4,1024,0.2,64,102.19484624621158
433,10,10,64,8,4,3,512,0.1,32,75.43590596592145
434,10,10,64,8,4,3,512,0.1,64,71.31714581940632
435,10,10,64,8,4,3,512,0.2,32,114.1701859708688
436,10,10,64,8,4,3,512,0.2,64,128.82901558612926
437,10,10,64,8,4,3,1024,0.1,32,113.5048166236203
438,10,10,64,8,4,3,1024,0.1,64,93.96120345469107
439,10,10,64,8,4,3,1024,0.2,32,133.56101513749832
440,10,10,64,8,4,3,1024,0.2,64,99.2940426874481
441,10,10,64,8,4,4,512,0.1,32,99.10620459193576
442,10,10,64,8,4,4,512,0.1,64,146.23211827702616
443,10,10,64,8,4,4,512,0.2,32,134.8055024165338
444,10,10,64,8,4,4,512,0.2,64,75.1577521470282
445,10,10,64,8,4,4,1024,0.1,32,144.58299257807963
446,10,10,64,8,4,4,1024,0.1,64,108.57067465899404
447,10,10,64,8,4,4,1024,0.2,32,70.92222796339524
448,10,10,64,8,4,4,1024,0.2,64,136.8905978288586
449,10,10,128,4,3,3,512,0.1,32,77.7954251493576
450,10,10,128,4,3,3,512,0.1,64,103.63683293775205
451,10,10,128,4,3,3,512,0.2,32,78.4338680287042
452,10,10,128,4,3,3,512,0.2,64,133.8029971003928
453,10,10,128,4,3,3,1024,0.1,32,77.17729809262765
454,10,10,128,4,3,3,1024,0.1,64,85.23204765886787
455,10,10,128,4,3,3,1024,0.2,32,76.7023421216657
456,10,10,128,4,3,3,1024,0.2,64,83.0656398096037
457,10,10,128,4,3,4,512,0.1,32,72.08439937014745
458,10,10,128,4,3,4,512,0.1,64,76.32624287835455
459,10,10,128,4,3,4,512,0.2,32,70.51246685553716
460,10,10,128,4,3,4,512,0.2,64,101.7192253132572
461,10,10,128,4,3,4,1024,0.1,32,93.5019485996894
462,10,10,128,4,3,4,1024,0.1,64,172.6339129596604
463,10,10,128,4,3,4,1024,0.2,32,77.47260815735889
464,10,10,128,4,3,4,1024,0.2,64,147.65799932041185
465,10,10,128,4,4,3,512,0.1,32,119.41054368741321
466,10,10,128,4,4,3,512,0.1,64,71.49069991217414
467,10,10,128,4,4,3,512,0.2,32,112.28029655273754
468,10,10,128,4,4,3,512,0.2,64,73.3808331440967
469,10,10,128,4,4,3,1024,0.1,32,88.16025188245074
470,10,10,128,4,4,3,1024,0.1,64,81.12204454704154
471,10,10,128,4,4,3,1024,0.2,32,124.1777227024283
472,10,10,128,4,4,3,1024,0.2,64,136.13100365822044
473,10,10,128,4,4,4,512,0.1,32,72.40834854213126
474,10,10,128,4,4,4,512,0.1,64,110.23592294326296
475,10,10,128,4,4,4,512,0.2,32,122.73406475130247
476,10,10,128,4,4,4,512,0.2,64,80.28287241902625
477,10,10,128,4,4,4,1024,0.1,32,131.05363720178374
478,10,10,128,4,4,4,1024,0.1,64,138.90092299290723
479,10,10,128,4,4,4,1024,0.2,32,116.40176593917623
480,10,10,128,4,4,4,1024,0.2,64,89.85132925142933
481,10,10,128,8,3,3,512,0.1,32,100.06521389837575
482,10,10,128,8,3,3,512,0.1,64,86.45620849646436
483,10,10,128,8,3,3,512,0.2,32,149.60535351303136
484,10,10,128,8,3,3,512,0.2,64,143.11508584324307
485,10,10,128,8,3,3,1024,0.1,32,88.17216361120593
486,10,10,128,8,3,3,1024,0.1,64,84.40566238461913
487,10,10,128,8,3,3,1024,0.2,32,73.42305130026125
488,10,10,128,8,3,3,1024,0.2,64,139.26853641575747
489,10,10,128,8,3,4,512,0.1,32,71.59313224230338
490,10,10,128,8,3,4,512,0.1,64,107.56732026766393
491,10,10,128,8,3,4,512,0.2,32,73.05620889607707
492,10,10,128,8,3,4,512,0.2,64,77.57421327621064
493,10,10,128,8,3,4,1024,0.1,32,74.23888400367973
494,10,10,128,8,3,4,1024,0.1,64,97.42323281199502
495,10,10,128,8,3,4,1024,0.2,32,102.84066173641713
496,10,10,128,8,3,4,1024,0.2,64,101.6374794677916
497,10,10,128,8,4,3,512,0.1,32,113.69293628949731
498,10,10,128,8,4,3,512,0.1,64,83.20857184667807
