Iteration,input_chunk_length,output_chunk_length,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,dropout,batch_size,MAPE
361,10,5,256,8,3,4,512,0.1,32,123.67516449388688
362,10,5,256,8,3,4,512,0.1,64,75.45438985839553
363,10,5,256,8,3,4,512,0.2,32,104.10519020168552
364,10,5,256,8,3,4,512,0.2,64,147.91761593069504
365,10,5,256,8,3,4,1024,0.1,32,121.78417253901488
366,10,5,256,8,3,4,1024,0.1,64,147.78032738874697
367,10,5,256,8,3,4,1024,0.2,32,196.79260072886663
368,10,5,256,8,3,4,1024,0.2,64,99.74559714375243
369,10,5,256,8,4,3,512,0.1,32,167.77353846059444
370,10,5,256,8,4,3,512,0.1,64,81.07678428840384
371,10,5,256,8,4,3,512,0.2,32,113.76510801151407
372,10,5,256,8,4,3,512,0.2,64,79.02092098721853
373,10,5,256,8,4,3,1024,0.1,32,124.12571467757614
374,10,5,256,8,4,3,1024,0.1,64,75.27759696605033
375,10,5,256,8,4,3,1024,0.2,32,83.22060718351264
376,10,5,256,8,4,3,1024,0.2,64,82.52444489203721
377,10,5,256,8,4,4,512,0.1,32,145.84219477389
378,10,5,256,8,4,4,512,0.1,64,64.45307763894432
379,10,5,256,8,4,4,512,0.2,32,72.58064821492484
380,10,5,256,8,4,4,512,0.2,64,81.2868591194446
381,10,5,256,8,4,4,1024,0.1,32,84.10423300956471
382,10,5,256,8,4,4,1024,0.1,64,169.2038381867205
383,10,5,256,8,4,4,1024,0.2,32,115.78905024898575
384,10,5,256,8,4,4,1024,0.2,64,170.06319079188825
385,10,10,64,4,3,3,512,0.1,32,131.8599804100789
386,10,10,64,4,3,3,512,0.1,64,85.15025821927782
387,10,10,64,4,3,3,512,0.2,32,149.84628121635083
388,10,10,64,4,3,3,512,0.2,64,132.11087099058565
389,10,10,64,4,3,3,1024,0.1,32,126.85238615547479
390,10,10,64,4,3,3,1024,0.1,64,99.69353069915898
391,10,10,64,4,3,3,1024,0.2,32,189.72444477994046
392,10,10,64,4,3,3,1024,0.2,64,99.95554053594368
393,10,10,64,4,3,4,512,0.1,32,166.875448952829
394,10,10,64,4,3,4,512,0.1,64,94.51581121284966
395,10,10,64,4,3,4,512,0.2,32,206.48749761292663
396,10,10,64,4,3,4,512,0.2,64,118.40404132375028
397,10,10,64,4,3,4,1024,0.1,32,102.17143345269629
398,10,10,64,4,3,4,1024,0.1,64,113.88061949921278
399,10,10,64,4,3,4,1024,0.2,32,97.11900709353309
400,10,10,64,4,3,4,1024,0.2,64,126.2670878631127
401,10,10,64,4,4,3,512,0.1,32,84.10473720522333
402,10,10,64,4,4,3,512,0.1,64,90.09397873853614
