,text,sen
0,"Embrace the FUD.

That means more cheap coins for me and less dumb people in Bitcoin.

I'm playing the long game.",3
1,"@CryptoShillNye HEY FUCK YOU, TRX IS NEXT BITCOIN BITCH.",1
2,@NickSzabo4 Monopoly: Bitcoin Edition would be the least fun board game ever 😂,1
3,"@kyletorpey In terms of casual use, dollars are known as bucks- pounds, quid etc. so calling Bitcoin Cash, bcash, isn’t a problem either",3
4,"@kyletorpey I would go with dev, bcash is based on bitcoin code base for a reason",3
5,"Thanks to my persistence, hard work and constant observation of the markets I could create this FX Robot. #Close #CFD #Bitcoin",3
6,Bitcoin is still early in the network effects game,3
7,"@tferriss You mean bitcoin, right?  C’mon this is a joke.",3
8,"Bad news: Bitcoin on the decline.
Current Rate: 8680.62 USD = 1 BTC",1
9,"@zerosum0x0 @sundhaug92 ""I hacked Bitcoin using this weird trick!""",1
10,"""Bitcoin Core is a cult trapped in a world of platonic forms."" - @DanielKrawisz @Satoshis_Vision Conference",1
11,"Bitcoin is my hedge. With the DJIA down 700+, if the global economy craps the bed in the next 10 years, Bitcoin will Rule...
#Bitcoin",3
12,Hey... here's some TA or whatever... #bitcoin is going to go sideways for FUCKING EVER!!!!!!,1
13,BTC $8721.02 Down -$0.55 -0.01% in the last hour #bitcoin #bitsmart,3
14,#Blockchain is the tech. #Bitcoin is merely the first mainstream manifestation of its potential. #freecoins,3
15,"Bitcoin will be succesful long term if we worship a decentralized system, not a centralized leader.",3
16,@_Kevin_Pham Trumps retarded policies and actions are about to make bitcoin way more valuable...probably sooner than later.,3
17,"@pwthornton Bitcoin fans: Fuck the FDIC and big government regulations!
Also Bitcoin fans: What the fuck just happened to my money?",1
18,"@pipis @makmummasjid Me ; 
PINTEREST RENEGADE, BRANDING INTERN, BITCOIN CZAR. IGNORING YOUR PASSION IS LIKE DYING A SLOW DEATH.",3
19,@illusionfoxe in fact by mining a bitcoin you actually end up spending a bunch of money. and/or burning your house down. or both.,1
20,@APompliano but what if someone killed all the bitcoin developers?,1
21,"@CryptoCamel1 @MoonOverlord I hate to tell you this... but even 10,000 50k+ follower accounts don't make 24k bitcoin volume.",3
22,What’s up with them bitcoin wallets... y’all been quiet lately.. talk to me,3
23,"Go home, Bitcoin, you’re drunk.",1
24,Bitcoin news sentiment changed to Negative in the last hour #bitcoin #bitsmart,3
25,"Correcting wrong or strange Kanji Tattoo designs.
1 revision ＝ 0.00005bitcoin
Give me DM or reply.
#Japanese #Kanji #tattoo #bitcoin",3
26,@coindesk Would be curious to see how this actually works #btc #bitcoin,3
27,@matthiasochs13 @LaneSnyder22 he's working with responsive blockchain artificial intelligence and gets paid in bitcoin,3
28,Have you invested in Bitcoin or any other cryptocurrency?,3
29,"This coin exchange crap is dumb.
Exchange burn - 1/1 crap 
Does bitcoin or Litecoin do this crap. Not easy for all of us to exchange",1
30,"Bad news: Bitcoin on the decline.
Current Rate: 8611.88 USD = 1 BTC",1
31,BTC $8643.30 Down -$77.72 -0.90% in the last hour #bitcoin #bitsmart,3
32,Crypto Collectibles Are Worthless Without a Websitehttps://news.bitcoin.com/crypto-collectibles-are-worthless-without-a-website/,1
33,@BitcoinCashBCH @Bitcoin @rogerkver you're just stupid...,1
34,"🅱itcoin To The Ground: $8515.32 USD
Previous Price: $8665.9 USD
Percentage Decrease: 1.738%
#BTC #BITCOIN ⛔😢",3
35,"If you’re not going to work on making Bitcoin cash again but some ICO bullshit, I’m going to educate regulators to how to put you in jail.",3
36,Prediction:  Satoshi comes out of hiding to talk shit about Bitcoin Cash. $BCH $BTC,1
37,"@TheFuNk_TV @bstategames I mean, there are physical bitcoin irl, but it's just not a practical or common thing.",3
38,"Wow...was on a Zoom with none other than Charlie Shrem, a bitcoin god!
#whocares",3
39,Getting real tired of Bitcoin's bipolar bitch ass. $BTC,1
40,Gonna wake up and buy an undisclosed (that means secret but dont worry it's not a lot) amount of bitcoin in the morning.,3
41,"$BTC broke down $8600. Lookin for a hard bounce from 8400, or $7300 is in play. #bitcoin",3
42,@khunFYP @btc_manager maybe because you're hysterical when someone calls bitcoin cash a scam,1
43,"@movementsjpg I wish I could but I have my money tied up in bitcoin and my future, sis. I’m sorry. I hope you fine another way 🤙🏽",3
44,Why does everyone who likes bitcoin look like a gym teacher that takes it too seriously?,1
45,"So this is the plan. Spread some fake news when #bitcoin rises so all the fools sell and we collect
#BTC",3
46,"@Dunnestar @ProfFaustus If I buy 1 bitcoin per day and HODL, is that useless?",3
47,why dont care about bitcoin can i just broke it ill fix it tomorrow i think,1
48,"@CRYPTOCURRENC Give responds by cutting taxes and increase spending, currency devalues bitcoin soars",3
49,"In my heart, I believe bitcoin is ridiculous and that's dandy",1
50,Breaking News: Binance will be listing WAN( $WAN) soon #cryptocurrency #blockchain #bitcoin #crypto #btc #ico #eth #xrp #trading #CryptoNews,3
51,@TheNvsibleHand Bitcoin is your gold and litecoin is your dollar. Plain and simple,3
52,Bitcoin and all is cool but have you invested in a person that turned out totally worthless.,3
53,"@marchmadness I’d like somebody to check the refs PayPal, Bitcoin, wallet or whatever the hell they use after the game.",3
54,Who is selling bitcoin right now? Is there some negative headline or potential news on the horizon?,3
55,"Trading crypto is a way of transferring money from the impatient to the patient.

#cryptocurrency  #bitcoin",3
56,What are the mechanisms/methods you usually use for predicting bitcoin value?,3
57,"I stopped checking crypto prices, and r/bitcoin a while back... is everything back to normal yet or is shit still hitting the fan",1
58,"@bitstein The truth hurts, whatever you call him...he’s talking economics behind bitcoin. He is absolutely right.",3
59,I know this has to be fake but it’s still hilarious. Bitcoin jokes amuse me because of the this is to stupid to be real but yet,1
60,"@humanifold @Blockstream @shesek Sorry, not interested in bitcoin. There are other better coins.",1
61,"bitcoin: dead 
kinzcash: alive",1
62,@Altcoinbuzzio Bitcoin duh,3
63,"[me, hanging out with a bunch of pretentious hipsters]

“So bitcoin, amiright?”",1
64,"@bitcoinyuri @Blockstream Sorry, no longer interested in Bitcoin.",1
65,@bittybitbit86 Yeah it’s ridiculous. Even worst case scenario that it gets shut down barely makes a dent in bitcoin future adoption,3
66,@Altcoinbuzzio If they could have than Bitcoin would of been shut down long time ago !,3
67,"@DrewPflaum @BITCOlNCASH @BitcoinCashFund @BCHmeetups Sorry, not interested in Bitcoin Cash.",1
68,@Altcoinbuzzio #BITCOIN is KING all day long.,3
69,"Bad news: Bitcoin on the decline.
Current Rate: 8428.81 USD = 1 BTC",3
70,I wish I could drop acid as hard as the price of Bitcoin.,1
71,@NoTimeToSearch @cz_binance 😂😂😂people have such a small vision. How can you not see what bitcoin and blockchain technology is capable of.,3
72,@benshapiro What are your thoughts on Bitcoin/Litecoin and other crypto currencies?,3
73,@benshapiro What are you thoughts on Bitcoin/Litecoin and other crypto currencies?,3
74,"#Bitcoin is currently tired of going into space and visiting the moon.

Seems like the Earth's core is a new destination. ♨️#BTC $BTC",1
75,BTC $8444.87 Down -$198.43 -2.35% in the last hour #bitcoin #bitsmart,3
76,"@Cointelegraph Sorry, no longer interested in Bitcoin.",1
77,@GreedPositive @ThrowingBugs @Bitcoin Reported for abusing twitter to spread propaganda for BSCore.,3
78,@Altcoinbuzzio Bitcoin hands down,3
79,@Cryptos_Aus As long as it's not the fraudster bitcoin-fund-manager ?,3
80,"Dow Jones going down.
Bitcoin was supposed to shield.
Fucking suits- leave us!

$BTC #crypto #haiku",3
81,"I hate ween people exploit things and ruin the fun for everyone. First Youtube, now bitcoin/cryptos 😧😧",1
82,"@afaqshah @PhilakoneCrypto Wishing ill upon bitcoin, rude",1
83,:( :( ....[Bitcoin performance assessment (-0.18%)] #bitcoin,3
84,@crypt0snews Bitcoin can be wiped out if the authorities prove it as a counterfeit like a 3 dollar fake bill....,1
85,I really just sent 300 to the wrong bitcoin address.. wow.. fml,1
86,"DO-NOT short Bitcoin, you will get crushed

Sub 0.050 Eth/Btc is possible",3
87,IMHO bitcoin is the worst!! 🌙,1
88,Might be risky. But it is time to go long on #xbtusd. Go #bitcoin,3
89,"What does ""altcoin"" mean? $crypto #bitcoin",3
90,crazy thought: that guy who bought bitcoin at $0.08 and sold it at $0.30 made more money than anyone who bought in December,3
91,"@MarkYusko Good, bad, indifferent, you’re the only serious investor I know as bullish on bitcoin",3
92,#Ilovebitcoin because there are no legal issues with using #bitcoin everywhere,3
93,We need a bounce here or these next few weeks are gonna be ugly... $BTCUSD #bitcoin,3
94,"Bad news: Bitcoin on the decline.
Current Rate: 8413.21 USD = 1 BTC",3
95,"@PapixSatoshi @nanocurrency If Bitcoin we're to crash and burn right now, every crypto would become worthless. Be careful what you wish for",3
96,#Binance Lists WanCoin ( $WAN ) #bitcoin #Bittrex #ethereum,3
97,BTC $8444.11 Down -$0.76 -0.01% in the last hour #bitcoin #bitsmart,3
98,"Sometimes you have to fight your friends harder than you do your enemies🔥

#bitcoin",3
99,Bitcoin and all is cool but have you invested in a person that turned out totally worthless.,3
100,Eu is probably the safest place for bitcoin farmers/owners due to the protection they have from the laws in eu,3
101,@mamawhale you can always pay in PBR. fuck Bitcoin,1
102,Bitcoin is ugly.,1
