,learning_rate,num_epochs,per_gpu_batch_size,per_gpu_eval_size,warmup_steps,weight_decay,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0,1e-05,2,16,16,250,0.0,0.765367329120636,0.75,0.7526972231273307,0.75,0.7506266385734972,1.4653,204.741,12.967,2.0
1,1e-05,2,16,16,250,0.3,0.7604869604110718,0.7566666666666667,0.7582468177304325,0.7566666666666667,0.7570636353287473,1.5006,199.927,12.662,2.0
2,1e-05,2,16,16,500,0.0,0.7717301249504089,0.7466666666666667,0.7478514204423908,0.7466666666666667,0.7469166935186352,1.4857,201.931,12.789,2.0
3,1e-05,2,16,16,500,0.3,0.7690900564193726,0.7466666666666667,0.7484321618465389,0.7466666666666667,0.7470716079411733,1.4922,201.039,12.732,2.0
4,1e-05,2,16,32,250,0.0,0.7653674483299255,0.75,0.7526972231273307,0.75,0.7506266385734972,1.4792,202.818,6.761,2.0
5,1e-05,2,16,32,250,0.3,0.7604869604110718,0.7566666666666667,0.7582468177304325,0.7566666666666667,0.7570636353287473,1.4686,204.273,6.809,2.0
6,1e-05,2,16,32,500,0.0,0.7717301845550537,0.7466666666666667,0.7478514204423908,0.7466666666666667,0.7469166935186352,1.4738,203.554,6.785,2.0
7,1e-05,2,16,32,500,0.3,0.769089937210083,0.7466666666666667,0.7484321618465389,0.7466666666666667,0.7470716079411733,1.4721,203.791,6.793,2.0
8,1e-05,2,16,64,250,0.0,0.7653674483299255,0.75,0.7526972231273307,0.75,0.7506266385734972,1.3223,226.878,3.781,2.0
9,1e-05,2,16,64,500,0.0,0.7717301249504089,0.7466666666666667,0.7478514204423908,0.7466666666666667,0.7469166935186352,1.2794,234.486,3.908,2.0
10,1e-05,2,16,64,500,0.3,0.7690900564193726,0.7466666666666667,0.7484321618465389,0.7466666666666667,0.7470716079411733,1.2709,236.058,3.934,2.0
11,1e-05,2,32,16,250,0.0,0.8137205839157104,0.6866666666666666,0.6972329936416689,0.6866666666666666,0.6869864026853274,1.3751,218.169,13.817,2.0
12,1e-05,2,32,16,250,0.3,0.8161295652389526,0.69,0.7000125031257814,0.6900000000000001,0.6903626674212412,1.406,213.369,13.513,2.0
13,1e-05,2,32,16,500,0.0,0.8272475004196167,0.6933333333333334,0.7073430445523469,0.6933333333333334,0.6932367149758454,1.3711,218.801,13.857,2.0
14,1e-05,2,32,16,500,0.3,0.8277162909507751,0.69,0.7046827891461929,0.6900000000000001,0.6898304854826595,1.3925,215.436,13.644,2.0
15,1e-05,2,32,32,250,0.0,0.8137205243110657,0.6866666666666666,0.6972329936416689,0.6866666666666666,0.6869864026853274,1.3475,222.632,7.421,2.0
16,1e-05,2,32,32,250,0.3,0.8161295056343079,0.69,0.7000125031257814,0.6900000000000001,0.6903626674212412,1.3696,219.039,7.301,2.0
17,1e-05,2,32,32,500,0.0,0.8272474408149719,0.6933333333333334,0.7073430445523469,0.6933333333333334,0.6932367149758454,1.3578,220.948,7.365,2.0
18,1e-05,2,32,32,500,0.3,0.8277161717414856,0.69,0.7046827891461929,0.6900000000000001,0.6898304854826595,1.3618,220.302,7.343,2.0
19,1e-05,2,32,64,250,0.0,0.8137205243110657,0.6866666666666666,0.6972329936416689,0.6866666666666666,0.6869864026853274,1.269,236.416,3.94,2.0
20,1e-05,2,32,64,250,0.3,0.8161295056343079,0.69,0.7000125031257814,0.6900000000000001,0.6903626674212412,1.2441,241.129,4.019,2.0
21,1e-05,2,32,64,500,0.0,0.8272475600242615,0.6933333333333334,0.7073430445523469,0.6933333333333334,0.6932367149758454,1.2561,238.835,3.981,2.0
22,1e-05,2,32,64,500,0.3,0.8277163505554199,0.69,0.7046827891461929,0.6900000000000001,0.6898304854826595,1.2467,240.626,4.01,2.0
23,1e-05,2,64,16,250,0.0,0.8057060837745667,0.6733333333333333,0.6760620716144353,0.6733333333333333,0.6731116383509436,1.3744,218.27,13.824,2.0
24,1e-05,2,64,16,250,0.3,0.8029735684394836,0.67,0.6729858189184977,0.6699999999999999,0.6697035954800444,1.3861,216.43,13.707,2.0
25,1e-05,2,64,16,500,0.0,0.8158016204833984,0.68,0.6869647097355277,0.68,0.6809291002736199,1.3767,217.906,13.801,2.0
26,1e-05,2,64,16,500,0.3,0.8145062327384949,0.6733333333333333,0.6804184516048922,0.6733333333333333,0.6743679651600302,1.3697,219.028,13.872,2.0
27,1e-05,2,64,32,250,0.0,0.8057062029838562,0.6733333333333333,0.6760620716144353,0.6733333333333333,0.6731116383509436,1.341,223.719,7.457,2.0
28,1e-05,2,64,32,250,0.3,0.8029736280441284,0.67,0.6729858189184977,0.6699999999999999,0.6697035954800444,1.3591,220.742,7.358,2.0
29,1e-05,2,64,32,500,0.0,0.8158016204833984,0.68,0.6869647097355277,0.68,0.6809291002736199,1.3288,225.764,7.525,2.0
30,1e-05,2,64,32,500,0.3,0.8145061731338501,0.6733333333333333,0.6804184516048922,0.6733333333333333,0.6743679651600302,1.3279,225.915,7.53,2.0
31,1e-05,2,64,64,250,0.0,0.8057060837745667,0.6733333333333333,0.6760620716144353,0.6733333333333333,0.6731116383509436,1.2181,246.286,4.105,2.0
32,1e-05,2,64,64,250,0.3,0.8029735088348389,0.67,0.6729858189184977,0.6699999999999999,0.6697035954800444,1.2311,243.688,4.061,2.0
33,1e-05,2,64,64,500,0.0,0.8158016800880432,0.68,0.6869647097355277,0.68,0.6809291002736199,1.2237,245.168,4.086,2.0
34,1e-05,2,64,64,500,0.3,0.8145062327384949,0.6733333333333333,0.6804184516048922,0.6733333333333333,0.6743679651600302,1.2216,245.573,4.093,2.0
35,1e-05,3,16,16,250,0.0,0.756570041179657,0.7433333333333333,0.7467351358334439,0.7433333333333333,0.7426835615618105,1.4414,208.128,13.181,3.0
36,1e-05,3,16,16,250,0.3,0.749793291091919,0.75,0.7534478557504873,0.75,0.7499011212945582,1.4491,207.029,13.112,3.0
37,1e-05,3,16,16,500,0.0,0.7508658170700073,0.7533333333333333,0.7568081055351558,0.7533333333333334,0.7526650587880614,1.4512,206.731,13.093,3.0
38,1e-05,3,16,16,500,0.3,0.7510440349578857,0.76,0.7630766622588411,0.7600000000000001,0.7594538592218791,1.4433,207.855,13.164,3.0
39,1e-05,3,16,32,250,0.0,0.7565703392028809,0.7433333333333333,0.7467351358334439,0.7433333333333333,0.7426835615618105,1.4114,212.555,7.085,3.0
40,1e-05,3,16,32,250,0.3,0.7497931122779846,0.75,0.7534478557504873,0.75,0.7499011212945582,1.3844,216.703,7.223,3.0
41,1e-05,3,16,32,500,0.0,0.7508658766746521,0.7533333333333333,0.7568081055351558,0.7533333333333334,0.7526650587880614,1.4099,212.784,7.093,3.0
42,1e-05,3,16,32,500,0.3,0.751043975353241,0.76,0.7630766622588411,0.7600000000000001,0.7594538592218791,1.4144,212.102,7.07,3.0
43,1e-05,3,16,64,250,0.0,0.7565701007843018,0.7433333333333333,0.7467351358334439,0.7433333333333333,0.7426835615618105,1.3041,230.043,3.834,3.0
44,1e-05,3,16,64,250,0.3,0.7497931718826294,0.75,0.7534478557504873,0.75,0.7499011212945582,1.3214,227.035,3.784,3.0
45,1e-05,3,16,64,500,0.0,0.7508658766746521,0.7533333333333333,0.7568081055351558,0.7533333333333334,0.7526650587880614,1.317,227.791,3.797,3.0
46,1e-05,3,16,64,500,0.3,0.7510440349578857,0.76,0.7630766622588411,0.7600000000000001,0.7594538592218791,1.4136,212.232,3.537,3.0
47,1e-05,3,32,16,250,0.0,0.7552300095558167,0.7433333333333333,0.7450236659534463,0.7433333333333333,0.7438601678905261,1.4717,203.84,12.91,3.0
48,1e-05,3,32,16,250,0.3,0.754630446434021,0.74,0.7413002314327793,0.7399999999999999,0.7404274264247026,1.4955,200.599,12.705,3.0
49,1e-05,3,32,16,500,0.0,0.7458743453025818,0.74,0.7411652875570401,0.7399999999999999,0.7404255276581974,1.4824,202.371,12.817,3.0
50,1e-05,3,32,16,500,0.3,0.7439640760421753,0.7366666666666667,0.7380741987516656,0.7366666666666667,0.737145879995948,1.4843,202.11,12.8,3.0
51,1e-05,3,32,32,250,0.0,0.7552300095558167,0.7433333333333333,0.7450236659534463,0.7433333333333333,0.7438601678905261,1.4714,203.885,6.796,3.0
52,1e-05,3,32,32,250,0.3,0.754630446434021,0.74,0.7413002314327793,0.7399999999999999,0.7404274264247026,1.4599,205.497,6.85,3.0
53,1e-05,3,32,32,500,0.0,0.745874285697937,0.74,0.7411652875570401,0.7399999999999999,0.7404255276581974,1.4479,207.197,6.907,3.0
54,1e-05,3,32,32,500,0.3,0.7439641356468201,0.7366666666666667,0.7380741987516656,0.7366666666666667,0.737145879995948,1.4575,205.826,6.861,3.0
