in_len,out_len,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,batch_size,dropout,lr,year,sMAPE
15,9,128,2,7,4,256,293,0.05578846372522476,2.937023088918764e-05,True,89.21415580298432
10,20,64,4,6,4,512,130,0.08777253500326669,1.4014896694500815e-05,False,53.110884490146304
23,26,128,2,3,2,256,8,0.05751987311831936,1.6996532307174347e-05,False,83.97753726970699
15,24,32,2,2,5,1024,162,0.056364918721996025,3.068743682758564e-05,False,23.031940306746193
10,20,32,4,3,7,256,212,0.008979110144732072,2.4953975312484566e-05,False,49.31121491258071
19,22,32,8,5,4,512,305,0.27675185494437504,2.856723524067999e-05,False,33.067268077634466
30,24,32,2,8,5,256,312,0.1011585853719329,1.0320160877677343e-05,False,57.330075593107885
26,17,64,8,7,4,1024,286,0.18120818529728336,2.0778698572511313e-05,False,45.17986566294475
8,15,32,8,5,4,256,156,0.2067409707737811,4.6981751217353476e-05,False,69.59721595706644
20,7,128,2,2,8,512,100,0.2885426913741506,3.739049039869711e-05,True,108.281619024251
16,30,32,2,2,6,1024,51,0.124819620899142,4.8612368945657745e-05,True,54.67199521362851
15,24,32,8,4,2,512,235,0.2993778184756031,3.148535947798569e-05,False,36.20753689841396
19,28,32,8,5,6,1024,364,0.23403589110463063,2.4491571145296242e-05,False,48.063472648537505
13,22,32,8,4,3,1024,189,0.14868015728456957,3.402999389912079e-05,False,45.215712611951744
21,14,32,4,4,5,512,249,0.24777887802023257,3.907644414524875e-05,True,69.88116414999689
25,26,64,2,6,6,1024,341,0.1685840450147871,2.7461067765127992e-05,False,43.80969136384815
17,18,32,8,3,3,512,146,0.13844119149716866,1.954885054460242e-05,False,43.73017128072386
22,22,32,2,2,3,1024,77,0.205091928124792,2.829067537321886e-05,False,39.115038064481894
12,30,64,8,5,5,512,186,0.2630360162006589,3.431569772924619e-05,True,20.77388873643391
12,30,64,4,8,5,512,192,0.003929812192235718,3.9949247207657936e-05,True,24.343599817977324
8,27,64,2,6,7,1024,250,0.17270091606527888,3.4150709545743656e-05,True,30.72236028146059
12,30,64,4,8,5,512,185,0.0026568376272627318,3.974866285402753e-05,True,34.45110552315998
13,29,64,4,8,5,512,175,0.03197058866176204,4.31180677068513e-05,True,33.02292481688831
11,25,64,4,7,6,512,121,0.030725057212411838,3.469477580425513e-05,True,43.274411300643436
7,28,64,4,5,7,512,207,0.0852405714286219,4.408606009854758e-05,True,33.378114991498464
14,30,64,4,7,5,512,222,0.1155799904688665,4.01359936152497e-05,True,37.1213609919219
17,27,64,8,3,6,1024,162,0.0684599249778335,3.2664024480168724e-05,True,29.874127080406414
10,23,128,2,4,5,512,271,0.034425588906745935,4.918345384553364e-05,True,57.802717544904525
12,28,64,4,6,8,512,98,0.0014051728640868816,3.646820517752794e-05,True,39.416046022091244
15,11,128,8,8,4,1024,198,0.0544589293905548,3.0987813688752444e-05,True,85.95900867278542
17,20,64,2,7,3,256,132,0.11395781420657032,4.266909806673784e-05,True,32.60875787888519
17,26,64,8,3,6,1024,162,0.07990534706621727,3.205781518116802e-05,True,31.610243766301082
14,28,64,8,2,6,1024,174,0.07085188625093142,3.5684060899214944e-05,True,34.92823799446022
16,27,64,8,3,5,1024,141,0.06276892116266697,3.140798356230569e-05,True,47.89010784455729
11,30,64,8,3,7,1024,117,0.09485779930693276,2.8647617768438362e-05,True,51.106543452922615
13,25,128,4,2,4,1024,226,0.04829492865971455,2.5190223594991505e-05,True,21.9679084548401
9,25,128,4,2,4,256,221,0.018486410050324552,2.5079633220323725e-05,True,71.08956199105276
13,21,128,4,6,4,512,261,0.04497836466735211,2.6635143602615715e-05,True,76.56678992618524
11,24,128,4,4,4,256,228,0.017749457558933715,2.3644115610553306e-05,False,29.44128511156326
9,19,128,4,5,5,512,204,0.05320460729072998,2.966215271192396e-05,False,66.50695912845629
30,29,128,2,2,5,1024,179,0.01795242017469212,2.2397915468452915e-05,True,37.646931908598866
11,24,128,4,4,4,256,228,0.017730278841709385,2.3418775239723953e-05,False,28.81376278872829
12,25,128,4,5,4,256,240,0.03684828045702204,2.6348186651414393e-05,False,21.419760211363332
14,26,128,4,5,4,256,269,0.04731543272308482,2.653770133341644e-05,False,25.518937761556003
15,16,128,4,6,3,256,289,0.07661154897476971,2.889208008538658e-05,False,69.66710037735996
12,23,128,4,2,5,256,244,0.03822800247967188,2.6023066251880956e-05,False,29.25222957996642
9,29,32,2,5,4,256,306,0.05890963502864158,3.6820631985196316e-05,False,26.097341388383466
13,25,32,4,3,2,512,195,0.09695764131336876,2.0052150154369716e-05,False,22.42029230879274
16,21,32,4,2,2,1024,212,0.09049609108911039,2.0490380694747643e-05,False,23.344089744260856
18,25,32,2,3,2,1024,159,0.09944719988360198,1.8518367844109147e-05,False,22.50580821760889
26,25,32,2,3,2,512,41,0.10131794358027976,1.6933338754764374e-05,False,32.91353477836672
19,23,32,2,3,2,1024,152,0.06567227551680108,2.1584048433259653e-05,False,22.414381405198412
19,23,32,2,3,2,1024,149,0.07541112865616532,1.9289581883103764e-05,False,20.64059324144851
19,23,32,2,4,2,1024,94,0.07042473833208494,2.3070548556759124e-05,False,47.76394485181903
20,21,32,2,3,3,1024,146,0.08080821088227623,2.17973828242262e-05,False,46.38977320512681
23,22,32,2,4,2,1024,195,0.06068812969686192,2.109871966223226e-05,False,33.63454158817781
21,19,32,4,3,3,1024,239,0.275113314256648,2.4383323800528887e-05,False,54.05055398403138
18,23,32,2,2,2,512,172,0.12720895799084792,1.843940571420698e-05,False,24.185392200722674
23,26,32,4,3,3,1024,214,0.05181937324448677,2.2046323238355545e-05,False,23.986542942539753
20,24,32,8,5,3,512,118,0.08650794826011787,2.495595931915253e-05,False,51.76908209239196
13,17,128,2,4,2,256,149,0.040696434538796,1.999811467407716e-05,False,42.56475130876299
18,25,32,2,3,2,1024,157,0.10148931604325029,1.892739459029137e-05,False,22.84175439583067
21,27,32,2,3,2,1024,189,0.15229709622907567,1.831025682553703e-05,False,25.309693618809554
18,25,32,2,4,2,1024,253,0.10767872060027003,1.7228970129923306e-05,False,26.137886581785665
10,22,32,2,2,2,1024,133,0.0949724164185621,2.1332390854545633e-05,False,21.6983497943538
7,20,32,2,2,3,1024,129,0.07481283088388879,2.1214308364542587e-05,False,25.637358904977148
10,22,32,4,2,2,512,72,0.08852329144878016,2.2486258564673627e-05,False,41.98601382139819
14,23,32,8,2,3,1024,137,0.06973676413200358,2.7541993710821734e-05,False,33.11076980253571
8,21,128,2,2,2,1024,106,0.029949354331657754,2.034900197292465e-05,False,66.7806065929109
10,13,32,4,5,2,512,185,0.059397569678712486,2.1258572914839717e-05,False,43.118258476922975
12,26,128,8,3,3,1024,165,0.08280956189186872,2.3339935294882278e-05,True,23.62214113259396
16,24,32,2,3,2,1024,156,0.11722059068750057,1.9659693609358553e-05,False,23.964631263296138
