in_len,out_len,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,batch_size,dropout,lr,year,sMAPE
11,10,128,2,3,6,512,31,0.2855839940145143,1.1300349515314269e-05,True,103.86522754042977
28,18,32,2,5,5,256,316,0.08476565835260771,2.7820242606401424e-05,True,22.85856337662122
7,30,128,4,5,2,512,244,0.16594815577481364,1.6348821135104424e-05,True,35.9671325725259
8,22,64,4,7,5,1024,77,0.14369490248004882,1.29950392562189e-05,False,28.76179504912416
16,12,64,2,7,7,1024,43,0.1830715686423352,3.785179994178032e-05,True,77.09635371093006
24,24,32,2,2,4,1024,286,0.17855594468835226,1.1267822144367228e-05,True,49.925517560181355
9,10,128,2,5,3,1024,143,0.028543177724468415,1.5902720308579636e-05,True,85.16641844677739
14,24,128,8,3,4,256,169,0.17348919064281026,1.2707289866461631e-05,True,19.804887832694043
16,19,128,4,6,4,1024,275,0.09016252783197404,1.2953398305948666e-05,True,35.72540093699991
16,16,32,2,2,5,256,111,0.1288316723249748,1.8947531208670137e-05,False,30.83423713164009
22,28,128,8,3,8,256,194,0.24071853753858075,2.485945881425668e-05,False,21.546649572691738
22,28,128,8,3,8,256,189,0.24091555605442388,2.3660818660595024e-05,False,21.05051819764978
20,25,128,8,4,7,256,191,0.22926744865325496,2.1036309063458128e-05,False,19.884980771296522
13,24,128,8,4,7,256,150,0.21198029087117942,4.980044720625448e-05,False,19.457117206308858
12,22,128,8,3,6,256,139,0.1940192672997439,4.646893882531476e-05,False,20.161696980500473
13,25,64,8,4,3,256,245,0.29944741911529116,3.1729658178725436e-05,False,18.74995533795829
12,20,64,8,4,2,512,359,0.2851443109543232,3.3665924503936477e-05,False,21.02084143688394
18,15,64,8,6,3,256,243,0.29442479366202334,4.777392271792432e-05,False,23.993258693580923
14,26,64,8,8,7,256,239,0.259210891831925,3.845181874354211e-05,False,19.86386370877431
10,22,64,8,4,3,256,95,0.2217521241767993,3.070309925964379e-05,False,19.584104413057844
27,7,64,8,4,6,512,357,0.21066657700377123,4.9333718520874814e-05,False,98.04638413466937
10,22,64,8,4,3,256,80,0.2615462717818193,2.9691832957597046e-05,False,19.53718036504675
13,27,64,8,4,2,256,76,0.2691313646938599,2.9745803822043822e-05,False,21.12210631920984
10,30,64,8,6,3,256,133,0.2622017363805987,4.0535812300697765e-05,False,21.926468939388947
7,21,64,8,5,4,256,11,0.25232150992865854,2.730565607585362e-05,False,60.82334593644671
18,24,32,4,4,3,256,219,0.2998591490817064,3.369168502598215e-05,False,24.282355236932933
14,18,64,8,2,2,256,162,0.2104001883130639,4.153948346471776e-05,False,76.04750227253551
9,23,64,8,5,4,256,60,0.26613940246510537,3.4687859275736104e-05,False,25.472814815124234
15,26,64,8,4,6,256,111,0.23037673996328328,2.55449499650943e-05,False,19.786518137530447
11,20,32,4,3,8,512,217,0.28253284963893965,4.3577671993669484e-05,False,23.83417267432917
