,text,sen,sen_2
0,according to x y of people asked have held bitcoin at some point in their life i m yet to see a convincing study or report on bitcoin adoption for any country or for the whole world,0,1
1,goingparabolic trillions of scam the others companys has assets bitcoin has smoke air nothing,0,0
2,kucoincom btc is the greatest scam and money burning in th century and never worth more than btc ponzi,0,0
3,it always leaves such a little amount in there that you can t do anything with like you can t just buy more of a coin because it s below the minimum amount for a purchase it s so annoying,0,0
4,typical rbitcoin user he s and used his grandmas birthday money to buy btc and now he s crying because he s down to,0,2
5,bitcoin btc back to earth with nice and easy landing all bullish hard work have been vanished with out any hard work thats why they call it bear market,0,2
6,stackthefuture agreed diet and bitcoin are totally unrelated just another toxic part of the bitcoin community,0,0
7,hhh balance stuck in cryptocurrency btc dawn,0,1
8,it is impossible to graft a new branch of speculative currency onto the dying tree of capitalism bitcoin,0,0
9,it is important for you to understand what is happening to bitcoin right now it is being manipulated by a momentum ignition algorithm btc example below here s a definition and source trading bitcoin right now is dangerous bc it is being manipulated,0,0
10,btc gurus talking a giant head and shoulders in a weekly tf if that scenario happens we see k or even lower bitcoin,0,1
11,you ca nt pay with bitcoin,0,1
12,bitcoin mempool clears for the first time since november is it a bubble sign the current situation may indicate an upcoming market crash,0,0
13,bitcoin just lost its footing but gold silver ready for ath chartwise,0,0
14,elon musk s bitcoin bet cost tesla million bitcoin btc,0,1
15,start to selling now btc bitcoin this bear market will stay at least years untill good luck to all,0,2
16,here s a look at some of the scams surrounding cryptocurrency and how you can limit the risk if you own or trade in crypto bitcoin crypto fraud,0,0
17,a lot of uneducated day traders here,0,0
18,tmobile breach includes not only names phone numbers and physical addresses but also more sensitive data like ssn s driver s license information and imei numbers info sold for bitcoin tmus,0,0
19,damn i miss the bull market bitcoin crypto,0,2
20,forget bitcoin altcoins are moving with you can analyze where the volumeprice is movin,0,1
21,bitcoin btc price falls sharply after brief rebound to k level new alltime high btc balances for a specific bitcoin address category were revealed by intotheblock when terra dumped its bitcoin into the market in early may,0,0
22,another month of crashing,0,0
23,i ve never had to transfer money out of country other than by credit card payment which was instant no fees major institutions may find this a compelling feature of bitcoin but major institutions wo nt be dumping millions or billions into an asset class with a chart like btc s just to save a couple days and dollars on transactions they ve been living with just fine for decades with the current paradigm btc solves a problem i ve never heard major concerns over the best use case for crypto is drug dealers and other criminals and that s a perfectly reasonable use case i m sure btc will find a floor around or or who knows where thanks to these market participants but other than them hmm,0,0
24,no one other than michael saylor pomp joe lubein claytonhinman are buying movie tickets with btc and eth,0,0
25,never had a job or did anything useful or good for the world tries to impress family friends with money withdrawals doesn t get invited to parties everyone hates the lazy knucklehead,0,0
26,i m not talking about the network at all networks can always go underground and i agree there s no way to stop it i m talking about the monetary value of btc because currently what we re doing is exchanging fiat for btc btc can still be used for the exchange of tangible products like the examples you stated but what s stopping the us gov to officially and outright declare btc an illegal currency imposing hefty finesjail term on businesses big and small if they were caught transacting in btc do you still think businesses would risk accepting them it will slowly but surely fade away the monetary value for the exchange of physical goods of btc another example i walk into a store with a kilo of drugscontrolled substance in exchange for a van of soda that kilo definitely has much much much more monetary value but it s illegal for the business to accept it yes some businesses would still take it but most wo nt in layman terms what if the future of btc is actually just a super fancy technologically perfect hyped up digital ingame currency it has it s own value tagged to it but not something you can live off it monetarywordly value you spent years exchanging and dcaing fiat for it but you ca nt actually use it if regulations are officially imposed on a global scale get what i m trying to say,0,0
27,same thing as last year it s bullshit bitcoin magazine is trying to create a big tent conference but it s just fucking affinity scammers,0,0
28,bitcoin falls to k traders say bulls need a hail mary to avoid a bear market bitcoin via,0,0
29,btc bitcoin is more fun to watch when it falls close to there will be many long term investors around,0,2
30,exactly we don t even need governments and central banks to hold bitcoin the longer they don t the faster they get buried and are irrelevant to financial system,0,2
31,jfcargo bryanbsolstin right not bitcoin,0,1
32,bitcoin getting bashed bitcoin bearmarket down,0,0
33,startonio czbinance binance bitcoin is dipping deeper into the old resistance area in an effort to flip it into a new support area weekly retest in progress ethbtc is a super underrated bitcoiner i ve been taking her tweets and tips seriously i ve been doing superb,0,1
34,ok but that s entering mental sickness stage,0,0
35,here is the intelligence squared bitcoin vs gold debate i did with scaramucci since you bitcoin pumpers forgot to rig the vote this time i was actually able to win this one check it out and judge for yourself,0,1
36,bitcoin price very near bottom with k dip says bullish institutional report,0,1
37,bitcoin plunges below for first time since january the world s top digital asset bitcoin has suffered a daily plunge of over dragging the cryptocurre bitcoin cryptocurrency digitalasset,0,0
38,ummmm the bottom is zero at you needed a telescope to see it at you needed binoculars to see it but now you just need to look down,0,1
39,bitcoin are you okay bro,0,1
40,cashapp would be more of a party if bitcoin was nt dropping like it is cashappfridaynight crashrs,0,2
41,if you invested in bitcoin year ago alltime high you d have,0,2
42,switzerland hesitant with a possible mass adoption of bitcoin,0,1
43,rovercrc when i checked btc there is nothing bullish about the price because it s still below as the market is still unstable however i find pptorn vault an auto compounding apr that maximizes users deposit into torn reward that increases profit and reduces gas fee bullish,0,1
44,new to trezor i just paid a fee in btc to move k worth of btc from coinbase pro to trezor is this normal that s so much money just to transfer funds,0,1
45,i dunno is the risk of not earning interest by holding btc yourself worth it lots of risk just managing your own crypto for most people,0,1
46,it hurts to see the whole crypto portfolio fall into minus i have no more money to buy the dips dogecoin bitcoin eth,0,0
47,bitcoin is literally crashing,0,0
48,bitcoin be ready for a bearmarket btc take profit,0,2
49,jamie dimon remains a skeptic of bitcoin stating that bitcoin should be regulated by the government click here for more details leapwealth texasadvisor bitcoin,0,1
50,just in tesla is currently down over million in its bitcoin investment when buy the dip elon,0,0
51,only buy a ford bitcoin can t buy money lose not wisdom,0,2
52,btc has retraced from its all time highs still less than the retracement this past september btc crypto bitcoin,0,1
53,tesla reverses decision on bitcoin car payments on environmental concerns bitcoin,0,1
54,why is ethereum better than bitcoin better money as it continues to scale to meet demand better finance supporting all services that are required for money through defi better store of value with lower inflation long term security,0,2
55,yes before the btc crash there was a run up sadly i missed that will btc ever be above k again i seriously doubt it but hey no one knows for sure anything is possible i m just saying in my opinion its not likely i think btc rose for the last time in and its just downhill from here on until it stops at around k would be my best nonexpert guess,0,1
56,cryptohayes im willing to bet that you wont see btc at k,0,1
57,depression these type of irresponsible statements are going to hurt new investors who will be misled to buy at the wrong time btc is going to fall further due to ftx genesis and other crisis in crypto market there is absolutely no chance of btc going to k in few weeks,0,0
58,tonevays that is just an excuse for btc price manipulation,0,0
59,i got ta say i fucking suck at trading btc,0,0
60,head and shoulders inside of a bear flag not looking good for btc btc,0,0
61,digital currencies are risky invest with caution btc ethereum,0,0
62,monthly closed like shit whole summer will be boring gg bulls you are trash btc,0,0
63,mathieusylvain i see on bfx that btc has already fallen to k so there are no signs of life again,0,0
64,no buyers i lost last week trading bitcoin i m not coming back on this range my bias is that a lot of ppl cashed out with so much losses that they are not coming back soon i m still in profit planning to rebuy at lower prices my eyes are on spx untill,0,1
65,are we having fun staying poor guys bitcoin,0,1
66,does anyone know what this is about mana to the moon so hard it broke mana crypto bitcoin btc,0,1
67,a smart company wouldnt say they are getting into bitcoin they wouldnt want to spike their on prices would they,0,0
68,i am very curious to see what new imaginary support lines these permanentbull guys will find after bitcoin will fall below their expectations,0,1
69,bitcoin pyramid schemes wreak havoc on brazil s new egypt currency worldnews,0,0
70,this trading volume is extremely unusual suspicious looks exactly what you d expect in a heavily manipulated market bitcoin,0,0
71,all those who sold their land houses cars even borrowed money and bought bitcoin at k in april thinking it will keep going up one day you will learn this lesson do nt make investment decisions because of greed praisesnuggets bitcoin,0,2
72,bitcoin update btc ended up crashing through my bounce range and flipped support back into resistance clear range bottom at k was lost and price has since continued down pretty clear now the downtrend remains intact and the bounce to k was a relief rally btc,0,1
73,bitcoin is so slow futile that you have to go offchain with an even crazier system just to try to save face of btc as a legit peertopeer system pump your bags,0,0
74,mayhemmarkets the real question is what is going to happen when btc corrects these couple of days btc corrected less than,0,1
75,unfortunately your ids are never safe that s the risk you take for buying using coinbase and other similar exchanges,0,0
76,good morning east asia australia with a market cap of t we are down over the past h wagging it s tail between btc is now at with a dominance of a fear greed index of shows the market is in fear,0,1
77,danheld bitcoin gives back for sometime than it will take it all together,0,1
78,the total crypto market cap continues to crumble as the dollar index hits a year high crypto bitcoin cryptocurrency,0,0
79,mind the gap looks as if gold has more upside potential given the huge drop in real yields and given that digital gold bitcoin keeps struggling wthe mark,0,1
80,bitcoin czbinance is a scammer of crypto do nt use bnbchain stealing money from bnbchain and pumping gmt token and bnb token he can do rugpulls also czbinance is a scammer of crypto,0,0
81,bitcoin is such a pussy sometimes,0,0
82,muatafagmi peterschiff if someone offers me as a gift a gold ingot or the equivalent in bitcoin i will always take the ingot and the hard truth is that of the people would do the same even the crypto guys the hype of the crypto market is all the gambling nothing else,0,0
83,just in chinese central bank prohibits banks from offering any financial services that could be used for trading cryptocurrencies like bitcoin,0,0
84,wtf i just had dream seeing btc down and bnb eth down dream,0,0
85,breedlove so you are saying that you will bribe with bitcoin to health passport guards massive asset appreciation black market mmm interesting theory it could work,0,1
86,you guys still have got money for the food lol i m sleeping hungry,0,1
87,easyeight can someone please delete btc now,0,0
88,it s over for you betches bitcoin,0,0
89,if you have resources you can always manipulate markets politics health,0,2
90,bitcoin when bottom mike novogratz predicts bottom for bitcoin and ethereum,0,1
91,their ev market share is already dropping like a rock,0,0
92,it s best to treat btc like a child now you ca nt go below k but you know exactly what will happen to it eventually btc,0,1
93,fuck them alts btc everything will be red when almighty is red,0,0
94,i hate how finance bros took over bitcoin and pegged it to fiat bitcoin could have been the inflation hedge it was supposed to be were it not for finance bros,0,0
95,i ve only used kraken did some small x leverage longs but the rollover fees every hours seemed very expensive,0,0
