text,sen
Crypto markets trading like its an all hands on deck effort to keep #tether from breaking its peg. Curious at what price they start to abandon ship and its every person for themselves. Looks totally broken &amp; the mother of all #bitcoin waterfalls is close.,-1
"After looking at some indicators, you might be right. 

According to my Fibonacci chart extensions, blow-off top will be in the 80-85k range before 2-3 year bear market 🐻",-1
"BREAKING: 91-Year-old man who owns mostly bank stonks says he hates #BTC, again.",-1
"Bitcoin funding rates stay negative as BTC price spikes to $43.5K
https://t.co/GV6Zh2MgzT

#Bitcoin #BTC #Crypto https://t.co/cN3c5oYHPf",-1
"but the damage was done though. We got rekt’d, it will now be a big hill to climb back up. HODL",-1
"🚨 Here’s Why Cryptos Would Remain in the Bear Market Territory in 2023
#Bitcoin  #Ethereum",-1
@BrentLindeque #Bitcoin rendered government a non-essential service https://t.co/PVqetBoSh5,-1
@TheCryptoLark If ethereum flips #Bitcoin then we've lost &amp; Fiat is still the winner &amp; nothing changes in the world.,-1
"@MonstersCoins I'm everything except bullish right now, I still have confidence in a few alts; $SYS $ETH &amp; $CVP.

@syscoin optimistic #L2 as of now has:
- Near-instant fulfillment
- #Bitcoin PoW in the background
- Multi-quorum finality

#syscoin",-1
#bitcoin fear and greed 12 terra #luna classic scam https://t.co/0ZhpshZcfX via @YouTube,-1
I'm sad that it's a few more days until the next paycheck..,-1
"Because Forex Markets have years of solidity and millions in budget, not to mention that they use their own datacenters. These lame cryptomarkets are all supported by some Amazon-cloud-style system. They delegate and delegate their security and in the end, get buttfucked...",-1
"Dude no one here cares about the alts, it could get you banned.",-1
I’m out of that “project”. It’s horrible. Was just in it cause Andreas but we see now what it is.,-1
10K what?  Dollars?  You've got to be kidding.,-1
@CryptoHammie THE VOLUME IS FUCKING SHIT #BITCOIN $BTC IS GOING TO ZERO TOMORROW https://t.co/FXwrggFWeJ,-1
Everyone is getting in on the Scam. Gotta dump their gains on an unsuspecting public. #Bitcoin https://t.co/01TX8MoYaD,-1
"Ripples seems to have left the red zone, Bitcoin please wake up",-1
So I think its pretty obvious that #ethereum is lifting the crypto market. not #BTC and I am bullish on both @ethereum,-1
@Bitcoin People are literally angry because they see a picture of #BTC and #BNB beside one another 🤣. Someone please slap me if I ever become that deranged.,-1
Another random dump lol,-1
@FossGregfoss @DylanLeClair_ @SusieBdds How dare you!   #BTC,-1
#Bitcoin going to $1,-1
"Overall every market is not performing well and looking at the current inflation, war and covid situation, it is highly unlikely we will see #Btc  rise. If you see a pump, you will see a dump too 🤔 #cryptotrading",-1
"#Bitcoin mining operation in Finger Lakes sparks local concerns

https://t.co/v0bULbVPgB",-1
"@LadyofCrypto1 #Bitcoin will b so cheap in coming days, if not weeks, if not minutes...",-1
This is worrisome! We will talk about this shortly - #BTC Futures Perpetual Funding Rate - All Exchanges. #Bitcoin,-1
What I find really odd is that people keep saying they want more regulation to legitimise the area and allow institutional money to come in and then when there are reports there will be more regulation the market seems to get scared.............,-1
"Guess #Bitcoin is going down again 🤣

$BTC https://t.co/IZtBqQMeOl",-1
"There is only Twitter and specific coin related telegram groups, which might be infested with scammers as well. You're probably better off here. If you find a better sub, pls let me know 😅",-1
"Economist Says #Bitcoin Isn't Too Big to Fail — Warns #BTC Can Only Establish Itself if Governments Allow It 

https://t.co/nkpYsUQmn4",-1
Let me play a sad song for you on the worlds smallest violin,-1
"Hey Mr. Whale, can you please pump #Bitcoin? My $200 position is underwater.",-1
Analyst Who Accurately Called Massive #Bitcoin Crash Has Bad News for #Crypto Traders – Here’s His New Target https://t.co/fZqf2ueeHG,-1
"That sounds even bad lol, that's something worse than gambling.",-1
"Crypto investors😂

#cryptocrash #bitcoin #CryptocurrencyNews https://t.co/9EAsZy7Az8",-1
"@cz_binance In the child trafficking world 🍕 pizza  is  a  symbol  for  podephiles to have sex with kids ,Interesting  correlation  with  #BTC whom  was  stolen  to  use  for  human  trafficking among other things.",-1
