text,sen
crypto markets trading like its an all hands on deck effort to keep tether from breaking its peg curious at what price they start to abandon ship and its every person for themselves looks totally broken the mother of all bitcoin waterfalls is close,-1
after looking at some indicators you might be right according to my fibonacci chart extensions blowoff top will be in the k range before year bear market,-1
breaking yearold man who owns mostly bank stonks says he hates btc again,-1
bitcoin funding rates stay negative as btc price spikes to k bitcoin btc crypto,-1
but the damage was done though we got rekt d it will now be a big hill to climb back up hodl,-1
here s why cryptos would remain in the bear market territory in bitcoin ethereum,-1
brentlindeque bitcoin rendered government a nonessential service,-1
thecryptolark if ethereum flips bitcoin then we ve lost fiat is still the winner nothing changes in the world,-1
monsterscoins i m everything except bullish right now i still have confidence in a few alts sys eth cvp syscoin optimistic l as of now has nearinstant fulfillment bitcoin pow in the background multiquorum finality syscoin,-1
bitcoin fear and greed terra luna classic scam via youtube,-1
i m sad that it s a few more days until the next paycheck,-1
because forex markets have years of solidity and millions in budget not to mention that they use their own datacenters these lame cryptomarkets are all supported by some amazoncloudstyle system they delegate and delegate their security and in the end get buttfucked,-1
dude no one here cares about the alts it could get you banned,-1
i m out of that project it s horrible was just in it cause andreas but we see now what it is,-1
k what dollars you ve got to be kidding,-1
cryptohammie the volume is fucking shit bitcoin btc is going to zero tomorrow,-1
everyone is getting in on the scam got ta dump their gains on an unsuspecting public bitcoin,-1
ripples seems to have left the red zone bitcoin please wake up,-1
so i think its pretty obvious that ethereum is lifting the crypto market not btc and i am bullish on both ethereum,-1
bitcoin people are literally angry because they see a picture of btc and bnb beside one another someone please slap me if i ever become that deranged,-1
another random dump lol,-1
fossgregfoss dylanleclair susiebdds how dare you btc,-1
overall every market is not performing well and looking at the current inflation war and covid situation it is highly unlikely we will see btc rise if you see a pump you will see a dump too cryptotrading,-1
bitcoin mining operation in finger lakes sparks local concerns,-1
ladyofcrypto bitcoin will b so cheap in coming days if not weeks if not minutes,-1
this is worrisome we will talk about this shortly btc futures perpetual funding rate all exchanges bitcoin,-1
what i find really odd is that people keep saying they want more regulation to legitimise the area and allow institutional money to come in and then when there are reports there will be more regulation the market seems to get scared,-1
guess bitcoin is going down again btc,-1
there is only twitter and specific coin related telegram groups which might be infested with scammers as well you re probably better off here if you find a better sub pls let me know,-1
economist says bitcoin is nt too big to fail warns btc can only establish itself if governments allow it,-1
let me play a sad song for you on the worlds smallest violin,-1
hey mr whale can you please pump bitcoin my position is underwater,-1
analyst who accurately called massive bitcoin crash has bad news for crypto traders here s his new target,-1
that sounds even bad lol that s something worse than gambling,-1
crypto investors cryptocrash bitcoin cryptocurrencynews,-1
czbinance in the child trafficking world pizza is a symbol for podephiles to have sex with kids interesting correlation with btc whom was stolen to use for human trafficking among other things,-1
anyone else hovering their finger over the instant sell button i mean this is unreal there has to be a violent pullback before going further,-1
i see have nt wanted to buy for a while,-1
buy high sell low lol,-1
to the people forcing bitcoin up and holding it for what s supposed to be when you lose all you re money don t cry bitcoin bitcoin,-1
got it so you want someone else to be bag holders of your shitcoin to bail you out of your poor choices grow up btc crypto celsiusnetwork,-1
whine call it what you want i just simply type out the opinion that i think bitcoin will continue to go down on value thats my opinion you can call it a whine or not i do nt care i m just bearish on bitcoin deal with it,-1
well welll bears at it btc bnb eth,-1
on a day bitcoin is getting a little battered and amp is on a downer for now very interesting on coinbase at this moment amp has jumped to number in popularity also the buy to sell ratio is way up at almost can you say amp accumulation she s going to go,-1
news on the block bitcoin falls under btc btc bitcoin bitcoin,-1
it s the last line of support guys bitcoin luna btc,-1
bitcoin broke k support not looking good at all,-1
bitcoin may not last that much longer academic warns,-1
i have low confidence that the boomers in charge understand bitcoin,-1
fell what s next support,-1
joshbtchodl ftxofficial unless vlp brings the financial benefits i see reason to continue to add btc there usdc still seems to reign supreme at investvoyager,-1
ryangarzone ukharvey orlandobravotb warrenbuffett madoff defrauded almos billion compared to bitcoin s market cap of trillion he was trillion billion from bitcoin pretty close right,-1
no i m not stupid enough to invest in something that is nt backed by anything,-1
thecryptolark i see dead btc,-1
bitcoin need defibrillator flatline,-1
those usd btc stimulus given to el salvador citizens the are now worth usd,-1
does the fact that mining btc costs money mean that the value of btc is inherently tied to their most hated of all financial assets fiat money do cryptonites imagine a world in which an energy company will accept btc as payment for energy production to mine btc,-1
new york clamps down on bitcoin mining in newly passed bill,-1
kevin o leary ftx collapse is a turning point for the industry crypto bottom is in bitcoin crypto,-1
bitcoin manipulation at its finest on the weekend nothing like dump and pump in the span of couple hours,-1
it s not like lamborghini said they won t accept bitcoin nobody wants a fucking tesla,-1
some very stupid people in my comments the irony,-1
nope they are not dumb just not experienced and if werent for dumb money btc wouldnt have gone so high and it will remain low from ath until that same dumb money returns,-1
we are now seeing the consolidation in bitcoin i was hoping for last week ethereum looks even better technically than bitcoin if you ask me,-1
we probably do nt see xxx for bitcoin ever,-1
just in the us has dropped the ball on bitcoin and crypto regulation sec commissioner,-1
you call this a dump yall do nt know bitcoin,-1
that s great he can get out before he gets stuck in this shithole but yea kinda agree just feels bad seeing people still make accounts for this dog shit website,-1
what a shaky day for the crypto market right btc binance ftx,-1
