text,sen
it's about to explode,-1
Market Wrap Bitcoin could see pullback as volume drops btc Bitcoin markets cryptocurrency,-1
Darknet Krypto mixer operator pleads guilty to washing m in btc Bitcoinnews Bitcoin,-1
Bitcoin bear market can take btc price to k says dealer with shares due capitulation Bitcoin over,-1
jpgorgan allegedly closes bank accounts of Bitcoin mining company Bitcoin btc,-1
crypto crash trends on twitter as bitcoin falls under dogecoin bitcoin,-1
House panel calls for cryptocurrency fraud supervision Bitcoin markets trade,-1
The central bank of honduras made it clear on Wednesday that it would not make Bitcoin its legal tender Aakancvedi reports,-1
Bitcoin was just screwed in Nigeria with the large volume of pp Rank Bitcoin btc beautiful,-1
"see why many of us don't buy these dips exactly that mood, if it's not as bad as it usually is, it's not very positive Fridays were just really ugly we go on deep s and then Moonbois meets going crazy and everyone puts money in so it can dump and shorter can put in new positions everyone says zoom out and so we zoom out and it looks like shit between the Moonbois and wyckoff Wackoffs interspreaded are really normal people with real money who don't want to lose their profits it's just a very trusting inspiring thing",-1
Microstrategy Storage tanks with bitcoin as p nasdaq rally btc Bitcoin cryptocurrency xbt,-1
Bitboy is the dumbest name sounds like a stupid crypto theme comic book or some shit,-1
Remember all those who say i m gon na that Bitcoin will never be lower again than from your favorite ct influencers be careful who you listen to,-1
Big investor Michael Burry returns to Twitter to spread fear and make more money btc eth ethereum crypto bitcoin,-1
btc bitcoin primary trend remains bearish right on primary cycle support of k Thursday is our do or die day btc,-1
liquidated long on sale at btc multi kill bitcoin scam incoming,-1
Money launderers arrested in uae dubai with millions of stolen cryptocurrency in Bitcoin good work by law enforcement agencies,-1
"Okay, now it's heavy bitcoin btc btc",-1
"Large whales, which manipulate the market to their interests, are in my opinion the biggest disadvantage for crypto.",-1
"btc update I hate to say it, but it looks like Bitcoin make new lows ill wait until the daily end and tomorrow s for confirmation, but it might be time to move towards another view here an i suggested earlier k is a good goal imo btc crypto",-1
"I have tried to work mathematically on this whole post Bitcoin as collaterals and live off debt tax-free for the rest of your life thing and it only works nt work with most retail lenders including Blockfi, unless you accept Bitcoin doubles in value every year, at the point you're probably just better off going all in now with at least a year's worth of spending and then selling out half the resulting value years from now to invest in an income producing assets that make your current lifestyle indefinitely the ever-growing debt balloon of fiat dollars seems comparatively risky when Bitcoin growth is always underperforming your assumptions",-1
mas trust not retail crypto investments mulling more regulations crypto bitcoin ethereum,-1
is it going to drop again or buy now balp edit oh shit it went down a little bit,-1
bull trap we are not yet out of bitcoin crash btc,-1
