text,sen
It's about to explode.,-1
bitcoin market could see regression as volume decreases btc bitcoin cryptocurrency markets,-1
Darknet crypto mixer operator pleads guilty to m washing on btc bitcoinnews bitcoin,-1
bitcoin bear market can take btc price to k says trader with due stock capitulation bitcoin via,-1
jpmorgan chase allegedly closes bank accounts of the mining company bitcoin bitcoin btc,-1
crypto crash trends in twitter as bitcoin falls below dogecoin bitcoin,-1
House panel calls for surveillance of cryptocurrency fraud bitcoin trading markets,-1
Central Bank of Honduras clarified Wednesday that they would not be doing bitcoin their legal course aakancvedi reports,-1
Bitcoin just got fucked in Nigeria with the big volume of pp range Bitcoin btc nice,-1
You see this is why many of us aren't buying these dips exactly this feeling when it's not as bad as it usually is as a positive thing that isn't very positive Fridays have been frankly ugly we go down s and then hit moonbois they go crazy and everybody puts money on what they can dump and short they can put in new positions everyone says zoom and so we get close and looks like shit interspersed between the moonbois and crazy wyckoff are real normal people with real money who don't want to lose their profits that's not a very inspiring thing to trust,-1
microstrategy stock tanks with bitcoin as p nasdaq rally btc bitcoin cryptocurrency xbt,-1
Bitboy is the dumbest name that sounds like a stupid comic book with cryptographic themes or some shit.,-1
Remember all those people who say Bitcoin will never be lower than your favorite CT influencers again be careful who you listen to?,-1
big investor Michael Burry returns to twitter to spread fear and make more money btc eth etherum crypto bitcoin,-1
btc bitcoin primary trend remains right bassist in the support of the primary cycle of k Thursday is our do or die btc day,-1
liquidated long time for sale on btc multi kill inbound bitcoin scam,-1
money launderers arrested in uae dubai with millions of cryptocurrencies stolen in bitcoin good work by law enforcement agencies,-1
Well now it's violent bitcoin btc btc,-1
big whales manipulating the market in their interests is the biggest disadvantage to currently crypto in my opinion,-1
"btc update hate to say it, but it looks like Bitcoin will make new minima I'm going to wait until closing daily and tomorrow s for confirmation, but it might be time to shift to a different view here one I proposed before k is a good goal imo btc crypto",-1
I've been trying to do math work on this whole post bitcoin as a guarantee and live free debt taxes for the rest of your life and it just doesn't work with most retail lenders including blockfi unless you assume bitcoin doubles in value every year at which point it's probably best to go all at this point with at least a year's expense and then sell half the resulting value years to invest in an asset revenue producer that will keep your current lifestyle indefinitely the growing fiat dollar debt balloon seems comparatively risky if bitcoin growth never exceeds your assumptions.,-1
but does not rely on cryptographic retail investments reflecting more crypto regulations bitcoin ethereum,-1
Is gon na fall back or buy now halp edit oh shit gone a little bit again,-1
Bulltrap we're not out yet bitcoincrash btc,-1
Mikealfred with halves in the middle probably btc will be dead.,-1
send it to k bitcoin cryptocrash,-1
"I like Willy, but the more I read her tweets, the more I realize that she's actually very vague most of the time and doesn't provide much detail.",-1
Asia is getting madder philippines duterte threatening to imprison deshniks while Chinese repression against cryptocurrency is crashing bitcoin every other crypto is time to buy thedip or leave the market,-1
We're closer to k than we're to k btc.,-1
Buying superior bitcoin and lower bitcoin always feels really amazing investment mind,-1
btc is a hodl economy since when you have worked a today's economy as for gold or you can use it as ornament jewelry is indispensable in some industries is really timeless has unique properties there are thousands of different hashish larger blocks that can change,-1
bitcoin week social volume is up with price to btc bitcoin lunarshare lunarcrush,-1
davidgokhshtein no institution has any reason to buy this BTC shit,-1
It's best you don't buy if you don't always go straight without ever correcting,-1
if you invested your stimulus check on when bitcoin was your investment now worth your investment is btc current price is,-1
They know it's sinking.,-1
the current price of bitcoin is decreased in the last hours bitcoin btc cryptocurrency,-1
Other types of money I am more concerned about the exchanges that are declared bankrupt than the BTC people who invested in crypto through these exchanges are now stuck,-1
