text,sen
it s about to explode,-1
market wrap bitcoin could see pullback as volume declines btc bitcoin markets cryptocurrency,-1
darknet crypto mixer operator pleads guilty to laundering m in btc bitcoinnews bitcoin,-1
bitcoin bear market may take btc price to k says trader with stocks due capitulation bitcoin via,-1
jpmorgan chase reportedly shuts down bank accounts of bitcoin mining firm bitcoin btc,-1
crypto crash trends on twitter as bitcoin falls below dogecoin bitcoin,-1
house panel calls for cryptocurrency fraud oversight bitcoin markets trading,-1
honduras central bank clarified on wednesday that they would not be making bitcoin their legal tender aakancvedi reports,-1
bitcoin just got screwed in nigeria with the big volume of pp rank bitcoin btc nice one,-1
see this is why a lot of us aren t buying these dips exactly this sentiment when it s not as bad as it usually is as a positive thing it isn t very positive fridays have been downright ugly we go down to low s and then hits moonbois go nuts and everyone puts money in so it can dump and shorters can put in new positions everyone says zoom out and so we zoom out and it looks like shit interspersed between the moonbois and wyckoff wackoffs are actual normal people with real money that don t want to lose their profits it just isn t a very confidence inspiring thing,-1
microstrategy stock tanks with bitcoin as s p nasdaq rally btc bitcoin cryptocurrency xbt,-1
bitboy is the dumbest name sounds like a stupid crypto themed comic book or some shit,-1
do you remember all of those i m gon na say it bitcoin will never again be lower than from your favourite ct influencers be careful who you listen to,-1
big investor michael burry returns to twitter to spread fear and make more money btc eth ethereum crypto bitcoin,-1
btc bitcoin primary trend remains bearish right on primary cycle support of k thursday is our do or die day btc,-1
liquidated long on sell at btc multi kill bitcoin scam incoming,-1
money launders arrested in uae dubai with millions of stolen cryptocurrency in bitcoin good work by law enforcement agencies,-1
okay now it s violent bitcoin btc btc,-1
big whales manipulating the market to their interests is the biggest disadvantage to crypto currently in my opinion,-1
btc update i hate to say it but it looks like bitcoin will make new lows i ll wait until the daily close and tomorrow s for confirmation but it might be time to shift towards a different view here one i proposed earlier k is a good target imo btc crypto,-1
i ve been trying to make the math work on this whole post bitcoin as collateral and live off of debt tax free for the rest of your life thing and it just does nt work with most retail lenders including blockfi unless you assume bitcoin doubles in value every year at which point you re probably just better off going all in right now with at least one years worth of expenses and then selling off half of the resulting value years from now to invest in an income producing asset that will maintain your current life style indefinitely the ever growing debt balloon of fiat dollars seems comparatively risky if bitcoin growth ever underperforms your assumptions,-1
mas doesn t trust retail crypto investments mulling more regulations crypto bitcoin ethereum,-1
is it gon na drop again or buy now halp edit oh shit it went down a lil bit again,-1
bull trap we re not out yet bitcoincrash btc,-1
mikealfred with halves in between probably btc will be dead,-1
send it to k bitcoin cryptocrash,-1
i like willy but the more i read his tweets the more i notice he is actually very vague a lot of the time and doesn t actually provide a lot of detail,-1
asia is getting crazier philippines duterte threatening jail for refuseniks while china s crackdown on cryptocurrency is crashing bitcoin every other crypto is it time to buythedip or exit the market,-1
we re closer to k than we re to k btc,-1
buying bitcoin top and bitcoin bottom always feels really amazing investing mind,-1
btc is a hodl economy since when has a hodl economy worked as for gold u can use it as jewelry ornaments it s indispensable in some industries it is really timeless has unique properties there are thousands of different blockchains biggest hashrate it can change,-1
bitcoin week social volume is up to with price down to btc bitcoin lunarshare lunarcrush,-1
davidgokhshtein no institutions have any reason to buy this shitcoin btc,-1
you re right better not buy if it won t always just go straight up without ever correcting,-1
if you invested your stimulus check on when bitcoin was your investment is now worth your investment is down btc current price is,-1
they know it s going under,-1
the current price of bitcoin is it has decreased by in the last hours bitcoin btc cryptocurrency,-1
otherkindsmoney i am more worried about the exchanges filing for bankruptcy than btc people who invested in crypto via these exchanges are now stuck,-1
pewdagoat frostytheproto nft bitcoin oh what was that sorry i ca nt hear you because my metamask trust wallet got lost the nfts of mine was stolen i need a sugar daddy as well and i forgot to say my coinbase account got hacked note that any assistance is get my hearing in works again,-1
wtf is this sh t,-1
btc technical analysis bitcoin will not grow above soon,-1
bitcoin downtrend intact support at k,-1
move over btc there s a new pump in town i should have went grocery shopping in the stock market wow,-1
bitcoin is the one thing sbf could not control and manipulatebut it s probably not that great of a thing,-1
bitcoin goes lower here fast and soon,-1
yeah dat iss nott looking good bitcoin,-1
take your bitcoin out of exchanges not your keys not your coins very simple,-1
traditional markets closed do your thing you freaking ponzi btc bitcoin btc,-1
bitcoin offers black friday deal with sub k btc price just like there must be a pony in here somewhere,-1
cointelegraph it s because china s quantum computer is almost ready once the world accepts btc china will disrupt it the only best way is to invest in nxs which is quantum proof,-1
buying at the top forever bitcoin,0
hard things don t break bitcoin,0
new video subscribe urgent alert fed central banks pump binance centralized takeover of bitcoin xrp altcoins,0
historical bitcoin prices for today february th via twitter,0
goingparabolic parabolic move incoming btc,0
drill team reporting that we are past the core next stop australia,0
cointelegraph btfd btc doge buying now is like buying at k sure it can go lower but overall a great dca entry for long term believers,0
well yes if you ve only got few sats then hw wallet is nt required but if you re having any significant amount then you should be having a hw wallet in my opinion man,0
dogecoin bitcoin crypto our doge friends how is everything,0
this one works on bitcoin binancesmartchain nft,0
thoughts on btc bitcoin see navidmemari s idea on tradingview below,0
going to run a regression on bitcoin vs a basket of tech stocks i have the following in mind please suggest some more palantir tesla nio alphabet feel free to either add or suggest other baskets,0
short one entry price stop loss link in bio tz btc bitcoin one,0
btc price in bitcoin crypto q,0
xrp kick btc crypto,0
people want you to tell them what they want to hear not what you think bitcoin hodl bears,0
lunar chart for btc november lunar eclipse full moon at degrees taurus scorpio conjunct fixed star algol this will be a very violent lunar eclipse full moon as it is occurring in the fixed star called algol moontrading,0
what year is alexa in alexa bitcoin btc,0
defiantnews camirusso ftxofficial the question is why was bitcoin affected negatively,0
worst case price prediction for bitcoin using the stock to flow analysis could see bitcoin hitting by december according to planb crypto bitcoin,0
btc liquidated long k at,0
let s our experts trade for you bitcoin cryptocurrencymarket,0
btc btc eth eth bnb bnb,0
bitcoin daily closed above sr expect this to expand today into,0
apparently its within the sf range still,0
shotsbymatta bitcoin flux kadena bitcoin price prediction crypto winter vs global adoption,0
btc rejecting the h sma at the moment might pull back a bit as the h chart is considerably extended from the mean after an explosive move this move has more to do with the fact that the sp had a nice recovery day and not with some fundamental new crypto strength,0
everything bitcoin july th the inner workings of the fed revealed daily fail mairead mcguiness and money laundering meme review rawavocado sponsor cryptocloaks hosts bitvolt coinicarus,0
no one knows but we spent a long time correcting in the s i do nt see us revisiting again or if we do not for long,0
i just did the longest podcast about hour and minutes of me rambling and ranting about bitcoin and crypto btc mattysats cryptocurator mashinsky alexandrelores infinitytimesme kryptovski,0
any upcoming event bitcoin and price update,0
bitcoin mempool tx summary in the last seconds mean median max th quant nobs block height,0
bitcoin technical score btc bitcoin technical,0
looking at shorting btc again soon will update if i do,0
yes signing exec order for more,0
there won t be many of them people tend to sell their holdings once the price gets high enough for them to pay off their mortgage retire or meet other life goals,0
bitcoin block bytes transactions btc reward for more information visit,0
rsi going up for btcusdt on min timeframe btc bitcoin click for chart,0
bitcoin hr chart interpretation,0
satsdart bitcoin btc btc adx shows weekly fake bull trend,0
thoughts on btc bitcoin see danilblinkov s idea on tradingview below,0
bitcoin block bytes transactions btc reward for more information visit,0
eudora funk byron harvey bart jim btc,0
an ascending triangle is about to break if we can break with good volume hold above it we can expect to see btc in k range again in next some days keep an eye for supports resistances in case its a fakeout bitcoin,0
huobi primelist new listing flz for sale seize the opportunity that leads to wealth deposits trading open on june click this link to join detail crypto btc nfts,0
gegelsmr imagine not take every single cash loan you can get and ape into bitcoin like wtf,0
you ninnies bitcoin just bitcoin is the goal it s conversion to fiat price is meaningless,0
the amount of bitcoin awarded to miners will be reduced by half in approximately days,0
lol you must be new here,0
btc bitcoin massive inverse head and shoulders if it breaks do we see k rovercrc,0
saylor almost doubled his billion investment,1
that was amazing lmao,1
adidasoriginals coinbase hodl bitcoin the future do nt play with sand shitcoin the gamble,1
bronze iiicapital you can mine bitcoin anywhere in the world hey have you read the bitcoin standard by saifedean yet great resource to get you started,1
laying all the foundations the kai ecosystem is getting ready to take vietnam into a new defi era this has all been achieved in such a short period of time in all circumstances the kardiachain team keep delivering mass users incoming btc eth kphi dpet,1
krakenfx crypto millionaires will be the greatest philanthropists the world have ever seen we know what it s like to have nothing i m still working a minimum wage job in discount store despite gaining heavily from crypto follow berniedoranfx for guide on btc earning tips tweets,1
just scored cashback rewards in bitcoin shop online with lolli and get btc free in your wallet,1
danheld pain dare you to tweet this to david goggins this is the roller coaster ride we all waited for can t have the sweet without the sour and it s sure gon na be sweet eventually bitcoin,1
wait for k this week buy then in next two weeks sell at k than wait till it gets to k get in hodl,1
salary not keeping up with inflation wef says go live near birds and you ll be as happy as a pay raise birds or grow your wealth in bitcoin,1
taillarb tresolas deitaone gold we are moving forward not backwards btc,1
this is the song for bitcoin thelittleidiot,1
documentingbtc the recent announcement banning mining in china creates some new advantages for crypto miners btc everyone s panicking that s a buying opportunity it s all about bitcoin i went from having btc to btc with the tradng signals frm robin moore her on whatsapp,1
unkonfined unending opportunities while here hey i joined a network called surveyj and earned today you get paid for testing out new free apps and posting on social media sign up with my link for an instant signup bonus surveyj cashapp bitcoin,1
in my opinion bitcoin is behind and really ought to be k or above it should be far outpacing gold,1
another opportunity to buy more btc cryptocurrency shib,1
btc fully deployed spot here owning only near and btc was hectic day today got stopped on some position and done decent on near so overall sligthly up on the day could have been a lot worse,1
ee i think ee is feeling bullish bitcoin,1
i like the way you re thinking we ll have to buy a log cabin for the fam i also go some homeless cats that need a place to stay,1
el salvador has recognized the bitcoin and why not other countries imho el salvador is just a lab rat other countries will be watching closely as to how it performs and other risk factors it will take a long time before cryptocurrency will be accepted as legal tender,1
solana activatebuild metagwaratoken is aiming for the moon as they set to launch they native token mgt the listing of this project will be taking place on bitgert chain soon get ready guys as we move to the moon btc bitgert mgt,1
people are selling their bitcoin while i m over here trying to figure what i can sell to get more payday can t come soon enough,1
if not now soon people will be playing hot potato with some of these assets bitcoin is a delicious and never ending loaded potato,1
hswapdex great projects putratzy firdaus broar ht airdrops btc hecochain,1
aight cool thanks man,1
swedish convict gets million in bitcoin returned to him twentynothing bitcoin crypto cryptocurrency,1
we are here with bitcoin,1
warrendavidson bitcoin fixes this,1
its finally nice to see what bitcoin was engineered to do the past few daysweeks the overvalued stock market is popping and bitcoin is still here,1
the less money you have the more power they have the widening wealth gap is nt an accident use bitcoin the oligarchic empire is actually easy to understand,1
lenfantbon opinion are you asking me if the inflation that s resulted from the rapid expansion of the us money supply is the same thing as a sharp decline in the market price of bitcoin as denominated in us dollars,1
buy bitcoin guns and ammo,1
i m not that tech savvy i only have one computer which i use for school streaming gaming and watching porn also i do nt have an habit of using vpnstor fairly sure my money is safer in the exchange than with me,1
when you deeply understand bitcoin you realize that it is a complete flawless global solution to wealth preservation all other projects are still experiments including ethereum,1
michael saylor s microstrategy purchased an additional m of bitcoin the company disclosed buying bitcoin bringing the total holdings to coins put your bitcoin where your mouth is taken to another level,1
in all practicality oil is not finite gold is not finite silver is not finite real estate is not finite bitcoin though is finite where best to store your value,1
knrubar johalmiles fed s error was planned it always is then they pretend they didn t know bitcoin doesn t have to pretend anything,1
i think that bitcoin can change lot of life if you read this you are pioneer cryptocurrecy,1
hive hut bitf btbt great buy opportunity for btc mining stocks for those who took profits along the way up was running out of shares to sell so hallelujah got to reload everyone else no worries hang on bitcoin will very likely go back up to ktoday or this week,1
imagine the impact of bitcoin as more and more of the lightning node management is automated and the growth takes off hahaha fiat and shitcoins will go poof,1
mcshanewrites buy bitcoin buy hamstercoin,1
i had went all in at k right before the massive dip but held through and averaged down and boy am i happy atm,1
you only lose if you sell into a loss i hodled this last bear market and kept buying dips along the way march i bought a lot if you re here for s s wealth hodl accumulate repeat whenever possible ignore price chatter otherwise speculate btc,1
an ending diagonal is spotted on btc if plays out nicely bitcoin is going to k area so many confirmations are suggesting that let s see but this is my opinion what say you bitcoin,1
beautyofhelin i would keep holding on to bitcoin and besides the world can never despise btc,1
its raining bloodbut killers make money in the bloodleft this trade running while i was sleeping stop loss tight quick sniper trade sxp btc eth itsallaboutstructure,1
there is nothing i like more than receiving bitcoin from slaves the best tribute to collect,1
buy the dip but do nt go in all at once btc bnb bsc,1
bitcoin is freedom it freed me from my lifesavings,1
stay in fear if you want to i will not btfd ltc btc,1
