Iteration,input_chunk_length,output_chunk_length,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,dropout,batch_size,MAPE_before,MAPE_after
1,10.0,1.0,128.0,8.0,4.0,4.0,1024.0,0.2,64.0,50.74076526,132.37358529672505
2,30.0,1.0,256.0,4.0,3.0,4.0,1024.0,0.2,32.0,55.52957113679718,78.61341678361848
3,20.0,1.0,128.0,8.0,4.0,3.0,512.0,0.1,32.0,56.87534482237808,56.87534482237808
4,30.0,1.0,128.0,8.0,3.0,4.0,1024.0,0.1,32.0,57.36084259005577,148.73063642872046
5,10.0,1.0,64.0,4.0,3.0,3.0,1024.0,0.1,64.0,59.25942959,59.25942958520776
6,10.0,1.0,128.0,8.0,3.0,4.0,1024.0,0.1,64.0,59.44321994,59.44321993862505
7,10.0,1.0,64.0,8.0,3.0,4.0,1024.0,0.1,32.0,59.94561341,88.16108852078672
8,20.0,1.0,128.0,8.0,4.0,4.0,512.0,0.2,64.0,60.040286086583,62.62514185120156
9,30.0,1.0,256.0,8.0,4.0,3.0,1024.0,0.1,64.0,60.09627095368589,67.49673277117523
10,10.0,1.0,64.0,4.0,3.0,4.0,1024.0,0.2,32.0,60.87841254,65.61076222297179
11,10.0,1.0,64.0,8.0,3.0,4.0,1024.0,0.2,64.0,61.20871621,62.02333571656118
12,10.0,1.0,64.0,8.0,4.0,3.0,1024.0,0.2,32.0,61.94915535,68.61661333571901
13,10.0,1.0,64.0,8.0,3.0,4.0,1024.0,0.1,64.0,62.24081212,62.59585687053416
14,10.0,5.0,256.0,4.0,4.0,4.0,512.0,0.1,32.0,62.260250498719245,136.35305098022772
15,30.0,1.0,64.0,8.0,3.0,3.0,512.0,0.1,32.0,62.338042305853925,294.90165428077245
16,10.0,1.0,64.0,8.0,4.0,4.0,1024.0,0.2,64.0,62.59951026,130.98383652927666
17,20.0,1.0,256.0,4.0,4.0,4.0,512.0,0.1,32.0,62.66426593281218,89.37524449991525
18,10.0,1.0,64.0,4.0,3.0,4.0,1024.0,0.2,64.0,62.7726528,87.24285328157949
19,20.0,1.0,256.0,8.0,3.0,3.0,512.0,0.2,64.0,62.83898588379975,61.10733581807585
20,20.0,1.0,256.0,8.0,3.0,3.0,512.0,0.1,64.0,62.87290882766499,123.45239399501791
21,30.0,1.0,256.0,4.0,3.0,4.0,1024.0,0.1,64.0,63.0860925070207,126.30380743577396
22,20.0,1.0,128.0,4.0,4.0,4.0,512.0,0.1,64.0,63.12970452743652,137.45597702219283
23,20.0,1.0,128.0,4.0,3.0,3.0,1024.0,0.1,32.0,63.157615470168025,281.66790963002694
24,10.0,5.0,64.0,4.0,4.0,4.0,512.0,0.1,32.0,63.16077420808511,173.00694837213516
25,10.0,1.0,64.0,4.0,4.0,4.0,512.0,0.1,32.0,63.32559934,65.37147939845696
26,20.0,1.0,128.0,4.0,3.0,4.0,1024.0,0.1,64.0,63.43962709340746,93.64857813177213
27,20.0,1.0,256.0,8.0,4.0,4.0,512.0,0.1,32.0,63.49981291476061,164.023005574866
28,30.0,1.0,256.0,8.0,3.0,3.0,1024.0,0.1,32.0,63.50160419723911,156.0749482928263
29,10.0,1.0,64.0,8.0,3.0,3.0,1024.0,0.2,32.0,63.69111123,63.691111226684
30,20.0,1.0,64.0,8.0,3.0,4.0,1024.0,0.2,64.0,63.79908281695243,62.74513418165619
31,30.0,5.0,64.0,4.0,3.0,3.0,1024.0,0.1,64.0,63.89694719852098,65.29169778828114
32,10.0,1.0,64.0,8.0,4.0,4.0,512.0,0.1,64.0,64.14450197,64.14450196808276
33,10.0,1.0,64.0,8.0,4.0,4.0,512.0,0.1,32.0,64.16652541,66.40394212202426
34,10.0,5.0,64.0,8.0,4.0,4.0,512.0,0.2,32.0,64.33981297550535,148.25221543787714
35,30.0,5.0,256.0,8.0,3.0,4.0,512.0,0.2,64.0,64.34475831374769,114.32633097072843
36,10.0,5.0,256.0,8.0,4.0,4.0,512.0,0.1,64.0,64.45307763894432,79.43659356478683
37,10.0,1.0,64.0,4.0,3.0,4.0,1024.0,0.1,64.0,64.55942918,64.5594291810422
38,30.0,1.0,64.0,8.0,4.0,3.0,512.0,0.1,32.0,64.64762977559887,66.03584394066193
39,30.0,1.0,64.0,4.0,4.0,3.0,1024.0,0.1,64.0,64.6604978389259,63.996949990799656
40,20.0,1.0,64.0,8.0,3.0,3.0,1024.0,0.2,32.0,64.69799124590541,68.96513086444622
41,10.0,5.0,256.0,8.0,3.0,3.0,512.0,0.1,32.0,64.73086937349667,80.97822245673844
42,10.0,1.0,64.0,4.0,3.0,4.0,512.0,0.1,32.0,64.89915769,64.89915755271004
43,10.0,1.0,128.0,4.0,4.0,4.0,512.0,0.1,32.0,65.14971283,73.67912777582318
44,10.0,1.0,128.0,4.0,3.0,4.0,1024.0,0.1,64.0,65.16285465,63.41173936476937
45,30.0,1.0,256.0,4.0,4.0,4.0,1024.0,0.2,64.0,65.2421989036227,119.356263251851
46,30.0,1.0,64.0,4.0,4.0,4.0,1024.0,0.1,32.0,65.26197132048168,607.3110612864131
47,10.0,10.0,256.0,8.0,4.0,4.0,1024.0,0.1,32.0,65.34264857204478,65.34264857204478
48,10.0,1.0,128.0,4.0,3.0,4.0,1024.0,0.2,32.0,65.38331682,128.00654923502807
49,10.0,5.0,128.0,8.0,4.0,3.0,512.0,0.2,32.0,65.4360512591203,73.52705080303834
50,20.0,1.0,256.0,4.0,4.0,4.0,512.0,0.1,64.0,65.49017982803754,65.54459217285162
51,10.0,1.0,64.0,4.0,4.0,4.0,1024.0,0.2,64.0,65.54623985,131.86013507073756
52,30.0,1.0,128.0,8.0,4.0,3.0,512.0,0.2,64.0,65.72523997605087,121.22172059792392
53,20.0,1.0,64.0,8.0,3.0,3.0,1024.0,0.1,32.0,65.7446535592082,112.31952821091564
54,10.0,1.0,128.0,8.0,3.0,4.0,1024.0,0.1,32.0,65.83216306,151.8657506511779
55,10.0,1.0,128.0,8.0,4.0,3.0,512.0,0.1,64.0,65.99258859,75.98507510581442
56,30.0,1.0,128.0,8.0,3.0,4.0,512.0,0.2,32.0,65.99813758308325,147.31569320792468
57,10.0,1.0,256.0,4.0,4.0,3.0,1024.0,0.2,32.0,66.00745032,116.32355164935876
58,10.0,1.0,128.0,4.0,3.0,4.0,512.0,0.1,64.0,66.04785003,123.57366218979725
59,20.0,5.0,64.0,4.0,4.0,4.0,1024.0,0.2,64.0,66.0722769309088,66.67395378113045
60,20.0,5.0,256.0,4.0,4.0,4.0,512.0,0.2,64.0,66.21195287564468,76.07009946843884
61,30.0,1.0,64.0,8.0,4.0,3.0,1024.0,0.2,32.0,66.235032655384,66.2350326553835
62,30.0,1.0,64.0,4.0,4.0,3.0,1024.0,0.2,32.0,66.28284917572618,66.28284917572613
63,10.0,5.0,128.0,8.0,4.0,3.0,512.0,0.2,64.0,66.29249773363475,117.80598157843762
64,20.0,5.0,128.0,8.0,4.0,4.0,1024.0,0.2,32.0,66.29991474909309,75.93604195489569
65,20.0,1.0,64.0,8.0,3.0,3.0,1024.0,0.2,64.0,66.38450209494516,60.814548974523056
66,20.0,1.0,256.0,8.0,3.0,3.0,1024.0,0.1,32.0,66.46194241866046,60.19660703239932
67,20.0,1.0,256.0,4.0,3.0,3.0,1024.0,0.2,32.0,66.50418619382486,63.28147533100498
68,30.0,1.0,128.0,8.0,4.0,4.0,512.0,0.1,64.0,66.5122469983659,136.45845773751125
69,20.0,1.0,64.0,8.0,3.0,4.0,512.0,0.2,32.0,66.52707563248678,67.24320955604354
70,10.0,5.0,256.0,8.0,3.0,3.0,1024.0,0.2,64.0,66.53473737368596,62.943575813826754
71,30.0,1.0,64.0,8.0,3.0,4.0,512.0,0.1,64.0,66.57757209855129,68.91155737311239
72,10.0,1.0,256.0,4.0,4.0,4.0,512.0,0.1,32.0,66.84205411,69.68330571506509
73,10.0,5.0,256.0,4.0,4.0,4.0,1024.0,0.1,64.0,66.86854305928911,153.95847252849796
74,30.0,1.0,128.0,4.0,4.0,3.0,512.0,0.2,64.0,67.31927692336596,100.91351907446531
75,10.0,1.0,64.0,4.0,3.0,3.0,512.0,0.1,32.0,67.33997221,127.413033609767
76,10.0,5.0,64.0,8.0,3.0,3.0,1024.0,0.2,32.0,67.41203835961142,72.02360276283066
77,20.0,5.0,256.0,4.0,4.0,4.0,512.0,0.1,32.0,67.5813220427891,75.94777962175182
78,10.0,5.0,128.0,8.0,3.0,3.0,1024.0,0.2,32.0,67.70200686215266,76.09289169488018
79,30.0,1.0,128.0,8.0,3.0,3.0,512.0,0.2,32.0,67.8407036071741,61.97700399492823
80,20.0,1.0,128.0,4.0,4.0,4.0,1024.0,0.2,64.0,67.84271422312975,63.03741399304931
81,10.0,1.0,64.0,8.0,4.0,3.0,512.0,0.1,64.0,67.85815324,70.7472778495815
82,30.0,1.0,64.0,4.0,4.0,4.0,1024.0,0.1,64.0,67.86230339882157,138.0576846718039
83,30.0,1.0,64.0,4.0,3.0,3.0,512.0,0.1,32.0,67.91958348147647,117.50630743815157
84,20.0,1.0,64.0,4.0,3.0,3.0,1024.0,0.2,64.0,67.96676537914585,63.171465288033495
85,10.0,5.0,128.0,4.0,3.0,3.0,512.0,0.1,64.0,67.97587121997215,133.15795530708627
86,10.0,5.0,128.0,4.0,4.0,4.0,512.0,0.1,32.0,67.9889087468345,98.84208446606534
87,30.0,10.0,128.0,8.0,3.0,4.0,1024.0,0.2,32.0,68.02658779258971,68.02658779261898
88,30.0,1.0,128.0,8.0,4.0,4.0,512.0,0.1,32.0,68.03173820679841,68.03173820679977
89,30.0,1.0,64.0,4.0,4.0,3.0,1024.0,0.2,64.0,68.06772223657082,115.7867853725284
90,30.0,5.0,256.0,4.0,4.0,4.0,512.0,0.1,32.0,68.0682328208059,176.62594716320135
91,20.0,1.0,256.0,8.0,3.0,3.0,512.0,0.1,32.0,68.13703994028094,174.3086220992341
92,30.0,5.0,128.0,8.0,4.0,4.0,1024.0,0.2,32.0,68.15494894589688,166.83551149503947
93,30.0,5.0,256.0,8.0,3.0,3.0,1024.0,0.2,32.0,68.22874666891595,145.69672065132946
94,20.0,5.0,64.0,4.0,4.0,4.0,512.0,0.1,32.0,68.2971058651494,68.2971058651494
95,10.0,5.0,256.0,4.0,4.0,4.0,512.0,0.2,64.0,68.3391229258618,112.43689862624588
96,30.0,5.0,64.0,4.0,4.0,4.0,1024.0,0.1,64.0,68.36310246846436,68.36310246846436
97,10.0,1.0,64.0,8.0,4.0,3.0,512.0,0.1,32.0,68.37142781,68.37142780847805
98,10.0,1.0,64.0,4.0,3.0,3.0,1024.0,0.1,32.0,68.57414815,62.78872570300057
99,10.0,1.0,64.0,4.0,4.0,4.0,1024.0,0.1,64.0,68.63511387,68.27860031961559
100,10.0,1.0,256.0,4.0,4.0,4.0,1024.0,0.1,32.0,68.69191273,68.58472575750196
