Iteration,input_chunk_length,output_chunk_length,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,dropout,batch_size,MAPE
1,30,1,64,4,3,3,512,0.1,32,67.91958348147647
2,30,1,64,4,3,3,512,0.1,64,75.69058084439956
3,30,1,64,4,3,3,512,0.2,32,8463.856607203534
4,30,1,64,4,3,3,512,0.2,64,202.401300907238
5,30,1,64,4,3,3,1024,0.1,32,149.68843581266887
6,30,1,64,4,3,3,1024,0.1,64,176.02233612633208
7,30,1,64,4,3,3,1024,0.2,32,152.99800121017034
8,30,1,64,4,3,3,1024,0.2,64,108.0779243795699
9,30,1,64,4,3,4,512,0.1,32,71.24107330811322
10,30,1,64,4,3,4,512,0.1,64,198.99477037899217
11,30,1,64,4,3,4,512,0.2,32,189.35481829155424
12,30,1,64,4,3,4,512,0.2,64,147.95339205844076
13,30,1,64,4,3,4,1024,0.1,32,156.6486826615335
14,30,1,64,4,3,4,1024,0.1,64,152.26703387153216
15,30,1,64,4,3,4,1024,0.2,32,109.20188549917218
16,30,1,64,4,3,4,1024,0.2,64,129.0031019297792
17,30,1,64,4,4,3,512,0.1,32,70.42757554666998
18,30,1,64,4,4,3,512,0.1,64,133.67046552059284
19,30,1,64,4,4,3,512,0.2,32,71.23923319362439
20,30,1,64,4,4,3,512,0.2,64,149.35195878215967
21,30,1,64,4,4,3,1024,0.1,32,75.36244912376249
22,30,1,64,4,4,3,1024,0.1,64,64.6604978389259
23,30,1,64,4,4,3,1024,0.2,32,66.28284917572618
24,30,1,64,4,4,3,1024,0.2,64,68.06772223657082
25,30,1,64,4,4,4,512,0.1,32,101.93980143738492
26,30,1,64,4,4,4,512,0.1,64,203.72280551260567
27,30,1,64,4,4,4,512,0.2,32,207.27486367936675
28,30,1,64,4,4,4,512,0.2,64,195.32318433500862
29,30,1,64,4,4,4,1024,0.1,32,65.26197132048168
30,30,1,64,4,4,4,1024,0.1,64,67.86230339882157
31,30,1,64,4,4,4,1024,0.2,32,88.7124421535882
32,30,1,64,4,4,4,1024,0.2,64,120.07607063918908
33,30,1,64,8,3,3,512,0.1,32,62.338042305853925
34,30,1,64,8,3,3,512,0.1,64,159.66111922971555
35,30,1,64,8,3,3,512,0.2,32,78.63404108732324
36,30,1,64,8,3,3,512,0.2,64,127.02158829965246
37,30,1,64,8,3,3,1024,0.1,32,120.50638036715837
38,30,1,64,8,3,3,1024,0.1,64,71.4208695709376
39,30,1,64,8,3,3,1024,0.2,32,80.56080711867399
40,30,1,64,8,3,3,1024,0.2,64,83.58305088837379
41,30,1,64,8,3,4,512,0.1,32,114.99301236695628
42,30,1,64,8,3,4,512,0.1,64,66.57757209855129
43,30,1,64,8,3,4,512,0.2,32,72.78608086810591
44,30,1,64,8,3,4,512,0.2,64,130.97109056210067
45,30,1,64,8,3,4,1024,0.1,32,156.7678360800879
46,30,1,64,8,3,4,1024,0.1,64,134.13814138920273
47,30,1,64,8,3,4,1024,0.2,32,130.86891803712066
48,30,1,64,8,3,4,1024,0.2,64,133.40255078430465
