Iteration,input_chunk_length,output_chunk_length,MAPE
1,1,1,53.94250365
2,1,7,39.60011981
3,1,14,49.77473709
4,1,21,25.05118471
5,1,28,34.808661
6,7,1,40.71087186
7,7,7,47.87732173
8,7,14,32.57613077
9,7,21,32.03117687
10,7,28,48.95206863
11,14,1,57.74219854
12,14,7,29.54943447
13,14,14,34.79052817
14,14,21,37.41585247
15,14,28,35.05210468
16,21,1,54.37864675
17,21,7,41.65857953
18,21,14,30.01137283
19,21,21,33.08548759
20,21,28,38.59879037
21,28,1,67.30329758
22,28,7,46.24999303
23,28,14,31.25462607
24,28,21,34.51657582
25,28,28,31.5973602
