in_len,out_len,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,batch_size,dropout,lr,year,sMAPE
30,18,64,2,2,4,512,11,0.0258363142997399,1.4224718009336945e-05,False,12.420876195251871
16,19,32,4,5,7,512,32,0.0256537187854977,1.709466569695274e-05,False,18.30057129124419
24,26,128,2,2,5,1024,145,0.2279806412716812,4.989486409633484e-05,True,18.39213911427131
19,28,128,2,2,5,1024,139,0.2157967210097574,4.994527417079436e-05,True,18.423847718885067
23,26,128,2,2,5,1024,126,0.2273706708621936,4.197053869660891e-05,True,18.44845967567456
19,7,64,4,4,4,512,300,0.2475818338852213,1.3766936896259718e-05,False,18.475066814417136
9,10,64,4,2,2,1024,324,0.1920985827362887,1.080843250955294e-05,True,18.49140632977047
18,10,64,4,2,2,1024,334,0.1477829554568524,1.125863867390354e-05,True,18.50541778918044
9,10,64,4,2,2,1024,280,0.187577685464707,1.0809727304002476e-05,True,18.53792890137177
9,10,64,4,2,2,1024,328,0.1786974202208905,1.045945199641704e-05,True,18.55230980702257
12,10,64,4,2,2,1024,307,0.1814280183705031,1.0665401744973187e-05,True,18.55718065542716
7,26,128,2,2,5,1024,148,0.2940110009977351,3.7596210033899206e-05,False,18.56911835157328
8,10,64,4,2,2,1024,309,0.1579963198525706,1.164103248871176e-05,True,18.579654489284724
15,19,64,8,5,3,1024,208,0.2100798684989928,3.342602895799367e-05,True,18.618969576435763
9,10,64,4,2,2,1024,364,0.1674930926186831,1.3239808166472893e-05,True,18.624398639570806
9,12,64,4,2,2,1024,364,0.1695821063934887,1.3259438320158736e-05,True,18.628354159748568
11,18,64,2,6,8,256,138,0.2095202385631131,4.558219748821445e-05,False,18.633290297706
10,10,64,4,2,2,1024,297,0.194356059257984,1.0825878662196276e-05,True,18.639071228190808
7,19,128,4,2,3,512,181,0.1805745466574351,1.501507663917416e-05,True,18.652560678384937
13,19,128,2,3,4,256,120,0.1865052521137327,1.2509910197018924e-05,False,18.65639574042215
7,26,128,2,2,5,1024,145,0.289416042222746,3.657206178354652e-05,False,18.659180542738795
18,25,128,2,2,5,1024,145,0.2445680704989072,4.90946068340436e-05,True,18.659835960487065
11,19,64,4,5,3,1024,174,0.2367085567694632,3.793781103734916e-05,False,18.661879765345542
9,10,64,4,2,2,1024,326,0.173517861869246,1.1019444736510476e-05,True,18.66381899433099
7,26,128,2,2,5,1024,145,0.2909214374281038,3.705006420341946e-05,False,18.67249366528356
23,26,128,2,2,5,1024,112,0.2471149560966468,4.4419863504072265e-05,True,18.685973675095067
13,7,64,8,4,3,256,305,0.2507562696446056,2.7711071037823155e-05,False,18.691443469656072
20,26,128,2,2,5,1024,131,0.2488727906215801,4.635195787611881e-05,True,18.703438766435767
19,28,128,2,2,5,1024,166,0.237763565718756,4.9754231160080937e-05,True,18.70983920131965
13,10,64,8,7,2,256,53,0.2156145448356798,1.0999521487276345e-05,False,18.713013041736065
20,20,128,4,2,3,512,179,0.1830981521941227,1.5950481093239385e-05,True,18.71560895526713
13,25,64,8,4,3,256,245,0.2994474191152911,3.172965817872544e-05,False,18.74995533795829
8,27,128,2,3,7,512,224,0.2794523714323302,3.745316573020406e-05,False,18.763942890221543
10,25,128,2,2,8,1024,91,0.2742388138039219,4.37393382783452e-05,False,18.803513883051963
10,19,64,8,4,3,256,295,0.262554491604273,2.64879120778557e-05,False,18.841079821109997
8,25,128,2,2,8,1024,150,0.2808637287387889,3.322494878784286e-05,False,18.8564409077866
15,20,128,8,5,3,1024,174,0.2067049640724724,3.437373094022942e-05,True,18.869607160587847
11,19,64,8,4,3,256,291,0.2418533550385134,2.7975733078877603e-05,False,18.890755719799905
8,25,128,2,2,8,1024,179,0.280305095905443,4.184812425118468e-05,False,18.916278927955343
8,23,64,8,4,3,256,69,0.2426073054801945,3.1854798233007366e-05,False,18.9223887967604
9,25,128,2,3,7,512,179,0.2828620716047976,3.569918716795856e-05,False,18.962242274047064
8,27,128,2,2,8,1024,156,0.2796698461946776,3.648587823786252e-05,True,18.96660682894081
20,21,128,4,2,4,512,177,0.1851517360332582,1.5503736215826923e-05,True,18.978006849857028
8,25,128,2,2,8,1024,172,0.2797894873235303,3.73543942412664e-05,True,18.979949128945016
12,19,64,8,4,3,256,289,0.2808761174617118,2.4475221073414243e-05,False,18.981245258841277
10,19,64,8,4,3,256,285,0.2505354296184293,2.637268428796502e-05,False,18.98158613640522
16,10,128,2,2,7,512,201,0.2123747565319081,1.7502829949649912e-05,True,19.02169399684937
27,17,128,4,2,3,512,162,0.1949747671427788,1.9562053556945988e-05,True,19.029234829847628
8,28,128,2,3,7,512,223,0.2920937245138139,3.303021577404316e-05,False,19.04640079776109
9,27,128,2,3,7,512,200,0.2820248181779805,3.30501479694674e-05,False,19.054119008038413
8,30,128,2,3,7,512,187,0.2936442902426218,3.369939513452405e-05,False,19.06264082415467
9,27,128,2,2,7,256,329,0.2811351877699583,1.5309620768809764e-05,True,19.08976669629783
10,19,128,4,2,3,512,137,0.2266417079932995,1.752654281184817e-05,False,19.09618680282833
12,19,64,8,4,3,256,333,0.2404942149270114,2.65307551513632e-05,False,19.11355518190953
10,22,64,8,4,3,256,67,0.2608858345417097,2.998954403062899e-05,False,19.127277437529266
8,27,128,2,2,7,256,292,0.2569006998216807,1.9362087933392716e-05,True,19.141749122519624
16,20,64,4,7,7,512,57,0.018102049747808,1.6304255852750344e-05,False,19.17447007149149
13,20,64,8,4,3,256,303,0.2414131275558128,2.746693239759564e-05,False,19.189590536252965
19,26,128,2,2,7,256,276,0.276433179808874,2.9396643665606523e-05,True,19.19035755126941
20,7,64,4,2,5,512,307,0.2508702334858674,1.343828508018573e-05,True,19.2354565940988
13,20,128,4,3,5,256,108,0.2328245937757124,1.2340306167180373e-05,False,19.2418567837068
7,29,128,2,2,7,256,311,0.2235399334312559,1.7360964617495272e-05,True,19.277587594043865
26,19,128,4,2,3,512,202,0.1821144053558979,1.753872342290575e-05,True,19.287496826195145
16,22,64,4,6,7,512,30,0.0525514118795807,1.5758166387343e-05,False,19.29500130633209
