type,eval_loss,eval_acc,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,time_this_iter_s,training_iteration,learning_rate,per_device_eval_batch_size,per_device_train_batch_size,warmup_steps,weight_decay,testAccuracy
256T,0.855653703212738,0.6233333333333333,0.4051,740.508,24.684,1.0,607.5810258388519,1,1.232334448672798e-05,32,16,0,0.0467983561008607,0.6766666666666666
256T,0.839370608329773,0.64,0.3957,758.062,25.269,1.0,610.1032574176788,1,3.8322903111841824e-05,32,16,250,0.1803345035229626,0.6766666666666666
128_2T,0.8688669800758362,0.6566666666666666,0.4042,742.202,24.74,1.0,330.53861927986145,1,3.446612641953124e-05,32,16,0,0.1852444528883149,0.6733333333333333
256GT,2.237332820892334,0.6,0.3819,785.582,26.186,1.0,1349.1785800457,1,1.7272998688284028e-05,32,16,0,0.0637017332034828,0.6733333333333333
128_2T,0.9337037205696106,0.6433333333333333,0.4014,747.367,24.912,1.0,320.7715108394623,1,4.802857225639665e-05,32,16,500,0.1123620356542087,0.67
128_2GTH,1.6503862142562866,0.6533333333333333,0.4268,702.862,23.429,1.0,446.948353767395,1,3.446612641953124e-05,32,16,0,0.1852444528883149,0.6666666666666666
128_2GT,1.9776899814605715,0.6066666666666667,0.4248,706.183,23.539,1.0,783.6992974281311,1,3.3874006317859486e-05,32,16,250,0.2339073000818307,0.6666666666666666
128_2GTH,1.1376397609710691,0.6266666666666667,0.4141,724.477,24.149,1.0,447.1488049030304,1,2.164916560792168e-05,32,16,500,0.1295835055926347,0.6666666666666666
128_2T,0.8391745090484619,0.65,0.395,759.486,25.316,1.0,326.3265597820282,1,2.164916560792168e-05,32,16,500,0.1295835055926347,0.6633333333333333
128_2GTH,1.4865577220916748,0.6533333333333333,0.425,705.954,23.532,1.0,446.335241317749,1,3.3874006317859486e-05,32,16,250,0.2339073000818307,0.6633333333333333
128_2T,0.9089072942733764,0.6266666666666667,0.4019,746.374,24.879,1.0,327.3332314491272,1,3.3874006317859486e-05,32,16,250,0.2339073000818307,0.6633333333333333
128_2T,0.8816900849342346,0.63,0.4024,745.489,24.85,1.0,322.2875642776489,1,3.8322903111841824e-05,32,16,250,0.1803345035229626,0.6633333333333333
128T,0.8591135740280151,0.6766666666666666,0.4493,667.728,22.258,1.0,342.943295955658,1,4.802857225639665e-05,32,16,500,0.1123620356542087,0.6266666666666667
128T,0.88861083984375,0.67,0.4248,706.277,23.543,1.0,348.03205919265747,1,3.8322903111841824e-05,32,16,250,0.1803345035229626,0.6266666666666667
128GT,1.6892606019973757,0.6633333333333333,0.4149,723.134,24.104,1.0,729.4736878871918,1,3.446612641953124e-05,32,16,0,0.1852444528883149,0.6
128T,0.989646315574646,0.66,0.4379,685.011,22.834,1.0,347.0334885120392,1,3.887995089067299e-05,32,16,250,0.01692347370813,0.6333333333333333
128T,0.866532564163208,0.6533333333333333,0.4305,696.813,23.227,1.0,345.37532663345337,1,2.164916560792168e-05,32,16,500,0.1295835055926347,0.63
128GT,1.2917197942733765,0.6533333333333333,0.4292,698.98,23.299,1.0,734.9825506210327,1,1.1866626528544616e-05,32,16,500,0.1199582915145766,0.62
128_2GT,1.9247157573699951,0.6533333333333333,0.4235,708.377,23.613,1.0,777.8122389316559,1,3.887995089067299e-05,32,16,250,0.01692347370813,0.6533333333333333
128_2GT,1.6080365180969238,0.65,0.4288,699.675,23.322,1.0,785.7190940380096,1,1.232334448672798e-05,32,16,0,0.0467983561008607,0.6333333333333333
