,learning_rate,num_epochs,per_gpu_batch_size,per_gpu_eval_size,warmup_steps,weight_decay,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,Test Accuracy
0,3e-05,2,16,32,250,0.0,0.9965447187423706,0.6033333333333334,0.6268634335454611,0.6033333333333334,0.5946813401578878,1.4872,201.721,6.724,2.0,
1,3e-05,2,16,32,250,0.3,1.025144338607788,0.5933333333333334,0.6157229226572293,0.5933333333333334,0.5834484160637693,1.5098,198.708,6.624,2.0,
2,3e-05,2,16,32,500,0.0,0.9331162571907043,0.62,0.6238254758538734,0.62,0.6193733934939964,1.4811,202.549,6.752,2.0,
3,3e-05,2,16,32,500,0.3,0.93691885471344,0.63,0.6398699891657639,0.63,0.62630432289875,1.4871,201.74,6.725,2.0,
4,3e-05,3,16,32,250,0.0,1.0257043838500977,0.5966666666666667,0.6154502809141984,0.5966666666666667,0.5901254848632694,1.4683,204.317,6.811,3.0,
5,3e-05,3,16,32,250,0.3,1.0149593353271484,0.6,0.6218101733447002,0.6,0.5933719527414927,1.4717,203.84,6.795,3.0,
6,3e-05,3,16,32,500,0.3,0.9369188547134399,0.63,0.6398699891657639,0.63,0.62630432289875,1.4521,206.599,6.887,3.0,0.6733333333333333
7,3e-05,4,16,32,250,0.0,1.0206235647201538,0.6033333333333334,0.6248095844570972,0.6033333333333334,0.5977441916363443,1.4528,206.498,6.883,4.0,0.62
8,3e-05,4,16,32,250,0.3,1.0118107795715332,0.6033333333333334,0.6242256322818983,0.6033333333333334,0.5961730731896719,1.421,211.112,7.037,4.0,0.62
9,3e-05,4,16,32,500,0.0,0.9331162571907043,0.62,0.6238254758538734,0.62,0.6193733934939964,1.4412,208.154,6.938,4.0,0.66
10,3e-05,4,16,32,500,0.3,0.9369188547134399,0.63,0.6398699891657639,0.63,0.62630432289875,1.3872,216.265,7.209,4.0,0.6733333333333333
11,5e-05,2,16,32,250,0.0,1.039290189743042,0.5766666666666667,0.6196331072856894,0.5766666666666667,0.5699480822208095,1.4301,209.772,6.992,2.0,0.6066666666666667
12,5e-05,2,16,32,250,0.3,0.9651273488998413,0.6133333333333333,0.6468788595370875,0.6133333333333333,0.6063026799329517,1.4555,206.118,6.871,2.0,0.6166666666666667
