in_len,out_len,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,batch_size,dropout,lr,year,sMAPE,sMAPE2,MAPE
12,29,32,8,4,3,1024,66,0.004844027018255,2.0287695644415543e-05,False,12.380176449434876,13.250980827350265,14.634428970426558
12,29,32,8,4,2,1024,61,0.024950500900048,2.403203728396671e-05,False,12.63354369858114,14.76820473341606,16.572999163116933
14,29,32,8,4,2,1024,68,0.010038066112551,2.126029213369543e-05,False,12.775561334308158,10.935646743251365,11.034981358435214
16,28,32,8,5,3,1024,19,0.0004427321128716,4.03452391502692e-05,False,12.934295256283155,12.934295256283157,12.482703914235323
15,30,32,8,4,3,1024,19,0.0002919368393513,1.5336889410040097e-05,False,12.985579459793254,10.509703553762478,10.678763650591076
10,22,32,8,8,4,1024,93,0.0736649625818496,2.5859679466328587e-05,True,13.176824092025512,13.176824092025512,13.029523727794842
14,30,32,8,4,2,1024,11,0.0179598030414915,1.5167726583477533e-05,False,13.314499761243964,13.31449976124388,14.603013100102055
15,28,32,8,4,3,256,7,0.0140706368596061,1.303146309349317e-05,False,13.621100728307574,13.621100728307574,14.685631445415467
13,29,32,8,4,2,1024,63,0.0121238924990803,2.7207776183655532e-05,False,13.710564158712572,11.672925271516307,11.565030568088732
18,27,32,8,5,5,1024,18,0.0522584658060158,4.952265461399795e-05,True,13.711978648447737,13.711978648447735,14.890411884266133
13,30,32,8,4,3,1024,44,0.0472530928262396,1.0692811247384763e-05,False,14.09759818228617,23.27985093966395,27.404519815068905
16,28,32,8,4,4,1024,9,0.043729308001247,1.6866100513464337e-05,True,14.25092435170491,14.25092435170491,13.049469377303883
12,28,64,8,6,2,1024,75,0.023960758970711,2.145543716199729e-05,False,14.270991486141584,24.999529380793852,29.781646493076597
