in_len,out_len,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,batch_size,dropout,lr,year,sMAPE,sMAPE2,MAPE
30,18,64,2,2,4,512,11,0.0258363142997399,1.4224718009336945e-05,False,12.420876195251871,79.8162714335561,56.188905202801756
16,19,32,4,5,7,512,32,0.0256537187854977,1.709466569695274e-05,False,18.30057129124419,61.86914548124416,45.82105125767095
24,26,128,2,2,5,1024,145,0.2279806412716812,4.989486409633484e-05,True,18.39213911427131,18.392353639554273,18.773434685681174
19,28,128,2,2,5,1024,139,0.2157967210097574,4.994527417079436e-05,True,18.423847718885067,18.423915220805505,19.205224345344238
23,26,128,2,2,5,1024,126,0.2273706708621936,4.197053869660891e-05,True,18.44845967567456,18.449079942264305,18.73791112819791
19,7,64,4,4,4,512,300,0.2475818338852213,1.3766936896259718e-05,False,18.475066814417136,20.379961756635353,22.59683388424934
9,10,64,4,2,2,1024,324,0.1920985827362887,1.080843250955294e-05,True,18.49140632977047,19.791439245737834,21.982864521543384
18,10,64,4,2,2,1024,334,0.1477829554568524,1.125863867390354e-05,True,18.50541778918044,19.29199062791228,21.38230229674293
9,10,64,4,2,2,1024,280,0.187577685464707,1.0809727304002476e-05,True,18.53792890137177,19.166433007189607,20.959183086989682
9,10,64,4,2,2,1024,328,0.1786974202208905,1.045945199641704e-05,True,18.55230980702257,20.134125515537832,22.59422617173011
12,10,64,4,2,2,1024,307,0.1814280183705031,1.0665401744973187e-05,True,18.55718065542716,19.466748704923948,21.645829128936466
7,26,128,2,2,5,1024,148,0.2940110009977351,3.7596210033899206e-05,False,18.56911835157328,18.57006725249213,19.270707888458954
8,10,64,4,2,2,1024,309,0.1579963198525706,1.164103248871176e-05,True,18.579654489284724,19.069812926949915,20.843389351606483
15,19,64,8,5,3,1024,208,0.2100798684989928,3.342602895799367e-05,True,18.618969576435763,18.54710623251315,20.097168450250408
9,10,64,4,2,2,1024,364,0.1674930926186831,1.3239808166472893e-05,True,18.624398639570806,19.381450882171997,21.56806412891033
9,12,64,4,2,2,1024,364,0.1695821063934887,1.3259438320158736e-05,True,18.628354159748568,20.381255220414555,22.98924171478658
11,18,64,2,6,8,256,138,0.2095202385631131,4.558219748821445e-05,False,18.633290297706,18.615239473991657,19.086977051003164
10,10,64,4,2,2,1024,297,0.194356059257984,1.0825878662196276e-05,True,18.639071228190808,19.121761842255985,20.838375795749123
7,19,128,4,2,3,512,181,0.1805745466574351,1.501507663917416e-05,True,18.652560678384937,18.652564151003638,18.80773367714462
13,19,128,2,3,4,256,120,0.1865052521137327,1.2509910197018924e-05,False,18.65639574042215,22.722227352919827,20.474668614377176
7,26,128,2,2,5,1024,145,0.289416042222746,3.657206178354652e-05,False,18.659180542738795,18.659286370075563,18.979262530741536
18,25,128,2,2,5,1024,145,0.2445680704989072,4.90946068340436e-05,True,18.659835960487065,18.65992359095892,19.174061972387555
11,19,64,4,5,3,1024,174,0.2367085567694632,3.793781103734916e-05,False,18.661879765345542,18.651778037268326,20.13996390033686
9,10,64,4,2,2,1024,326,0.173517861869246,1.1019444736510476e-05,True,18.66381899433099,19.62692926549396,21.80484883782628
7,26,128,2,2,5,1024,145,0.2909214374281038,3.705006420341946e-05,False,18.67249366528356,18.672493659024084,19.021730249270806
23,26,128,2,2,5,1024,112,0.2471149560966468,4.4419863504072265e-05,True,18.685973675095067,18.6853973833038,19.33002499801062
13,7,64,8,4,3,256,305,0.2507562696446056,2.7711071037823155e-05,False,18.691443469656072,18.691443467938633,19.32333883407445
20,26,128,2,2,5,1024,131,0.2488727906215801,4.635195787611881e-05,True,18.703438766435767,18.70394101935971,20.19887808067778
