Category: All categories

Day,bitcoin: (Worldwide)
2019-10-23,33
2019-10-24,31
2019-10-25,34
2019-10-26,47
2019-10-27,33
2019-10-28,36
2019-10-29,34
2019-10-30,31
2019-10-31,30
2019-11-01,27
2019-11-02,25
2019-11-03,24
2019-11-04,29
2019-11-05,28
2019-11-06,28
2019-11-07,26
2019-11-08,28
2019-11-09,24
2019-11-10,23
2019-11-11,26
2019-11-12,27
2019-11-13,25
2019-11-14,23
2019-11-15,25
2019-11-16,22
2019-11-17,23
2019-11-18,25
2019-11-19,28
2019-11-20,26
2019-11-21,32
2019-11-22,37
2019-11-23,30
2019-11-24,28
2019-11-25,37
2019-11-26,32
2019-11-27,30
2019-11-28,28
2019-11-29,27
2019-11-30,24
2019-12-01,24
2019-12-02,26
2019-12-03,26
2019-12-04,27
2019-12-05,26
2019-12-06,25
2019-12-07,21
2019-12-08,21
2019-12-09,24
2019-12-10,24
2019-12-11,25
2019-12-12,24
2019-12-13,24
2019-12-14,24
2019-12-15,22
2019-12-16,25
2019-12-17,30
2019-12-18,31
2019-12-19,29
2019-12-20,26
2019-12-21,22
2019-12-22,22
2019-12-23,28
2019-12-24,23
2019-12-25,23
2019-12-26,23
2019-12-27,25
2019-12-28,23
2019-12-29,23
2019-12-30,23
2019-12-31,24
2020-01-01,23
2020-01-02,25
2020-01-03,28
2020-01-04,26
2020-01-05,27
2020-01-06,29
2020-01-07,35
2020-01-08,38
2020-01-09,30
2020-01-10,28
2020-01-11,28
2020-01-12,25
2020-01-13,26
2020-01-14,38
2020-01-15,36
2020-01-16,31
2020-01-17,32
2020-01-18,29
2020-01-19,33
2020-01-20,31
2020-01-21,29
2020-01-22,28
2020-01-23,27
2020-01-24,26
2020-01-25,24
2020-01-26,22
2020-01-27,29
2020-01-28,33
2020-01-29,33
2020-01-30,34
2020-01-31,32
2020-02-01,28
2020-02-02,29
2020-02-03,30
2020-02-04,30
2020-02-05,32
2020-02-06,35
2020-02-07,34
2020-02-08,31
2020-02-09,40
2020-02-10,35
2020-02-11,37
2020-02-12,41
2020-02-13,37
2020-02-14,33
2020-02-15,33
2020-02-16,31
2020-02-17,33
2020-02-18,31
2020-02-19,35
2020-02-20,37
2020-02-21,31
2020-02-22,25
2020-02-23,28
2020-02-24,33
2020-02-25,31
2020-02-26,37
2020-02-27,34
2020-02-28,36
2020-02-29,30
2020-03-01,30
2020-03-02,30
2020-03-03,29
2020-03-04,30
2020-03-05,32
2020-03-06,31
2020-03-07,27
2020-03-08,30
2020-03-09,51
2020-03-10,40
2020-03-11,34
2020-03-12,74
2020-03-13,100
2020-03-14,63
2020-03-15,55
2020-03-16,68
2020-03-17,60
2020-03-18,56
2020-03-19,59
2020-03-20,59
2020-03-21,50
2020-03-22,43
2020-03-23,49
2020-03-24,48
2020-03-25,44
2020-03-26,40
2020-03-27,37
2020-03-28,40
2020-03-29,38
2020-03-30,38
2020-03-31,35
2020-04-01,34
2020-04-02,40
2020-04-03,36
2020-04-04,36
2020-04-05,33
2020-04-06,40
2020-04-07,41
2020-04-08,39
2020-04-09,36
2020-04-10,40
2020-04-11,35
2020-04-12,35
2020-04-13,37
2020-04-14,35
2020-04-15,36
2020-04-16,36
2020-04-17,35
2020-04-18,35
2020-04-19,34
2020-04-20,34
2020-04-21,35
2020-04-22,33
2020-04-23,37
2020-04-24,39
2020-04-25,36
2020-04-26,37
2020-04-27,39
2020-04-28,37
2020-04-29,54
2020-04-30,61
2020-05-01,47
2020-05-02,45
2020-05-03,45
2020-05-04,43
2020-05-05,44
2020-05-06,48
2020-05-07,60
2020-05-08,69
2020-05-09,58
2020-05-10,74
2020-05-11,87
2020-05-12,64
2020-05-13,55
2020-05-14,56
2020-05-15,48
2020-05-16,43
2020-05-17,45
2020-05-18,46
2020-05-19,42
2020-05-20,43
2020-05-21,44
2020-05-22,39
2020-05-23,35
2020-05-24,37
2020-05-25,40
2020-05-26,38
2020-05-27,36
2020-05-28,36
2020-05-29,36
2020-05-30,36
2020-05-31,32
2020-06-01,34
2020-06-02,46
2020-06-03,38
2020-06-04,35
2020-06-05,35
2020-06-06,32
2020-06-07,33
2020-06-08,33
2020-06-09,32
2020-06-10,34
2020-06-11,37
2020-06-12,34
2020-06-13,29
2020-06-14,29
2020-06-15,33
2020-06-16,32
2020-06-17,31
2020-06-18,32
2020-06-19,29
2020-06-20,27
2020-06-21,27
2020-06-22,30
2020-06-23,31
2020-06-24,31
2020-06-25,32
2020-06-26,29
2020-06-27,30
2020-06-28,31
2020-06-29,29
2020-06-30,28
2020-07-01,28
2020-07-02,29
2020-07-03,27
2020-07-04,26
2020-07-05,28
2020-07-06,29
2020-07-07,28
2020-07-08,30
2020-07-09,30
2020-07-10,28
2020-07-11,25
2020-07-12,26
2020-07-13,29
2020-07-14,30
2020-07-15,34
2020-07-16,41
2020-07-17,32
2020-07-18,43
