Category: All categories

Day,bitcoin: (Worldwide)
2022-10-03,40
2022-10-04,39
2022-10-05,37
2022-10-06,37
2022-10-07,37
2022-10-08,33
2022-10-09,32
2022-10-10,37
2022-10-11,35
2022-10-12,35
2022-10-13,41
2022-10-14,39
2022-10-15,30
2022-10-16,30
2022-10-17,33
2022-10-18,35
2022-10-19,35
2022-10-20,35
2022-10-21,34
2022-10-22,29
2022-10-23,30
2022-10-24,33
2022-10-25,37
2022-10-26,39
2022-10-27,37
2022-10-28,35
2022-10-29,33
2022-10-30,33
2022-10-31,37
2022-11-01,33
2022-11-02,34
2022-11-03,32
2022-11-04,35
2022-11-05,33
2022-11-06,31
2022-11-07,34
2022-11-08,53
2022-11-09,91
2022-11-10,100
2022-11-11,83
2022-11-12,75
2022-11-13,69
2022-11-14,77
2022-11-15,64
2022-11-16,63
2022-11-17,57
2022-11-18,52
2022-11-19,46
2022-11-20,44
2022-11-21,57
2022-11-22,55
2022-11-23,50
2022-11-24,43
2022-11-25,42
2022-11-26,37
2022-11-27,36
2022-11-28,45
2022-11-29,41
2022-11-30,42
2022-12-01,41
2022-12-02,37
2022-12-03,35
2022-12-04,33
2022-12-05,40
2022-12-06,38
2022-12-07,39
2022-12-08,40
2022-12-09,36
2022-12-10,31
2022-12-11,33
2022-12-12,37
2022-12-13,42
2022-12-14,41
2022-12-15,39
2022-12-16,42
2022-12-17,36
2022-12-18,33
2022-12-19,37
2022-12-20,38
2022-12-21,37
2022-12-22,38
2022-12-23,38
2022-12-24,33
2022-12-25,34
2022-12-26,35
2022-12-27,37
2022-12-28,39
2022-12-29,35
2022-12-30,36
2022-12-31,31
2023-01-01,33
2023-01-02,36
2023-01-03,36
2023-01-04,37
2023-01-05,36
2023-01-06,33
2023-01-07,31
2023-01-08,31
2023-01-09,36
2023-01-10,36
2023-01-11,36
2023-01-12,44
2023-01-13,46
2023-01-14,57
2023-01-15,46
2023-01-16,52
2023-01-17,49
2023-01-18,46
2023-01-19,42
2023-01-20,45
2023-01-21,52
2023-01-22,46
2023-01-23,46
2023-01-24,44
2023-01-25,45
2023-01-26,43
2023-01-27,40
2023-01-28,38
2023-01-29,41
2023-01-30,43
2023-01-31,42
2023-02-01,41
2023-02-02,49
2023-02-03,41
2023-02-04,36
2023-02-05,36
2023-02-06,37
2023-02-07,36
2023-02-08,37
2023-02-09,39
2023-02-10,40
2023-02-11,33
2023-02-12,32
2023-02-13,36
2023-02-14,36
2023-02-15,40
2023-02-16,51
2023-02-17,41
2023-02-18,37
2023-02-19,37
2023-02-20,41
2023-02-21,39
2023-02-22,41
2023-02-23,37
2023-02-24,37
2023-02-25,34
2023-02-26,33
2023-02-27,38
2023-02-28,35
2023-03-01,33
2023-03-02,34
2023-03-03,41
2023-03-04,33
2023-03-05,30
2023-03-06,34
2023-03-07,33
2023-03-08,36
2023-03-09,40
2023-03-10,53
2023-03-11,41
2023-03-12,39
2023-03-13,59
2023-03-14,62
2023-03-15,52
2023-03-16,49
2023-03-17,52
2023-03-18,55
2023-03-19,56
2023-03-20,62
2023-03-21,56
2023-03-22,57
2023-03-23,54
2023-03-24,55
2023-03-25,43
2023-03-26,43
2023-03-27,52
2023-03-28,47
2023-03-29,49
2023-03-30,47
2023-03-31,46
2023-04-01,41
2023-04-02,40
2023-04-03,44
2023-04-04,43
2023-04-05,44
2023-04-06,42
2023-04-07,40
2023-04-08,37
2023-04-09,34
2023-04-10,44
2023-04-11,61
2023-04-12,49
2023-04-13,48
2023-04-14,49
2023-04-15,44
2023-04-16,42
2023-04-17,46
2023-04-18,44
2023-04-19,46
2023-04-20,44
2023-04-21,44
2023-04-22,40
2023-04-23,38
2023-04-24,43
2023-04-25,41
2023-04-26,47
2023-04-27,41
2023-04-28,40
2023-04-29,36
2023-04-30,35
2023-05-01,42
2023-05-02,39
2023-05-03,40
2023-05-04,39
2023-05-05,38
2023-05-06,35
2023-05-07,35
2023-05-08,44
2023-05-09,40
2023-05-10,40
2023-05-11,41
2023-05-12,41
2023-05-13,32
2023-05-14,32
2023-05-15,34
2023-05-16,33
2023-05-17,35
2023-05-18,37
2023-05-19,32
2023-05-20,30
2023-05-21,31
2023-05-22,35
2023-05-23,34
2023-05-24,34
2023-05-25,35
2023-05-26,33
2023-05-27,29
2023-05-28,30
2023-05-29,34
2023-05-30,34
2023-05-31,34
2023-06-01,35
2023-06-02,32
2023-06-03,30
2023-06-04,31
2023-06-05,38
2023-06-06,42
2023-06-07,37
2023-06-08,36
2023-06-09,33
2023-06-10,38
2023-06-11,36
2023-06-12,36
2023-06-13,34
2023-06-14,35
2023-06-15,39
2023-06-16,36
2023-06-17,33
2023-06-18,30
2023-06-19,33
2023-06-20,37
2023-06-21,51
2023-06-22,48
2023-06-23,47
2023-06-24,41
2023-06-25,39
2023-06-26,42
2023-06-27,39
2023-06-28,39
2023-06-29,38
