,input_chunk_length,training_length,hidden_dim,n_rnn_layers,dropout,batch_size,lr,RMSE,MAE,MAPE
0,31,46,30,3,0.08794066516721981,128,0.004719550259341347,0.09971019625663757,0.075322114,15.776112675666809
1,14,58,30,2,0.05011022235555548,32,0.0019035280186025182,0.09829001128673553,0.07662655,15.954254567623138
2,2,23,27,2,0.12380580779311662,64,0.002680352272720646,0.08916270732879639,0.06630548,13.965065777301788
3,30,32,30,3,0.18877483274430593,32,0.004182397979397009,0.08022436499595642,0.059060305,12.397173792123795
4,15,51,10,2,0.0749205486762563,64,0.0036040754955104816,0.1099933385848999,0.08242511,17.253127694129944
5,24,50,24,2,0.23375644980909646,64,0.0034806862001394933,0.11232160776853561,0.07931307,16.87004566192627
6,16,29,23,1,0.08066538695631716,256,0.002702451475108231,0.04963834211230278,0.03432742,7.362671941518784
7,24,45,8,2,0.26065400256902727,32,0.0021071914682235927,0.0659925788640976,0.0487218,10.235700756311417
8,12,38,16,3,0.048111881086135684,128,0.001795887871516042,0.13573846220970154,0.0947391,19.635628163814545
9,26,52,16,2,0.24219404130890282,256,0.0029004557981214107,0.04846761375665665,0.03216037,6.998688727617264
10,24,62,16,1,0.29384225634630523,256,0.0010172617635515928,0.051197610795497894,0.035701983,7.683718949556351
11,9,13,20,1,0.0049399763060126445,256,0.002899638214669116,0.04985694959759712,0.034247156,7.362288981676102
12,19,34,21,1,0.17002994484947648,256,0.002640088279686409,0.05035122483968735,0.034887463,7.503952085971832
13,19,27,14,1,0.2125410577895605,256,0.0036009249281604436,0.05285325273871422,0.037964255,8.10542181134224
14,20,57,21,1,0.13644642696870138,256,0.0023445977241340226,0.05010554566979408,0.034718227,7.491941004991531
15,8,16,25,2,0.10589213108115487,256,0.0013220184865034665,0.050640881061553955,0.035101384,7.5020648539066315
16,28,42,13,1,0.16688984319604902,256,0.003217843694022468,0.04833199456334114,0.03280912,7.19190239906311
17,28,41,13,2,0.2446207645424404,256,0.0032640496887088224,0.05119762197136879,0.03597764,7.658547908067703
18,26,50,18,1,0.1673488789749694,128,0.004112272313415817,0.05623824894428253,0.04223864,8.875571191310883
19,27,54,12,3,0.2769241935182182,256,0.003993204552765172,0.04840806871652603,0.03267918,7.291165739297867
20,22,41,11,3,0.2957440399895368,256,0.004790508878277684,0.048107001930475235,0.03205968,7.116394490003586
21,21,38,11,3,0.2840672752133185,256,0.004975313644901093,0.04798789322376251,0.031772584,7.023852318525314
22,21,39,8,3,0.29553346329350283,256,0.004814125762935431,0.04804862290620804,0.031724963,7.011283189058304
23,21,37,8,3,0.2990001587009951,256,0.0048767913646338215,0.048094749450683594,0.03172415,6.976594030857086
24,17,36,8,3,0.27041065562301203,256,0.0049487431343281365,0.04805690050125122,0.031689573,6.992272287607193
25,17,35,10,3,0.2085790641150116,256,0.004468946893098095,0.04800522327423096,0.031712957,6.990799307823181
26,12,24,10,3,0.21081849894153232,32,0.004458661404474606,0.08561776578426361,0.05951248,12.533305585384369
27,18,31,10,3,0.2100022077488035,128,0.004412035764727644,0.04827900230884552,0.031978622,6.988459080457687
28,22,45,14,3,0.25794733988399476,64,0.004539956774332689,0.1051543578505516,0.07737453,16.079291701316833
29,13,47,11,3,0.22295387913909764,128,0.003943558538593985,0.04824598506093025,0.03190196,6.966935098171234
30,31,43,9,3,0.1903112308979052,256,0.0045891504330667545,0.04969635605812073,0.034063756,7.330283522605896
31,17,36,8,3,0.2739933051099917,256,0.004904963163319116,0.04805425927042961,0.031689893,6.993439048528671
32,17,34,8,3,0.2728817823993173,256,0.004918628915190592,0.048064280301332474,0.031725585,7.013648748397827
33,15,39,12,3,0.28021427949797884,256,0.004231595166700351,0.04814118146896362,0.032154683,7.1465060114860535
34,9,26,10,3,0.2517458422903353,32,0.004716073134208493,0.06500361859798431,0.042910263,9.008320420980453
35,3,22,32,3,0.2306291952993823,256,0.0049990758655339106,0.05080341547727585,0.035251867,7.524812966585159
36,22,35,11,3,0.18954030387189819,64,0.004282638981298813,0.048091959208250046,0.032177556,7.035500556230545
37,14,30,9,3,0.285582129151004,256,0.0038642730304288154,0.04865929111838341,0.032585762,7.071598619222641
38,20,39,15,3,0.26477956263124613,64,0.004683048370463269,0.10888728499412537,0.084272645,17.6373228430748
39,16,34,9,3,0.25291878538812074,32,0.004371579443873443,0.07919667661190033,0.05703307,12.046459317207336
40,24,40,18,3,0.23033341340918365,256,0.003783096182376466,0.04791254550218582,0.03252387,7.228521257638931
41,24,39,18,3,0.23289943526751494,256,0.0037534164779498363,0.04757610708475113,0.031574707,6.943569332361221
42,24,40,18,3,0.22781016627464942,256,0.0037975041967618396,0.04791798070073128,0.032540713,7.232978194952011
43,25,47,18,3,0.1992398979216859,256,0.0036519049268111388,0.04753858223557472,0.031575352,6.944173574447632
44,24,48,18,3,0.23633472297281902,256,0.0037773107390107604,0.04761751368641853,0.031539824,6.943152099847794
45,25,47,18,3,0.22763897170161912,256,0.0037462586222778583,0.047596897929906845,0.031505242,6.918346881866455
46,25,48,18,3,0.19625685029511136,256,0.003371171627367249,0.04754580557346344,0.03157296,6.938094645738602
47,29,48,19,2,0.15147314234673614,128,0.0033662836651442885,0.0503789521753788,0.03578914,7.673655450344086
48,26,53,22,3,0.1955083496012778,256,0.0035397945325569844,0.08295737951993942,0.061159447,12.78829574584961
49,25,48,20,3,0.17914562417885818,32,0.003141495510146742,0.09124916046857834,0.068271965,14.082109928131104
50,29,44,17,2,0.20169428281789306,64,0.0030533458332763575,0.08149713277816772,0.06146962,12.869234383106232
51,23,50,17,3,0.2408809076993894,256,0.003705965463136739,0.04896272346377373,0.033263903,7.2095222771167755
52,24,46,19,3,0.22526433824431868,256,0.003410498210809334,0.05040910094976425,0.03620952,8.110475540161133
53,25,55,18,3,0.22031122544475656,256,0.0036939978491518856,0.04776011407375336,0.031550374,6.892415881156921
54,27,55,21,3,0.15511868351101138,256,0.003670470720715129,0.10324718803167343,0.07586879,15.985551476478577
55,25,57,16,3,0.17763784190404946,256,0.0035133177023714593,0.06654960662126541,0.049847413,10.299809277057648
56,27,62,23,1,0.22075241376068483,256,0.004040303370788899,0.05002039298415184,0.035140954,7.519255578517914
57,31,60,19,3,0.13108689388691658,256,0.0027827969867626414,0.047866340726614,0.032125056,7.110270857810974
58,29,51,17,2,0.23971109259436063,256,0.0033262662735597704,0.04997296258807182,0.034293335,7.356361299753189
59,25,48,15,3,0.20029334088925357,256,0.003614443551502108,0.04841363802552223,0.03230228,7.056522369384766
60,23,44,20,3,0.21822507872879315,256,0.004121177862091893,0.05811064690351486,0.042388644,8.883706480264664
61,31,60,19,3,0.12282651383400216,256,0.002762741988220055,0.047836389392614365,0.03205822,7.092797011137009
