,input_chunk_length,training_length,hidden_dim,n_rnn_layers,dropout,batch_size,lr,RMSE,MAE,MAPE
0,8,51,29,3,0.14573959268321604,128,0.0037008982286370314,0.03593974933028221,0.022941932,4.0165014564991
1,7,42,22,3,0.22687497934351747,256,0.0016384621500145715,0.02830219827592373,0.019340781,3.36960032582283
2,9,38,31,1,0.19241815139340482,128,0.003412484214539055,0.044328391551971436,0.0325667,5.586132034659386
3,19,38,14,3,0.06260795789533373,32,0.0020235163736532285,0.05536353215575218,0.039153453,6.76288902759552
4,27,48,13,3,0.022974912037195226,128,0.004774996524935066,0.02845502644777298,0.018792283,3.2789774239063263
5,14,56,25,1,0.13258299814247534,64,0.0012073726838686626,0.028186682611703873,0.019896304,3.4547973424196243
6,1,35,12,3,0.16216641040027613,32,0.002753920587197432,0.03901814669370651,0.023123406,4.047013446688652
7,6,40,25,3,0.10726712123576389,256,0.004377028696593098,0.026471860706806183,0.017489675,3.04925087839365
8,21,34,14,1,0.11625070179588669,64,0.0019865347099412736,0.02803725376725197,0.019706842,3.4232821315526962
9,20,38,14,3,0.20458737939484814,64,0.0010249063830458326,0.026593491435050964,0.01769618,3.105553425848484
10,2,18,20,2,0.2815832765280122,256,0.00463630387141431,0.026746993884444237,0.018136393,3.151443973183632
11,26,29,8,2,0.23646926726723178,64,0.004004061547252084,0.026954201981425285,0.01854838,3.2570146024227142
12,15,25,18,3,0.0806635757017578,256,0.0029117414426896625,0.02617926150560379,0.017533932,3.0763810500502586
13,13,22,20,3,0.07775203749260756,256,0.0027491904007011262,0.027146412059664726,0.0187025,3.245043382048607
14,11,26,25,3,0.006445894509460051,256,0.004345254595485086,0.02720586210489273,0.01882745,3.265063092112541
15,5,14,24,2,0.09350392150569498,256,0.0031608437416188306,0.026583943516016006,0.017948877,3.152516484260559
16,31,61,17,3,0.04730269330697147,256,0.0026401792531031976,0.02661057561635971,0.018173039,3.1648624688386917
17,15,45,27,3,0.11147744562337629,256,0.003896205458163587,0.027051681652665138,0.018453168,3.201770782470703
18,17,30,18,1,0.04841312150313873,256,0.002355763085730715,0.04035288468003273,0.034039367,5.849107354879379
19,4,10,32,2,0.16854460847884503,32,0.0034181256013316305,0.04408542811870575,0.03193092,5.558891221880913
20,23,53,17,3,0.09155114872225381,256,0.004972459009667016,0.026646001264452934,0.018076316,3.1538590788841248
21,5,6,23,2,0.09398456379573032,256,0.003209731052703452,0.027200967073440552,0.018669965,3.2400280237197876
22,5,16,23,2,0.11566387441264664,256,0.004209142919624063,0.029307259246706963,0.021437287,3.8014184683561325
23,11,22,26,2,0.07500173907405731,256,0.002990714731373059,0.026554886251688004,0.01807658,3.1545013189315796
24,11,23,28,2,0.03745911201433131,256,0.0024180389942486096,0.027787886559963226,0.019283237,3.343331068754196
25,12,30,27,2,0.06950354279544407,256,0.0029677414160691664,0.02641308307647705,0.017672084,3.0883237719535828
26,16,32,30,3,0.0141102806067048,256,0.00373396778486921,0.03676914796233177,0.024340179,4.243769124150276
27,13,27,21,3,0.13598592956110356,128,0.0034717367353401876,0.03956228867173195,0.02675099,4.619563743472099
28,18,43,27,1,0.058537206808166355,32,0.0021820813437443453,0.05029236525297165,0.03408843,5.882193520665169
29,9,25,18,2,0.14352410007227778,128,0.0030272817385428885,0.02677292749285698,0.018296227,3.178686276078224
30,7,20,29,3,0.0766929311455314,256,0.0037055363017996913,0.026813318952918053,0.018111717,3.1489036977291107
31,11,30,26,2,0.07799322937457853,256,0.0028539550893785957,0.026707477867603302,0.018271195,3.1819049268960953
32,12,41,29,2,0.0364609123172612,256,0.002464819295146796,0.02716049738228321,0.018695896,3.257162496447563
33,8,21,22,2,0.10736182879818028,256,0.003115895586805575,0.02646486833691597,0.017860087,3.1149903312325478
34,8,33,23,2,0.10615934568634251,256,0.0017081978912510383,0.02630256861448288,0.01764665,3.0897773802280426
35,8,18,22,2,0.1591285798971696,256,0.0019294100263715036,0.02654653787612915,0.017876346,3.11567559838295
36,9,27,22,2,0.12230417435260235,128,0.001574241298064246,0.026523683220148087,0.017996943,3.1413484364748
37,3,14,19,2,0.1842506970534797,32,0.0033441020798193866,0.04969114065170288,0.032151856,5.543066933751106
38,14,36,21,2,0.1011667057096244,256,0.0013309380827220049,0.027833735570311546,0.01906838,3.303273022174835
39,7,33,15,2,0.05944579250951986,64,0.0017203618509717459,0.026593176648020744,0.018190214,3.191332519054413
40,9,24,11,1,0.1291612045700944,256,0.0022550270429587418,0.030980179086327553,0.023552077,4.05028909444809
41,8,39,24,3,0.10451558002851737,256,0.004503959239887582,0.0267107505351305,0.017836781,3.1015710905194283
42,6,36,23,3,0.08643572494873407,256,0.0026405701688754194,0.02687419019639492,0.018217258,3.1656663864851
43,1,47,25,2,0.14659864517167243,256,0.004098375031646614,0.027207741513848305,0.018484991,3.2120071351528168
44,15,32,21,3,0.07039612275097933,64,0.0017186320715903652,0.04602070897817612,0.03433104,5.918021127581596
45,13,29,27,1,0.10990947438147372,256,0.0014601345306087929,0.027426276355981827,0.019227283,3.345191851258278
46,10,40,19,3,0.1275973712605072,128,0.0035931436193229345,0.042261406779289246,0.0347714,6.134698539972305
47,3,20,16,2,0.03253629090233934,256,0.0011040390597262268,0.02810921147465706,0.020400349,3.60398031771183
48,21,28,24,3,0.057247354246302354,32,0.002060385529312441,0.057082612067461014,0.039319117,6.763032078742981
49,6,50,25,2,0.08667235982856224,256,0.002933066574465983,0.027833398431539536,0.019526884,3.3795341849327087
50,10,38,31,3,0.21914226242267654,64,0.0031790027788487956,0.041727691888809204,0.024943564,4.353024065494537
51,9,27,22,2,0.12452013356939207,128,0.0015458679665532199,0.026540007442235947,0.018004019,3.1419649720191956
52,7,31,20,2,0.2851997508284817,128,0.0017890465204059313,0.02778296172618866,0.019578625,3.387073427438736
53,12,34,23,2,0.1213523452806342,128,0.0013992420234327,0.026514768600463867,0.018009013,3.15856896340847
54,15,34,26,2,0.10105514053729917,128,0.0012322735016919908,0.026661740615963936,0.01805962,3.1484272330999374
55,17,43,24,2,0.13839795260015947,256,0.004866601389998676,0.026784546673297882,0.01804219,3.1402677297592163
56,13,36,23,2,0.25864809249185383,256,0.002587254967812283,0.02631460316479206,0.017451141,3.048570640385151
57,13,37,28,1,0.24804064415902816,256,0.002676060002912011,0.02734159119427204,0.018763358,3.2844562083482742
58,19,25,19,3,0.190813947594376,256,0.0025254418326580447,0.05471387133002281,0.048630342,8.572842925786972
59,4,46,20,2,0.2711478097391461,256,0.0028377529820973377,0.026707595214247704,0.017963426,3.1252432614564896
60,16,35,24,3,0.17150152641573513,256,0.003916809501724459,0.026998721063137054,0.018105872,3.1407471746206284
61,12,33,23,2,0.15465787566891182,256,0.0030559926540205365,0.027401858940720558,0.019426428,3.4269973635673523
62,12,21,22,2,0.11479133246304064,128,0.003280528820220515,0.027019387111067772,0.018311448,3.2015282660722733
63,10,30,25,2,0.06955021341053291,256,0.001911547459014537,0.028587615117430687,0.020409133,3.5246476531028748
64,14,42,21,2,0.09326488013150648,256,0.0013647184687280208,0.02789061889052391,0.019164378,3.3193882554769516
65,6,39,23,2,0.10499969263187853,32,0.0035234494408368485,0.051368698477745056,0.037662618,6.488409638404846
66,14,35,26,2,0.1194451318817494,256,0.0021475545635152417,0.027000052854418755,0.018457241,3.206069767475128
67,30,34,18,2,0.29768488261098497,128,0.0023137827965754123,0.026309065520763397,0.017738843,3.1034154817461967
68,18,32,18,3,0.2653027729683187,256,0.002344251541369432,0.02952979877591133,0.022301339,3.938281163573265
69,31,36,16,2,0.26063654663777314,64,0.0027191731381360994,0.026907898485660553,0.018232977,3.1590744853019714
70,23,28,17,1,0.2894698296092941,256,0.002522144115177573,0.028962766751646996,0.02150023,3.717420995235443
71,25,34,19,2,0.27750694927785546,128,0.003093228185319363,0.027183257043361664,0.01849911,3.2051023095846176
72,29,33,28,2,0.08437538765949784,128,0.002871398046244218,0.027170982211828232,0.018504178,3.2181963324546814
73,12,31,22,2,0.04729906419970584,128,0.0025670716903193782,0.02651793323457241,0.018047119,3.1518667936325073
74,8,24,21,2,0.2970864834936565,128,0.0023001185079805577,0.02692817524075508,0.018932816,3.3328820019960403
75,11,60,25,2,0.21103351351555882,128,0.004319241642281758,0.02775576338171959,0.01956399,3.392830118536949
76,14,37,20,2,0.10031448791696475,256,0.004654994461744107,0.026759659871459007,0.018321535,3.1968582421541214
77,15,39,23,3,0.2524204887256658,256,0.0027914778119521614,0.026480702683329582,0.017551638,3.0624642968177795
78,16,41,27,3,0.23733950004575488,256,0.0027902960535415248,0.026413485407829285,0.017506199,3.0562827363610268
79,16,41,28,3,0.2359310297918056,256,0.0033092402825620885,0.026346057653427124,0.01759247,3.079908713698387
80,19,45,29,3,0.23697036597394738,256,0.003268796647169646,0.026286333799362183,0.017380284,3.0443796887993813
81,16,41,30,3,0.24523184991625668,256,0.0033025092389098584,0.026848556473851204,0.01822015,3.179365396499634
82,18,44,30,3,0.229577821193531,256,0.0029642677345142064,0.027060050517320633,0.018538065,3.2246552407741547
83,17,49,32,3,0.23775146323147714,256,0.003135272959706182,0.026533687487244606,0.01766321,3.07735837996006
84,20,43,27,3,0.21116202195138348,256,0.0033619229543577853,0.026543213054537773,0.017672604,3.0760182067751884
85,16,41,29,3,0.22413926226167108,256,0.0032101799214644205,0.026345690712332726,0.017372757,3.0275817960500717
86,16,45,29,3,0.22653043133405942,256,0.003590796092215577,0.02628212235867977,0.017354473,3.036179021000862
87,20,47,29,3,0.22625580509605214,256,0.003506727638969177,0.026305202394723892,0.01734052,3.027942217886448
88,22,45,29,3,0.2248500294011439,256,0.003598228564721047,0.026287052780389786,0.01735557,3.0362874269485474
89,22,45,31,3,0.2230196605449712,32,0.00374850364700325,0.05981485918164253,0.04338914,7.458347827196121
90,19,48,29,3,0.2561348014796729,256,0.003596014760864264,0.02629021741449833,0.0173374,3.03330197930336
91,20,48,29,3,0.25772543624944216,256,0.003612446559420332,0.026292843744158745,0.01733854,3.033585660159588
92,20,53,29,3,0.2549026735409516,256,0.0036499978747085043,0.026294667273759842,0.01734483,3.0347613617777824
93,20,53,29,3,0.1994884945269702,256,0.003615903475063995,0.02633134461939335,0.017388517,3.03493682295084
94,24,47,30,3,0.27250912825067697,256,0.0037948870171910167,0.02777126617729664,0.019512894,3.380555659532547
95,21,51,29,3,0.2538744411265631,256,0.003468524935266277,0.026353653520345688,0.01738316,3.033323585987091
96,19,52,31,3,0.24445686977162198,256,0.003852358527200457,0.026530105620622635,0.017594717,3.0633769929409027
97,28,55,28,3,0.21046170231142022,64,0.0036631392245804217,0.030921485275030136,0.023095557,3.9709437638521194
98,22,48,30,3,0.22930032852436422,256,0.004108888285158802,0.02919634059071541,0.020926101,3.6169927567243576
99,19,46,32,3,0.2659851960469685,256,0.003526923810300574,0.026388268917798996,0.017457096,3.0539676547050476
