,input_chunk_length,training_length,hidden_dim,n_rnn_layers,dropout,batch_size,lr,RMSE,MAE,MAPE
0,19,32,32,1,0.1261301077212493,256,0.004477237967866064,0.04843272268772125,0.032374445,7.109410315752029
1,12,21,12,2,0.16935903337692385,256,0.004848565169603792,0.047974035143852234,0.03162594,6.970255821943283
2,2,51,11,2,0.09264088941900463,32,0.0024929521381165717,0.10148023813962936,0.07603354,15.971629321575165
3,20,60,18,2,0.15745050384173648,256,0.004147303753992504,0.04811033234000206,0.031978868,7.093796879053116
4,14,30,30,1,0.1730314516130827,128,0.0016880989125331787,0.04929540306329727,0.033302296,7.214897125959396
5,2,14,30,2,0.1345466425924138,256,0.0029620946216085066,0.05153146758675575,0.03569615,7.6500654220581055
6,16,55,15,2,0.22404461105390897,256,0.004987118715968561,0.04819536209106445,0.032202676,7.165228575468063
7,9,37,8,2,0.24140520038934915,256,0.004222254588710611,0.04811973497271538,0.031990096,7.096070051193237
8,16,21,21,2,0.07524414708680813,128,0.0015535514811022308,0.048150260001420975,0.031952262,7.029150426387787
9,5,38,30,2,0.029794178515233336,128,0.001190502979073694,0.07081476598978043,0.05845084,12.112419307231903
10,31,42,24,3,0.2949147029951044,64,0.0036033473972374042,0.049087513238191605,0.032941353,7.231554388999939
11,23,62,14,3,0.17887110587889946,256,0.003962450772184292,0.048018038272857666,0.03180718,7.042073458433151
12,26,49,14,3,0.20322504515065984,64,0.004996502438177222,0.0652771145105362,0.047590062,10.168152302503586
13,25,62,12,3,0.26088094438593157,32,0.0038440396010604805,0.04807193577289581,0.031952556,7.0897117257118225
14,10,18,8,3,0.19110061881228113,256,0.0034807041070961118,0.048099078238010406,0.03200714,7.105235755443573
15,23,46,18,3,0.10054821300857336,256,0.004547307095259685,0.05143844336271286,0.036200296,7.739770412445068
16,11,26,15,1,0.010462992576070085,256,0.0030113584598297732,0.058691006153821945,0.04316397,9.063233435153961
17,30,56,23,3,0.06016038574510418,64,0.0031994425584944653,0.09453824907541275,0.072769925,15.314275026321411
18,22,40,12,3,0.1585637163847572,32,0.0023933055326140797,0.05204969644546509,0.03652556,8.11779797077179
19,13,25,18,1,0.2052677673884232,256,0.004589079395617435,0.04870791360735893,0.032328393,7.085022330284119
20,6,12,10,3,0.12396882747969748,256,0.003977462663643811,0.048286762088537216,0.032381725,7.212185859680176
21,27,62,13,3,0.26575066646790396,32,0.0038578382185440016,0.07378549873828888,0.053092852,11.370555311441422
22,26,58,16,3,0.25699570739793104,32,0.0035303371385215416,0.09077607095241547,0.067503095,14.311866462230682
23,19,53,10,3,0.29833941689779053,32,0.004586803414839004,0.060792453587055206,0.045074247,9.629008919000626
24,23,62,13,3,0.17735721318485811,32,0.003713349542423993,0.06534892320632935,0.045211464,9.856986254453659
25,28,58,17,2,0.22879296376530645,32,0.0042601512970265034,0.09572671353816986,0.07221837,15.2827188372612
26,24,45,20,3,0.26994053364517545,64,0.004770897278536126,0.07477713376283646,0.05803265,12.47013583779335
27,21,34,11,3,0.20896104043715036,128,0.0032903365459391897,0.04842551797628403,0.03267198,7.289993762969971
28,17,47,9,1,0.1412253573974558,256,0.002449143938377289,0.04821005091071129,0.031799287,6.976600736379623
29,18,29,13,2,0.18010488329649282,256,0.00436902188702908,0.04818572849035263,0.03216001,7.1485742926597595
30,14,52,20,1,0.10922944660807773,32,0.003961151529633188,0.18611589074134827,0.14161319,30.16134202480316
31,9,18,8,3,0.19081207070373862,256,0.0034276376893271486,0.048099227249622345,0.032009494,7.10587203502655
32,11,18,11,3,0.15674703970944012,256,0.0027709295771138546,0.04809346795082092,0.031991635,7.101240009069443
33,13,24,11,3,0.16378792459403668,256,0.0022078886974708175,0.04804037883877754,0.03185721,7.059518992900848
34,7,24,12,3,0.16492224245548065,256,0.00198077201675359,0.048153020441532135,0.032112308,7.136647403240204
35,14,31,15,2,0.12006412076703435,256,0.0040746686508686515,0.04800054058432579,0.031657398,6.980779021978378
36,13,33,16,2,0.11622934585183538,256,0.0020978260631543426,0.048190221190452576,0.032241795,7.1706414222717285
37,14,29,15,2,0.08115371911994396,256,0.0027573455525283447,0.047963712364435196,0.03170147,7.0109933614730835
38,15,30,15,2,0.078106771809871,256,0.004134943988562781,0.04810301586985588,0.03199031,7.104171067476273
