,in_len,out_len,hidden_size,lstm_layers,num_attention_heads,dropout,hidden_continuous_size,batch_size,full_attention,lr,RMSE,MAE,MAPE
0,15,31,24,1,6,0.12874565181336126,9,32,False,0.0031527178808442935,0.029054541140794754,0.02055685,3.534841164946556
1,8,10,19,1,4,0.011112146522978105,6,128,False,0.0048237688935401524,0.02866329438984394,0.019896314,3.427167236804962
2,30,23,30,3,4,0.2917653836829643,9,128,False,0.0040434276589722765,0.027262186631560326,0.018962864,3.349052369594574
3,23,17,18,2,8,0.1990971159048591,10,64,False,0.002262583961742609,0.027663450688123703,0.019046659,3.3095993101596832
4,2,6,21,3,2,0.11442599352367305,9,128,False,0.0012367519788431388,0.026477929204702377,0.01755294,3.079281747341156
5,18,18,15,2,4,0.2562571719180981,8,256,False,0.0017021810405808712,0.02665225975215435,0.017734135,3.1015414744615555
6,10,10,31,3,6,0.0013453566109132508,10,64,True,0.0013170044619929757,0.02859625592827797,0.020371556,3.5495299845933914
7,31,27,16,1,8,0.15728421721337957,10,128,True,0.0011344743895927154,0.026416920125484467,0.017439887,3.0473770573735237
8,2,28,24,2,5,0.2971526941341447,6,128,False,0.0036641549303944167,0.026417173445224762,0.017434685,3.0503828078508377
9,20,3,26,2,7,0.09185970423020325,7,32,True,0.0031147595449034266,0.027980385348200798,0.020061968,3.5184260457754135
10,31,25,8,1,8,0.22306182376599565,8,256,True,0.002241236798647347,0.026328369975090027,0.017559133,3.073655813932419
11,30,22,8,1,8,0.19444746858727727,8,256,True,0.002182468071630162,0.02634604275226593,0.017541993,3.061240166425705
12,25,22,8,1,8,0.20677805274823097,8,256,True,0.0022974102576635647,0.02754243090748787,0.019244155,3.336908668279648
13,28,22,8,1,7,0.21356790182655197,7,256,True,0.0022839974211469336,0.027394292876124382,0.018978694,3.3512983471155167
14,25,25,12,1,7,0.16840132447032574,7,256,True,0.001968956976100859,0.026951193809509277,0.018003399,3.141263499855995
15,28,14,11,1,2,0.24433008951988888,8,256,True,0.0027045860249058384,0.027259213849902153,0.018610071,3.2730810344219208
16,22,19,12,1,6,0.06512523344743217,7,256,True,0.002654209163063702,0.026462098583579063,0.017582528,3.069783002138138
17,16,31,10,1,8,0.24749819230170853,9,256,True,0.0036039447953605504,0.027520015835762024,0.018637182,3.2288793474435806
18,27,14,15,1,7,0.17231232799203533,8,256,True,0.001874472796541263,0.02894880622625351,0.021253122,3.76785472035408
19,31,27,13,3,5,0.21763611569702584,8,32,True,0.0016929646327395063,0.027165303006768227,0.018722286,3.3020105212926865
20,14,21,8,1,8,0.18018721033613466,7,64,True,0.0028202980985545818,0.026569480076432228,0.017880557,3.1432241201400757
21,31,26,16,1,8,0.14767945291676815,10,128,True,0.0011607563812258389,0.026452988386154175,0.017575657,3.0795475468039513
22,26,29,10,1,7,0.14785458314944774,9,128,True,0.0015067479344656701,0.02771655097603798,0.01900739,3.2822325825691223
23,29,24,14,1,8,0.23565753570536868,8,256,True,0.0010029281511248632,0.026762280613183975,0.018157346,3.197212889790535
24,22,25,17,1,6,0.26719418444658927,9,256,True,0.0019982744525402444,0.027131197974085808,0.018743623,3.308695927262306
25,31,19,21,1,7,0.1883449625521743,8,128,True,0.002518013331953012,0.026513410732150078,0.017553613,3.0671756714582443
26,24,29,10,1,3,0.12146268576373566,10,32,True,0.0014455311012306717,0.035242874175310135,0.0229013,4.025526717305183
27,28,21,13,1,8,0.06410590292937117,8,64,True,0.0034715489593861977,0.029454372823238373,0.02049902,3.53115051984787
28,26,27,8,3,5,0.22865605643503062,9,256,True,0.0020734088091757573,0.026653382927179337,0.01777845,3.0980482697486877
29,13,31,24,2,6,0.16363261825582384,7,32,True,0.003007244183411493,0.028191491961479187,0.019460699,3.387674316763878
30,21,15,10,1,7,0.2740203351796701,10,128,True,0.0033571217116741122,0.026494719088077545,0.017500699,3.0594026669859886
31,2,29,24,2,5,0.13795511913403968,6,128,False,0.003911352774172179,0.027182986959815025,0.018340066,3.1810738146305084
32,6,28,27,2,6,0.2919055949675601,6,128,False,0.004149827018434826,0.028383253142237663,0.019505044,3.389303758740425
33,6,25,22,2,8,0.1931763345122876,6,128,False,0.004426451607136301,0.02972198650240898,0.021436648,3.6827486008405685
34,29,23,27,2,4,0.27818325776920577,6,128,False,0.00495153748374506,0.02839837223291397,0.01975008,3.414391726255417
35,18,27,19,2,3,0.10069847080129027,9,128,False,0.003808860589763083,0.026525825262069702,0.017650444,3.0862100422382355
36,12,31,29,3,3,0.29662762801538606,7,128,False,0.0017180185719515094,0.026537951081991196,0.01763549,3.0912065878510475
37,7,24,22,1,5,0.2237566219092425,8,64,False,0.004552800486305462,0.026596857234835625,0.017618595,3.0716251581907272
38,19,12,18,2,4,0.2618592772713752,9,256,False,0.00325653015017652,0.026867972686886787,0.017842224,3.0975965782999992
39,10,17,25,3,6,0.20092775852493527,10,128,False,0.0028975599554547198,0.027310486882925034,0.019257762,3.3400598913431168
40,1,1,32,1,8,0.16102181696786944,6,256,True,0.003567868314297217,0.026682786643505096,0.0180083,3.1603053212165833
41,31,26,16,1,8,0.14613851188913804,10,128,True,0.0011771863663906053,0.026451746001839638,0.017566111,3.0774660408496857
42,30,20,20,1,8,0.1213089360269597,10,128,True,0.0010205842721302985,0.02859817072749138,0.02002151,3.448702394962311
43,29,23,16,1,7,0.10390198179471996,10,128,True,0.0013987742423652552,0.02667703479528427,0.01774412,3.1079640612006187
44,31,26,9,1,8,0.1389956405514311,10,128,True,0.0025061738115583435,0.026790829375386238,0.018278327,3.183092921972275
45,27,29,12,1,7,0.18541252359856542,9,128,True,0.0015907981474655945,0.026746682822704315,0.01818716,3.2052282243967056
46,30,7,19,2,8,0.15419422940443767,7,256,True,0.0021504750524052024,0.026484578847885132,0.017850248,3.135295584797859
47,4,23,15,1,7,0.07855635588430138,9,32,True,0.0012426514945351843,0.02840900607407093,0.019383153,3.3750642091035843
48,16,28,23,1,8,0.2067112869142223,8,64,False,0.0018833504998687833,0.026512853801250458,0.01760939,3.077325224876404
49,24,26,11,1,7,0.03335538238996262,10,256,True,0.0024042943048451877,0.026476232334971428,0.017818524,3.1313173472881317
50,27,21,14,3,8,0.24424943691557138,8,256,True,0.0017406131709222531,0.02683076448738575,0.017837213,3.107883967459202
