,input_chunk_length,training_length,hidden_dim,n_rnn_layers,dropout,batch_size,lr,RMSE,MAE,MAPE
0,21,43,10,3,0.1127749788930048,128,0.0015677702706402498,0.026542598381638527,0.01764551,3.0989285558462143
1,12,23,10,3,0.1604334939440855,256,0.003508358503028125,0.027043417096138,0.01859809,3.28264944255352
2,29,49,30,3,0.051299813123868575,256,0.001023686587146754,0.026566388085484505,0.0176812,3.088010475039482
3,2,28,9,1,0.2536982413292705,128,0.002101217609102476,0.02913765236735344,0.020384716,3.5336043685674667
4,21,58,12,1,0.1257298502400906,128,0.0017422257637346862,0.027108464390039444,0.018384708,3.2134555280208588
5,15,49,31,3,0.038140975693498856,256,0.0025389772023504346,0.026828046888113022,0.018075377,3.1728360801935196
6,23,37,26,3,0.07354442489996733,128,0.002468428161035148,0.026984307914972305,0.018464137,3.245237097144127
7,20,62,22,3,0.07145400485676004,128,0.004579041722417928,0.15304504334926605,0.08449668,14.646272361278534
8,9,29,25,1,0.11281456645227694,256,0.0010899125935193476,0.026650408282876015,0.01786014,3.1143562868237495
9,25,37,27,1,0.2402892066517592,256,0.0016956227610840937,0.026766110211610794,0.018140595,3.1613029539585114
10,31,43,17,2,0.1966991760823413,32,0.0034532720064959226,0.0749867707490921,0.054078527,9.353592991828918
11,31,50,17,3,0.007863220101897356,64,0.0010454200141333035,0.02651168778538704,0.01755255,3.0666811391711235
12,27,53,16,2,3.8892845550975164e-05,64,0.001439355373188285,0.028489630669355392,0.019818341,3.4534260630607605
13,18,43,14,3,0.2948302038009676,64,0.0027847106098368582,0.02667585387825966,0.017978499,3.164861351251602
14,31,54,19,3,0.16347097463838015,64,0.0049992656446605725,0.041404709219932556,0.031003969,5.3813498467206955
15,7,10,8,3,0.013989145069643352,64,0.0020376588082138955,0.07285003364086151,0.05509006,9.571488201618195
16,25,47,13,2,0.10332655251286692,32,0.003302583044877445,0.13598304986953735,0.08215176,14.300857484340668
17,13,41,22,3,0.21012285590666324,64,0.0013950410923723611,0.02713080495595932,0.018447815,3.2363474369049072
18,17,34,16,3,0.08927066858125432,128,0.004260701223089204,0.02831091545522213,0.019726384,3.420604020357132
19,26,54,11,2,0.04768343596220329,32,0.0020118187234327792,0.03899144008755684,0.026878705,4.673175141215324
20,20,48,20,3,0.1348526492015561,64,0.001304376260184603,0.030628113076090813,0.023564205,4.1701775044202805
21,29,50,30,3,0.03961755252906995,256,0.0010188562847019958,0.026637626811861992,0.017869331,3.1357549130916595
22,29,44,28,3,0.059383496492908965,256,0.0010080909378897963,0.026600826531648636,0.017712599,3.104054369032383
23,23,57,23,3,0.02742576275476345,128,0.0016532571636619802,0.02699534222483635,0.018451633,3.249046951532364
24,28,52,18,3,0.08665415208289673,256,0.001410900171582661,0.026407061144709587,0.017355155,3.030550852417946
25,23,52,18,3,0.08977844240766708,128,0.0023195166970861126,0.027543233707547188,0.019687686,3.475586697459221
26,28,57,14,3,0.18211091755640474,64,0.001750661475467822,0.02650984562933445,0.018166168,3.192930668592453
27,28,58,15,3,0.1895585095221277,64,0.002999010589139765,0.026818323880434036,0.018256558,3.2115940004587173
28,31,62,20,2,0.14404087924648445,64,0.00192643360831077,0.027239065617322922,0.01889532,3.320902958512306
29,26,56,13,1,0.1740263512821081,64,0.0013459950134541985,0.02674097940325737,0.018116903,3.1735170632600784
30,24,60,17,3,0.21616955345231292,64,0.0016144899771876455,0.02662108652293682,0.01829548,3.2200824469327927
31,27,46,10,3,0.16253116093041464,256,0.0038540008764985294,0.026728935539722443,0.018032702,3.176386281847954
32,31,52,11,3,0.11632210172732371,32,0.0013411747655763917,0.11688993126153946,0.0667971,11.594393104314804
33,28,51,15,3,0.14707695529382378,256,0.002301381899086956,0.02727402187883854,0.018345095,3.183557093143463
34,21,39,13,3,0.09918049720153531,128,0.0017511106126679575,0.026469146832823753,0.017548282,3.073941543698311
35,21,36,14,3,0.0989502681991561,128,0.0019023551661827836,0.028054088354110718,0.019376539,3.3451899886131287
36,30,56,19,3,0.07237811162079741,64,0.0012167927427339448,0.02642037533223629,0.017544558,3.07284127920866
37,1,19,19,1,0.06964627548500901,128,0.0022531469971300328,0.028514886274933815,0.019777682,3.422841802239418
38,19,60,21,3,0.12650984353763803,256,0.002670028147383029,0.026423243805766106,0.017462596,3.043302148580551
39,19,60,24,3,0.12595834110216,256,0.0026266946728873415,0.026462974026799202,0.017518468,3.0673854053020477
40,15,60,24,3,0.12646664405405056,256,0.002672357279403753,0.026464706286787987,0.01752593,3.069232776761055
41,15,60,24,3,0.1254306213828411,256,0.0027135713112190546,0.02646877057850361,0.017534276,3.0710356310009956
42,12,60,21,3,0.13077784559829142,256,0.0030769864859368804,0.026536017656326294,0.01758696,3.059685043990612
43,9,62,25,3,0.08269362651259196,256,0.002645707109340402,0.026948781684041023,0.018237175,3.205735981464386
44,18,55,22,1,0.06331963065041596,256,0.0029472129453418116,0.02709328755736351,0.018249705,3.193292021751404
45,16,59,24,3,0.11444489412397485,256,0.0036861167585816763,0.02659313566982746,0.017571962,3.062707930803299
46,10,55,27,3,0.08173838603385157,256,0.0025110985922681133,0.026636675000190735,0.017799968,3.1090054661035538
47,13,59,20,3,0.15508872786219072,256,0.003373276659917663,0.026545636355876923,0.017542863,3.054347075521946
48,19,61,23,2,0.10828454588468947,256,0.003173067403307821,0.02664826437830925,0.017889021,3.1350452452898026
49,15,57,21,1,0.1234305326602857,256,0.002882101388568561,0.026842422783374786,0.018418567,3.225814551115036
50,22,58,26,3,0.1386318640175652,256,0.002215815310178379,0.026465944945812225,0.017522665,3.065754845738411
51,19,58,28,3,0.13756496767539328,256,0.0021715433469395606,0.02677644044160843,0.018098982,3.1808320432901382
52,22,55,26,3,0.16947198265798002,256,0.0024366034426043,0.02648126520216465,0.017538842,3.07290218770504
53,4,24,25,3,0.1512870956987623,256,0.0011773281526430888,0.026675712317228317,0.017887514,3.137269988656044
54,17,53,18,3,0.09172901065261177,256,0.002663753931293206,0.02640368416905403,0.017850805,3.1340233981609344
55,14,53,18,3,0.09192376749712959,256,0.002601574556096204,0.026392988860607147,0.017807372,3.1258441507816315
56,14,53,18,3,0.05087765137541664,32,0.0015054916876995194,0.04942142590880394,0.03221512,5.636918172240257
57,16,49,18,2,0.0792663887841446,256,0.0028043767684566307,0.02677389606833458,0.017760033,3.0925652012228966
58,17,51,19,3,0.09370385193392708,256,0.0035903337092086113,0.026826418936252594,0.017802674,3.0949464067816734
59,11,47,16,3,0.027006058697576343,256,0.0032363784391142487,0.026867495849728584,0.017910346,3.135063126683235
60,19,45,21,3,0.06724429946327472,256,0.0012056573439779019,0.026702895760536194,0.017727658,3.0846474692225456
61,13,54,23,3,0.10816039539181604,256,0.0026791697767231957,0.02658538520336151,0.017771646,3.1199513003230095
62,17,56,18,3,0.12319782027953403,256,0.0024286796542762365,0.02637631818652153,0.017704772,3.1068557873368263
63,17,53,17,3,0.09133207056506412,256,0.002446357823149668,0.0264041256159544,0.017406914,3.043859265744686
64,17,53,18,3,0.057269634710126464,256,0.0023863647339153827,0.026344647631049156,0.0176259,3.0900543555617332
65,17,49,17,3,0.05860319118255956,32,0.0023619621303099985,0.031913794577121735,0.023707913,4.158368334174156
66,6,53,19,3,0.03727748174142691,256,0.0018904654738196294,0.02650376595556736,0.017574301,3.080586902797222
67,14,50,17,3,0.0872367720681592,64,0.002049278864147604,0.02699609287083149,0.018632678,3.288154676556587
68,30,56,16,2,0.07481267384786637,256,0.0025266347479337816,0.026417728513479233,0.01756385,3.0726730823516846
69,17,52,15,2,0.09929163002747779,256,0.002433957728338929,0.027852719649672508,0.019939177,3.5228386521339417
70,18,48,16,2,0.28044451932714504,256,0.0025350760768663985,0.02725142054259777,0.018976187,3.3532198518514633
71,30,56,18,2,0.07434883824649274,256,0.0030863976394590402,0.02672046609222889,0.01770339,3.0858205631375313
72,30,56,19,2,0.05776310085031024,256,0.0021555964803486433,0.027036096900701523,0.018482048,3.2505836337804794
73,27,54,17,2,0.046265804639662206,64,0.0028068679169360464,0.04787195101380348,0.034835964,6.031608209013939
74,30,51,16,1,0.07348453771845076,256,0.0023427885667529594,0.027535011991858482,0.018735917,3.253447636961937
75,29,53,20,3,0.09433569302488025,256,0.0025422605261166725,0.026574628427624702,0.01762895,3.0715839937329292
76,26,56,18,3,0.028110750493214834,32,0.0028981164202269167,0.05189237371087074,0.038206723,6.636510044336319
77,14,52,15,3,0.08661392774966718,64,0.001516760693517936,0.028044402599334717,0.019206613,3.3225592225790024
78,20,54,18,3,0.10479065581170238,256,0.002003459590062929,0.026403170078992844,0.017741092,3.1148094683885574
79,20,50,16,2,0.11596756888439297,256,0.001875479933994435,0.026436414569616318,0.017686598,3.103082813322544
80,18,55,17,3,0.10472629662314833,256,0.002572889764443608,0.026461943984031677,0.017432414,3.05123720318079
81,16,54,19,3,0.07715511886640332,256,0.00242518575168595,0.026378612965345383,0.017440993,3.0522719025611877
82,16,54,18,3,0.07851568234907326,256,0.0023983675053366356,0.026466362178325653,0.017905656,3.1464137136936188
83,16,31,20,3,0.09259994352467535,256,0.0020613845809896456,0.027681076899170876,0.019938968,3.52054201066494
84,20,57,17,3,0.06262376586670906,256,0.0022261494502678956,0.02650623954832554,0.01778011,3.1235594302415848
85,14,48,19,3,0.1015500146621836,256,0.002801438705864938,0.026554442942142487,0.017527087,3.0579866841435432
86,17,51,14,3,0.11820299355261595,256,0.002474111244903079,0.029963312670588493,0.021927727,3.77274788916111
87,15,53,18,1,0.08363863690044666,256,0.00231531812312653,0.026982082054018974,0.01853728,3.255675360560417
88,13,47,15,3,0.11089507098974315,256,0.002746306415629646,0.026630796492099762,0.017583612,3.0686624348163605
89,12,42,20,3,0.09680996719694307,128,0.0018181546977396783,0.02925834432244301,0.021958236,3.8839049637317657
90,18,54,17,3,0.053995917200077286,256,0.002164837217348721,0.02646763063967228,0.017768444,3.1199228018522263
91,28,55,19,3,0.07049638020810385,64,0.0010828811590168118,0.026564570143818855,0.017547714,3.0556904152035713
92,25,52,18,3,0.04261749819036813,256,0.0025723783060408113,0.026336420327425003,0.017525952,3.0682960525155067
