,input_chunk_length,training_length,hidden_dim,n_rnn_layers,dropout,batch_size,lr,RMSE,MAE,MAPE
0,19,30,29,1,0.04897756676017071,256,0.0030074061389867186,0.02713250368833542,0.018352289,3.227810189127922
1,17,21,20,2,0.12617868339390287,128,0.004282283869683496,0.02819063328206539,0.019129455,3.373592719435692
2,7,18,27,2,0.2761882034107199,32,0.0012746421948790143,0.030901528894901276,0.02153284,3.767429292201996
3,10,11,31,2,0.1336822852694677,32,0.003897510953037909,0.051993146538734436,0.04047288,6.96028545498848
4,31,56,10,3,0.17048657397813666,32,0.002386601145627224,0.041563887149095535,0.031174814,5.3630538284778595
5,23,54,25,2,0.034144638016905635,256,0.0013306714203167279,0.02732650376856327,0.01836666,3.2377321273088455
6,11,60,24,3,0.1456336635452082,128,0.004127281428411799,0.042046889662742615,0.03384415,5.80548457801342
7,22,56,24,3,0.2855992613653976,256,0.0029164996447778643,0.027133004739880562,0.018782897,3.3173218369483948
8,7,31,15,2,0.27903317713295445,128,0.0020668553073752653,0.02644886076450348,0.017651178,3.100312314927578
9,10,50,17,1,0.17373872908375776,32,0.0029346095947680208,0.036679498851299286,0.026448622,4.628479108214378
10,1,41,11,2,0.22146293888381566,64,0.001995971462833983,0.02673630602657795,0.01795777,3.157133236527443
11,2,39,11,2,0.2303898554059281,64,0.001976761037739085,0.026684915646910667,0.018053053,3.177415579557419
12,1,38,14,2,0.24396695209212352,64,0.001909242413240519,0.026984313502907753,0.018412929,3.2440263777971268
13,5,30,8,2,0.21836905163636072,64,0.002231939378143967,0.028457390144467354,0.019507993,3.3961717039346695
14,5,40,14,2,0.29812704373166404,128,0.0015788814571808779,0.026627780869603157,0.017969914,3.1623370945453644
15,13,46,16,1,0.29884488905230133,128,0.0011538202066024913,0.027449479326605797,0.018718744,3.2663680613040924
16,6,31,18,2,0.08899833638196397,128,0.003455605363514691,0.026622429490089417,0.018007409,3.167884796857834
17,14,31,20,2,0.07910025300543153,128,0.004919892604839124,0.028827449306845665,0.019750468,3.488732874393463
18,7,22,18,3,0.07710725371520458,128,0.003461530992419038,0.026387425139546394,0.017530026,3.0751103535294533
19,8,22,22,3,0.011295751995518577,128,0.0034278803326940293,0.02690894715487957,0.017929569,3.1118586659431458
20,13,25,14,3,0.10370417247977981,128,0.0025294671903646174,0.02699257619678974,0.01858849,3.280916064977646
21,5,13,18,3,0.07704188991302863,128,0.0035130738364515914,0.02651495672762394,0.017551806,3.056393563747406
22,3,4,19,3,0.06237228670580695,128,0.003483560431068355,0.028842328116297722,0.019954836,3.468732163310051
23,8,15,16,3,0.11068953762194036,128,0.003858072800233397,0.027331385761499405,0.018414652,3.2255947589874268
24,4,11,22,3,0.00676357716866538,128,0.004720220722766826,0.02700692042708397,0.018295959,3.2223068177700043
25,8,25,13,3,0.1858423407009534,128,0.003076972945361131,0.02644130401313305,0.01760355,3.09041328728199
26,16,26,12,3,0.19099391475392993,128,0.0026640779192719085,0.0264440905302763,0.017611342,3.0921723693609238
27,29,35,12,3,0.19194559900867988,128,0.00270972947194071,0.026394061744213104,0.017487114,3.065989352762699
28,31,36,8,3,0.19614412027680783,256,0.003148638052111831,0.02636765129864216,0.01744322,3.0558301135897636
29,31,43,8,1,0.19738932997008402,256,0.00319197913335793,0.026755735278129578,0.017965581,3.1527653336524963
30,28,36,10,3,0.16192046354120132,256,0.0027176265559236525,0.02648739144206047,0.017699469,3.110129199922085
31,28,35,12,3,0.19235316315015824,256,0.0031904282812564213,0.026414278894662857,0.017538732,3.0770912766456604
32,28,36,9,3,0.24659393046399336,256,0.0032464583500642855,0.02643398940563202,0.01758905,3.0876006931066513
33,28,35,12,3,0.20939913300524385,256,0.0038082282079705105,0.026392756029963493,0.017481988,3.064756654202938
34,25,34,9,3,0.1508109310465416,256,0.003815017467248383,0.026372596621513367,0.01740152,3.0453382059931755
35,25,46,8,3,0.12670051388843198,256,0.004409316878824115,0.02636841870844364,0.017442428,3.055647946894169
36,24,45,29,3,0.13376533586878012,256,0.004248457526935887,0.027191339060664177,0.0184626,3.2442934811115265
37,25,47,9,1,0.11870025455181593,256,0.004607313880012791,0.02684316411614418,0.018044638,3.17806676030159
38,19,50,32,3,0.15027001891804453,256,0.004456044852043951,0.026342518627643585,0.01746064,3.0588047578930855
39,19,49,29,3,0.15156199373808454,256,0.00436951834232848,0.027197187766432762,0.018576892,3.2529879361391068
