,input_chunk_length,training_length,hidden_dim,n_rnn_layers,dropout,batch_size,lr,RMSE,MAE,MAPE
0,6,18,22,1,0.10816420859284406,128,0.0041550222554466,0.07329366356134415,0.056222714,11.65071427822113
1,5,22,24,1,0.09991726931374396,128,0.003910213470261072,0.07513893395662308,0.060220774,12.359999865293503
2,30,62,28,3,0.21133646832890565,32,0.0017129414991360454,0.08527476340532303,0.06368449,13.679563999176025
3,26,31,25,1,0.08363217421799173,128,0.004763853974303801,0.04839024320244789,0.033081938,7.185955345630646
4,22,23,28,1,0.08023520260227048,64,0.0025546178724356774,0.07757694274187088,0.058868106,12.22582757472992
5,25,36,18,1,0.197734568109345,32,0.002869224554984254,0.09041471034288406,0.06815697,14.399422705173492
6,22,24,19,1,0.2414873076426528,128,0.0047580610377124894,0.07043053209781647,0.056117192,11.555831134319305
7,21,36,27,2,0.12534984591837237,32,0.0038660530561295267,0.08265641331672668,0.06458678,13.553301990032196
8,17,50,12,3,0.05855469333746834,32,0.004651199099121652,0.09034780412912369,0.0705356,15.048550069332123
9,11,40,29,3,0.022821606430270692,128,0.0023617879975275434,0.09052126854658127,0.06929827,14.667770266532898
10,31,53,10,2,0.007356648704240035,256,0.0010421532878468792,0.048194222152233124,0.031883407,7.061642408370972
11,31,54,9,2,0.005683954115931584,256,0.0015039947255281085,0.04791944473981857,0.03186648,7.043131440877914
12,30,54,8,2,0.0016831218481182676,256,0.0010201543043191173,0.04849596694111824,0.0329235,7.354496419429779
13,31,57,13,2,0.29246084957570156,256,0.0012532296042953046,0.04799298197031021,0.031789478,7.035541534423828
14,14,62,13,2,0.2975132142381521,256,0.0015860427576215121,0.04807628318667412,0.03199707,7.104876637458801
15,27,57,16,2,0.1702507280715677,256,0.002062114590684095,0.04850849136710167,0.032768272,7.318782806396484
16,18,48,15,2,0.27667104517293106,256,0.001547446948336976,0.04805846884846687,0.03187568,7.067902386188507
17,1,8,32,2,0.14690616924933148,64,0.003281080703249633,0.09046896547079086,0.06873028,14.34403657913208
18,27,58,8,2,0.24425505478716686,256,0.001872748105707428,0.04833460971713066,0.03255326,7.24998340010643
19,13,45,12,2,0.03942404162023966,256,0.0013060025411810695,0.04804956540465355,0.031982847,7.08213746547699
20,24,57,16,2,0.16948286497439108,256,0.0021455266892829545,0.04848509281873703,0.03273231,7.309055328369141
21,12,45,11,2,0.040153072137136994,256,0.0013180839424823006,0.048308078199625015,0.032501355,7.23336860537529
22,8,43,14,2,0.046057599959307395,256,0.0013282646426411198,0.048274654895067215,0.032284815,7.173125445842743
23,14,50,10,2,0.06265391012009387,256,0.0013069234757010707,0.04814981669187546,0.031802643,7.034029066562653
24,19,47,8,2,0.032813972049011965,64,0.0027564641065768395,0.11307463049888611,0.092017554,19.716164469718933
25,29,53,12,3,0.13785932984483362,256,0.003244352741807802,0.050332386046648026,0.03497142,7.791629433631897
26,9,41,18,2,0.017235322790699902,256,0.0019462231519118082,0.04823775961995125,0.03228455,7.1507528424263
27,15,60,10,2,0.2517786573787568,256,0.0023991502480395148,0.04805581644177437,0.03173092,7.010909914970398
28,29,55,14,2,0.21260021980289034,256,0.001462079729392917,0.04889674484729767,0.033267453,7.4507273733615875
29,4,31,21,3,0.11412690292558994,64,0.0010619679488981537,0.049862176179885864,0.03493797,7.691588252782822
30,20,48,17,2,0.08323524465991396,256,0.0018011998143068503,0.048020899295806885,0.031847652,7.042764872312546
31,12,50,17,2,0.07158130302701488,256,0.0017743428789936554,0.0480344220995903,0.03188366,7.0555903017520905
32,10,52,23,2,0.09375396481137739,256,0.0017440089864503518,0.04814476892352104,0.031882692,7.072576135396957
33,7,49,16,2,0.07365530596067822,256,0.0022009154493456123,0.04823334887623787,0.032287303,7.189059257507324
34,28,51,21,2,0.10901796537622421,128,0.0017857422997786566,0.0486002042889595,0.032701127,7.257677614688873
35,24,55,18,1,0.05634373779633295,256,0.001615058125579728,0.04899481311440468,0.03264829,7.1689218282699585
36,31,59,17,2,0.09009959884158171,32,0.0025922306597686235,0.11610584706068039,0.08772271,18.897879123687744
37,21,47,14,1,0.17427252487660735,256,0.0019601090272077116,0.04858201742172241,0.032724053,7.151533663272858
38,25,56,20,3,0.07169793255790627,128,0.0036139264250134996,0.04797719419002533,0.03175386,7.020560652017593
39,26,61,23,3,0.20161861194965763,128,0.0038107655485539642,0.05778612568974495,0.04179836,8.955923467874527
40,23,56,19,3,0.13539504242119155,128,0.0036270275319695393,0.08212927728891373,0.064414896,13.972315192222595
41,20,52,20,3,0.10308559137506043,128,0.0031538508146057415,0.04811612889170647,0.03206266,7.121473550796509
42,25,54,25,3,0.07854631205625467,128,0.0035608260221368466,0.05757438391447067,0.040453497,8.585705608129501
43,16,37,20,1,0.12039039628608818,32,0.0040769500088337005,0.1259019672870636,0.09593552,20.035240054130554
44,31,50,17,3,0.06849771893898036,128,0.0029257040139040753,0.04802019149065018,0.03183239,7.050316780805588
45,31,58,13,3,0.05150766539244112,128,0.004366926799600164,0.04841456562280655,0.03264931,7.283657789230347
46,28,56,15,3,0.014914654887611595,128,0.004419852390854103,0.04803761839866638,0.031844925,7.054878771305084
47,29,53,17,3,0.0281404011173604,128,0.002994179577842808,0.04812685027718544,0.032094505,7.129490375518799
48,26,47,19,3,0.06354342170246216,128,0.003558173022273027,0.09766007214784622,0.07766674,16.40208214521408
49,30,45,9,3,0.0011646903321747516,64,0.0011323764643108975,0.04801372438669205,0.031683993,6.98486864566803
50,30,42,9,3,0.0004231922639082403,64,0.0011178561173109012,0.04812571778893471,0.032042418,7.108958065509796
51,31,44,9,3,0.01659383160564827,64,0.0014564335454711071,0.047991957515478134,0.03166204,6.982731819152832
52,31,45,9,3,0.011464309810992189,64,0.001440639795454358,0.04800047725439072,0.03173486,7.014583796262741
53,28,44,9,3,0.01585827803131837,64,0.0014564349735679016,0.047992050647735596,0.031662434,6.982886046171188
54,28,43,11,3,0.016201829905017145,64,0.004986328052977147,0.07878270745277405,0.05725717,12.066908925771713
55,27,39,9,3,0.02820192197939937,64,0.0015013120900269424,0.04801712557673454,0.03179292,7.036961615085602
56,29,44,11,3,0.011579447409687454,64,0.0012026782897510875,0.04804913327097893,0.03184524,7.0526838302612305
57,31,46,8,3,0.037559371730724087,64,0.0013805403017477754,0.048096686601638794,0.031953212,7.081349194049835
58,25,38,10,3,0.29935147720025246,64,0.0015812632048873409,0.04950510710477829,0.034180947,7.5888000428676605
59,28,41,12,1,0.021845480274657023,64,0.0012573395171874726,0.04816971719264984,0.032514293,7.110035419464111
60,30,43,9,3,0.047299335828444755,64,0.0014549218251303719,0.0479905866086483,0.031656772,6.9805532693862915
61,30,43,9,3,0.04780565097784938,64,0.0014255523843997836,0.047990843653678894,0.03165543,6.979754567146301
62,30,43,10,3,0.04815431358502323,64,0.0010043455101839888,0.04854031652212143,0.03248761,7.16785341501236
63,27,40,8,3,0.0429037459492277,64,0.0016389090098066664,0.04809429123997688,0.03195059,7.081375271081924
64,29,42,11,3,0.026627211718059707,64,0.002047855542697062,0.04812811315059662,0.031854797,7.04391822218895
65,26,44,13,3,0.2661125579774815,64,0.0014311461772664295,0.04831477254629135,0.032464977,7.234104722738266
66,30,58,30,3,0.05526315942707379,32,0.0011986171014037774,0.09387831389904022,0.07198244,15.213511884212494
67,28,62,9,3,0.22400088298940418,64,0.002267183060922266,0.048362597823143005,0.032557074,7.259237766265869
68,27,40,8,3,0.034302449669465,64,0.0013467710395346662,0.048121433705091476,0.03201774,7.1006737649440765
69,29,60,11,1,0.282318434900679,64,0.0017005931129951738,0.048975903540849686,0.033682417,7.2950489819049835
70,30,44,10,2,0.009116588764992425,64,0.0019228611507290053,0.08325162529945374,0.072311275,14.867998659610748
71,31,46,9,3,0.01855370376266787,64,0.0014767803999410326,0.04799953103065491,0.03164667,6.970051676034927
72,31,46,12,3,0.0221354673291875,64,0.001520275709996084,0.05112467333674431,0.035825677,7.614506781101227
73,30,48,9,3,0.03543214990490931,64,0.0016691981843354057,0.04814605414867401,0.03210621,7.134853303432465
74,29,42,27,3,0.18541756551462293,64,0.001224575965888051,0.04825069382786751,0.032658692,7.277411222457886
75,28,57,8,3,0.005147198809032986,32,0.0018099415304932464,0.05884868651628494,0.044497814,9.518587589263916
76,24,36,10,2,0.154886660670372,64,0.0015094102847048934,0.04814921319484711,0.032128718,7.128416746854782
77,31,46,11,3,0.04551645979919496,256,0.002069480412780579,0.048064377158880234,0.03190475,7.074044644832611
78,27,34,13,2,0.01779172873144803,64,0.0013605068306582712,0.04810035601258278,0.03200129,7.098160684108734
79,30,44,12,3,0.02999430131605294,256,0.0011341627531368497,0.04806142672896385,0.03193524,7.084310799837112
80,25,54,9,3,0.05917062135020073,64,0.002586977355550661,0.047992683947086334,0.031709764,7.00538232922554
81,22,55,9,3,0.06023562854495374,64,0.0025097165786816906,0.04814455285668373,0.032104395,7.134489715099335
82,25,54,10,3,0.0676996782285012,64,0.0027981962856014654,0.06855148822069168,0.053895406,11.227085441350937
83,29,56,8,3,0.05178973806267169,64,0.0034340376844428163,0.04836463928222656,0.03242939,7.212042063474655
84,31,52,9,3,0.07919550930229566,64,0.004042122591748128,0.04799454286694527,0.031645562,6.971211731433868
85,23,52,10,2,0.09500618167164769,256,0.0038374703745762207,0.048060160130262375,0.03178129,7.027725130319595
86,26,51,11,3,0.08392622413157094,64,0.004161524558543055,0.04892957955598831,0.033425257,7.288448512554169
87,28,54,8,1,0.07375657941836516,32,0.004008289126060719,0.07562357187271118,0.05636353,11.848097294569016
88,30,57,9,3,0.039981115721039344,256,0.004542703627771673,0.047992043197155,0.03168421,6.994140148162842
89,30,59,8,2,0.04100281135153598,256,0.004611020630528768,0.04826527461409569,0.032537065,7.1825288236141205
