,input_chunk_length,training_length,hidden_dim,n_rnn_layers,dropout,batch_size,lr,RMSE,MAE,MAPE
0,4,41,30,1,0.13841347256849973,128,0.0014085206110097484,0.026853984221816063,0.018218677,3.2003596425056458
1,31,61,23,2,0.1063285258747267,256,0.0023262570533229276,0.026445874944329262,0.017633598,3.0972253531217575
2,17,18,21,2,0.04856853240253343,32,0.0011823899183689508,0.028035582974553108,0.019363793,3.3599939197301865
3,4,53,11,2,0.06517081304494352,32,0.0031084715616978248,0.035701852291822433,0.026504114,4.6620577573776245
4,20,27,29,1,0.0337208093270831,64,0.0036728190231414054,0.030856722965836525,0.022041114,3.806230053305626
5,4,25,14,2,0.21849330386514534,128,0.0032781574345055547,0.02666257508099079,0.01787131,3.141080215573311
6,28,62,31,1,0.0029032215458051347,32,0.004205337987783947,0.05056104063987732,0.035395756,6.147317588329315
7,11,58,27,3,0.01298364425687184,128,0.004900957220055244,0.02829754166305065,0.019799942,3.4692224115133286
8,4,60,31,1,0.15260000551396452,64,0.003570606315082605,0.03628772497177124,0.026913274,4.649919643998146
9,9,52,22,2,0.16366236449846022,64,0.0025952388379627024,0.02665301412343979,0.017807877,3.1113341450691223
10,31,44,16,3,0.29375617035009205,256,0.002203048473994309,0.026726754382252693,0.018124402,3.1928785145282745
11,24,49,23,2,0.13559614468680137,256,0.0022626146103087164,0.026464706286787987,0.017673967,3.1054461374878883
12,24,45,24,2,0.09889438396421384,256,0.0020789901533742367,0.026577161625027657,0.017696157,3.106776624917984
13,25,53,25,2,0.10061633330517833,256,0.002003566231344629,0.026469098404049873,0.017469794,3.053545579314232
14,31,50,18,2,0.20551603823085693,256,0.00258119352283235,0.026433169841766357,0.017455686,3.056882321834564
15,31,57,18,2,0.21632227585285693,256,0.002742357526454188,0.026455508545041084,0.017530976,3.0744431540369987
16,20,36,19,3,0.2052860030987738,256,0.0017126587492080714,0.02661845088005066,0.017973064,3.163659945130348
17,27,49,8,2,0.18616100450026107,256,0.0025920112320950775,0.026466485112905502,0.017592374,3.085237927734852
18,13,37,14,2,0.2705614906813272,256,0.0016437592017264926,0.026451731100678444,0.01757167,3.084055334329605
19,21,57,17,3,0.24908871001216515,256,0.0029006520665540445,0.026548275724053383,0.017827442,3.1350575387477875
20,28,55,26,2,0.10225406003962906,256,0.004020210045661526,0.0266729649156332,0.017974995,3.163371980190277
21,12,31,14,2,0.26999949608164114,256,0.0017098785654457535,0.02650158666074276,0.01763726,3.0965326353907585
22,15,36,13,2,0.2866769276429783,256,0.0010115632200397157,0.02778903767466545,0.019684568,3.4857794642448425
23,16,36,20,2,0.24509115038976356,256,0.001649614866988722,0.02682293765246868,0.018292656,3.225112333893776
24,31,40,10,2,0.24614358118283403,256,0.0024153423865322363,0.026892097666859627,0.018430136,3.2470833510160446
25,8,10,16,2,0.18440367430217397,256,0.0019220626124424912,0.026442527770996094,0.017497519,3.0671440064907074
26,7,10,16,2,0.18327870707183935,64,0.0019273326834566762,0.027043133974075317,0.018575799,3.276224806904793
27,22,47,20,3,0.11610294982639698,128,0.003251435487755025,0.026467088609933853,0.017630052,3.095577098429203
28,1,8,22,1,0.17098827703746844,32,0.0023867189060741397,0.028903048485517502,0.01988821,3.444467857480049
29,18,41,18,2,0.13604996843795467,128,0.0012888487195736559,0.026444997638463974,0.017564401,3.081110306084156
30,8,15,12,1,0.14407785714165894,128,0.0013662124675735338,0.027457552030682564,0.019001458,3.2926518470048904
31,18,42,18,2,0.12697441823997635,128,0.0013659741575282778,0.02644307166337967,0.017510366,3.0692681670188904
32,18,41,18,2,0.12313419318205748,128,0.0013250110177296548,0.026430778205394745,0.017470118,3.060232661664486
33,14,32,16,2,0.07399367282271405,128,0.00150642365631915,0.02659602276980877,0.01777006,3.1215649098157883
34,18,43,17,2,0.12560031222047127,128,0.0019458777824405283,0.026733750477433205,0.017929554,3.1492579728364944
35,10,22,19,2,0.1965580256371308,128,0.0010165596167369504,0.026645708829164505,0.017905451,3.1492430716753006
36,7,32,15,2,0.07716836867369736,128,0.001290320613177702,0.026340531185269356,0.017374562,3.0357206240296364
37,7,17,15,2,0.07984008007073606,32,0.001184000683107443,0.02644880674779415,0.01743262,3.043074533343315
38,1,4,10,2,0.052552281181038454,128,0.0018405840063185032,0.02661008946597576,0.017615655,3.0874276533722878
39,3,21,12,1,0.16774560181628778,128,0.0014488931632934752,0.02712046541273594,0.018538492,3.2197732478380203
40,6,28,21,2,0.22960950548410036,64,0.002991196205921384,0.026960456743836403,0.01812281,3.149741142988205
41,19,39,18,2,0.08784717055595831,128,0.0012414225566750362,0.02643338218331337,0.017487254,3.0644282698631287
