,in_len,out_len,kernel_size,num_filters,weight_norm,dilation_base,num_layers,dropout,lr,batch_size,RMSE,MAE,MAPE
0,9,5,6,4,False,5,5,0.2889504261856279,0.001010782366336147,64,0.02742740511894226,0.01877231,3.2757509499788284
1,2,1,1,6,True,2,1,0.22927620559081768,0.0038824181906929704,128,0.034088384360075,0.022911835,4.066688567399979
2,9,3,3,8,True,1,1,0.03488761352481492,0.0046814651705876145,128,0.03204232454299927,0.023587596,4.13581095635891
3,22,14,14,5,True,4,3,0.2720546351572375,0.0017517352051743434,32,0.027905721217393875,0.019453222,3.400181606411934
4,11,5,9,4,True,2,4,0.1814575824509271,0.004562665557386052,32,0.027705414220690727,0.019041395,3.334272652864456
5,17,12,6,2,True,4,2,0.10338153610663993,0.004654538879294021,256,0.026572424918413162,0.017650243,3.0867304652929306
6,6,2,1,4,True,4,2,0.039801335892461764,0.0016837599102931824,32,0.028392985463142395,0.019588951,3.3918794244527817
7,15,2,11,3,True,3,3,0.2144395032562064,0.0022159346096131422,32,0.028739843517541885,0.01897372,3.3145014196634293
8,31,30,1,6,True,4,5,0.17088724839548225,0.0010437493387234619,256,0.026752520352602005,0.018116489,3.16956527531147
9,9,6,4,3,False,2,5,0.15753941487941697,0.004859596793818168,128,0.026678208261728287,0.017842395,3.118485026061535
10,22,14,14,2,False,5,2,0.09402972907885071,0.0031807974505748985,256,0.04510251060128212,0.0340624,5.95439150929451
11,18,10,6,2,False,2,4,0.10717445298295832,0.004988096579844625,128,0.026798030361533165,0.018101567,3.1658757477998734
12,15,9,4,2,False,3,2,0.12183358828680568,0.0038739118917083134,256,0.030346950516104698,0.02232884,3.91855351626873
13,20,13,19,3,False,1,4,0.06807131589350848,0.0039758590819087645,64,0.026869814842939377,0.018036334,3.1456686556339264
14,27,20,21,3,False,3,2,0.13935006297054078,0.00300535599731971,128,0.030771683901548386,0.021839533,3.8159608840942383
15,13,7,4,2,False,2,5,0.07663510120830913,0.004319566537977219,256,0.03473670408129692,0.0261604,4.530293866991997
16,4,1,2,3,True,4,3,0.15688322887545597,0.003379730695761587,256,0.028835957869887352,0.020972654,3.6570973694324493
17,8,4,5,5,False,1,4,0.20920301864947458,0.00498071066451059,128,0.02823309600353241,0.020400235,3.564716875553131
18,18,11,8,8,False,5,3,0.0030113442253396905,0.0042075677298498435,64,0.05483638867735863,0.043344025,7.495236396789551
19,25,17,17,6,True,3,1,0.13326814579951718,0.002590220237921878,128,0.030069289728999138,0.02115661,3.717171773314476
20,13,7,8,4,False,3,2,0.24717999675095387,0.004560002513010383,256,0.029229920357465744,0.020791791,3.64762581884861
21,31,30,26,7,True,4,5,0.1725169397944073,0.003501477616792129,256,0.028200311586260796,0.020369167,3.5890359431505203
22,31,30,11,6,True,4,5,0.18745335773806127,0.0011754419779479365,256,0.027349740266799927,0.018965537,3.323058784008026
23,25,22,7,7,True,4,5,0.15242760928891946,0.0025587773106134416,256,0.03838570415973663,0.027458426,4.7399502247571945
24,26,24,3,7,True,5,4,0.11155006862900087,0.0016847279034326599,256,0.02907283790409565,0.020442003,3.566242754459381
25,29,18,10,5,True,3,5,0.16458017213796222,0.004287033610884047,256,0.03371187299489975,0.024330327,4.275970160961151
26,22,8,1,3,True,2,4,0.19875025217131218,0.00267674215202165,128,0.02674962393939495,0.018347956,3.230307251214981
27,21,7,5,3,True,2,4,0.19764753624065023,0.002620857356279263,128,0.02707715518772602,0.018655552,3.2652169466018677
28,18,11,3,2,False,2,3,0.2329741742122215,0.003660464161650694,128,0.026387624442577362,0.017691024,3.1074270606040955
29,17,5,6,2,False,1,3,0.2868584873223835,0.004690152336375803,64,0.027364365756511688,0.018926471,3.329506516456604
