,in_len,out_len,kernel_size,num_filters,weight_norm,dilation_base,num_layers,dropout,lr,batch_size,RMSE,MAE,MAPE
0,16,2,7,5,True,4,5,0.011383787765153674,0.003886936158522095,64,0.0914463922381401,0.06836542,14.268223941326141
1,15,11,13,7,False,2,1,0.03731870513990221,0.002658916767376929,64,0.05439421907067299,0.037604168,8.29370766878128
2,25,6,6,6,True,2,2,0.2638640737160985,0.004165074130298955,32,0.07627350836992264,0.058121637,12.396759539842606
3,23,15,6,5,False,5,3,0.23180899355676504,0.004633740929530267,32,0.05399060621857643,0.036830723,7.875920832157135
4,20,1,1,4,False,5,2,0.0021067770939928285,0.0015505929037806835,32,0.0479603186249733,0.0327289,7.252240180969238
5,17,7,15,2,False,3,1,0.03437772589284459,0.002441168422724251,256,0.05907174572348595,0.0440912,9.441574662923813
6,21,3,11,8,True,3,1,0.21169752150386,0.002860631927390794,128,0.06576086580753326,0.048604716,10.424860566854477
7,16,3,5,8,False,3,5,0.2119763728980322,0.004609480804414635,32,0.07395796477794647,0.059027802,12.29332610964775
8,29,17,25,4,True,5,1,0.21778900352319094,0.004640076819268816,64,0.0502307265996933,0.03477147,7.763959467411041
9,9,6,2,4,True,4,5,0.16150287451156117,0.004985933088461737,32,0.0554191879928112,0.039687984,8.497430384159088
10,3,1,1,2,False,5,3,0.09505072249875525,0.00107025978773404,256,0.05184362083673477,0.037961103,8.529191464185715
11,31,25,25,4,True,5,2,0.11530018249185253,0.0014893996110545884,64,0.04851551726460457,0.03296632,7.286453992128372
12,29,26,28,3,False,4,2,0.08977078321129342,0.0013391332440703483,128,0.06731642782688141,0.053891644,11.915590614080429
13,30,29,21,4,True,1,2,0.10019209571883791,0.0018198241924079982,64,0.05936884507536888,0.04269804,9.085418283939362
14,10,4,3,3,True,5,4,0.13048301010473293,0.001990910016479014,32,0.04963792487978935,0.034242112,7.548311352729797
15,25,19,17,6,False,4,2,0.1629210322768378,0.0034528640437491718,64,0.11458247154951096,0.084613144,17.565831542015076
16,20,12,9,4,False,5,3,0.056694943169777016,0.0018336975670049244,256,0.050659023225307465,0.034258507,7.626939564943314
17,11,8,4,3,True,4,4,0.13197974054982545,0.0013543166133427205,128,0.047963496297597885,0.0319785,7.079694420099258
18,11,8,4,3,False,4,4,0.2797573336190372,0.002280689597965319,128,0.04805506393313408,0.032390084,7.1739718317985535
19,8,1,1,2,True,4,4,0.06562039637048295,0.0032982103226018864,128,0.04811563715338707,0.032119643,7.1241796016693115
20,4,1,1,3,True,2,3,0.00802373416447974,0.0010195039137417166,128,0.048194751143455505,0.033213135,7.219778746366501
21,11,8,4,3,False,4,4,0.2990062885497483,0.002310224602179297,128,0.04806796461343765,0.032385267,7.176034897565842
22,13,8,3,3,False,4,4,0.17550899048148044,0.0021235717876771755,128,0.049096740782260895,0.033582754,7.379867136478424
23,6,2,2,5,False,3,4,0.297873699783191,0.0016834319802156849,128,0.048688724637031555,0.032229323,7.082533836364746
24,18,10,8,2,False,4,3,0.1882737063429541,0.001358856327124511,128,0.05436679348349571,0.036949825,8.138744533061981
25,12,5,4,3,False,5,4,0.25408142042753024,0.002536357225701026,32,0.049301877617836,0.033763293,7.507600635290146
26,14,9,4,4,False,4,5,0.14347590942438784,0.0021602957003168744,128,0.048672039061784744,0.03245078,7.074708491563797
27,19,12,11,6,False,3,3,0.2699270925218099,0.0015905971962695976,128,0.04998642951250076,0.03426878,7.5524672865867615
28,8,5,3,3,True,5,4,0.06796626822690763,0.0012491876163478997,32,0.04876610264182091,0.03291409,7.202044129371643
29,6,2,2,5,True,4,5,0.18862984349614184,0.0030485522919726214,256,0.048980288207530975,0.03333938,7.439158111810684
30,22,13,7,2,False,4,5,0.002035538300400898,0.0019162839721280334,128,0.048046622425317764,0.03184231,7.0321425795555115
31,23,15,8,2,False,4,5,0.00758903882684751,0.0019621772975045456,128,0.04848828539252281,0.032314137,7.166112959384918
32,22,14,6,2,False,4,5,0.03050537486601331,0.0016468735130202856,128,0.057124026119709015,0.043420605,9.156490117311478
33,25,11,10,3,False,3,4,0.02688722076720739,0.002216516114673645,128,0.04926397278904915,0.032944713,7.244119048118591
34,14,8,7,2,False,5,5,0.0493944565944982,0.0012237066350938243,32,0.0504191517829895,0.03494388,7.601405680179596
35,27,19,13,4,False,2,4,0.019115467340795056,0.0026735277940296573,128,0.05768921226263046,0.042749826,9.203488379716873
36,18,10,5,5,False,3,3,0.07838536982829541,0.002404246134890089,128,0.049248941242694855,0.033203002,7.341532409191132
37,16,6,5,3,False,1,2,0.002562689605979431,0.002725376745323165,32,0.06589561700820923,0.047931913,10.362418740987778
38,21,13,6,2,True,5,1,0.23607421309753296,0.001881009426789185,128,0.048482250422239304,0.032516155,7.198282331228256
39,15,7,7,4,False,3,5,0.04502055739386551,0.001498880916834709,256,0.04818584769964218,0.031785026,7.017248868942261
40,12,7,5,3,True,4,3,0.11785380463327046,0.003935566813423124,32,0.057903874665498734,0.041732788,9.010819345712662
41,11,8,4,3,False,4,4,0.27867064612385045,0.002347226117384193,128,0.048059988766908646,0.032404467,7.1792468428611755
42,10,4,4,2,False,4,4,0.2780800222274417,0.002875417142484182,128,0.049092844128608704,0.034157295,7.5370170176029205
43,6,3,2,4,False,3,5,0.24296361434581007,0.0024708327165019533,128,0.04868259280920029,0.033081707,7.342488318681717
44,23,10,3,3,False,5,4,0.2009191110889993,0.0017694312167361094,128,0.049395691603422165,0.03445477,7.674557715654373
45,17,9,6,7,False,4,3,0.2808945384832878,0.002056409159273827,64,0.049641408026218414,0.0343267,7.641170173883438
46,9,6,4,3,False,5,1,0.2569171720351396,0.001479335407212468,128,0.050464529544115067,0.034193035,7.552681863307953
47,15,9,1,4,True,4,4,0.21834762856547113,0.0011316663862113855,32,0.05000527203083038,0.035006847,7.8180573880672455
48,20,11,8,2,False,3,5,0.2844255746229985,0.003052204041923477,64,0.04809381440281868,0.031915072,7.014520466327667
49,2,1,1,4,True,5,3,0.02087001675862453,0.0022911012087574096,256,0.048377733677625656,0.033372287,7.373679429292679
50,13,8,5,3,False,4,2,0.04118740506201318,0.0013892863086646453,128,0.04859238862991333,0.032987043,7.266426831483841
