,in_len,out_len,kernel_size,num_filters,weight_norm,dilation_base,num_layers,dropout,lr,batch_size,RMSE,MAE,MAPE
0,29,5,7,7,False,5,4,0.21086300304694502,0.0038104224735751985,128,0.028458692133426666,0.020327702,3.5767272114753723
1,5,1,3,2,False,3,5,0.24116248390854586,0.002127251475396681,64,0.026448113843798637,0.017736295,3.1142916530370712
2,21,16,2,2,False,5,5,0.2995018325999791,0.0021067053463719445,128,0.026964126154780388,0.017971203,3.153422847390175
3,30,21,11,3,True,2,2,0.21861143879850028,0.004697876093675255,256,0.03483595699071884,0.026337959,4.6325646340847015
4,19,8,2,2,False,2,3,0.2184317639213306,0.004813924518185217,128,0.02696104533970356,0.018264689,3.2088112086057663
5,23,1,15,6,True,3,3,0.1408659604683869,0.004563942599231999,64,0.02750566229224205,0.019009301,3.35414856672287
6,9,6,3,5,False,4,5,0.15044002717500624,0.003551826178458428,128,0.02783278562128544,0.018808303,3.2571200281381607
7,31,17,24,2,True,1,3,0.23794775857949044,0.0025272716460500643,32,0.029041655361652374,0.020024452,3.531073033809662
8,8,5,4,2,False,2,5,0.24604515090656803,0.003108200955783218,32,0.026628920808434486,0.017660683,3.080645017325878
9,12,5,10,7,False,5,3,0.2660963587477405,0.003892599698524959,32,0.027059944346547127,0.018881217,3.3160660415887833
10,2,1,1,4,True,3,1,0.010732035390354555,0.0010639432360378934,64,0.02970719151198864,0.022052163,3.898095339536667
11,2,1,1,4,False,2,5,0.15605221461327534,0.0017494481466781898,32,0.02677309513092041,0.017965147,3.1463786959648132
12,9,3,4,3,False,1,4,0.0898442914490713,0.0028380357324791204,64,0.027565833181142807,0.01854611,3.2086968421936035
13,7,3,4,3,False,4,4,0.2965174708777667,0.003205221339246589,256,0.03459734842181206,0.02757392,4.876154288649559
14,13,8,6,8,False,3,5,0.1888077182240781,0.001590511490738447,32,0.030368125066161156,0.02111847,3.681482747197151
15,5,2,3,4,False,2,4,0.2575585011870462,0.00252348652040267,64,0.026428069919347763,0.017936934,3.1471118330955505
16,5,2,3,5,False,4,4,0.0803075224806562,0.002321370316896545,64,0.030423041433095932,0.022673596,3.912438452243805
17,15,3,6,4,False,1,4,0.2678884961041154,0.001798053519382944,64,0.027808481827378273,0.018846614,3.2736722379922867
18,5,2,3,6,True,2,2,0.16975986649107644,0.001070455892626274,64,0.027407551184296608,0.018416556,3.2054878771305084
19,12,4,5,3,False,3,4,0.09432108054553232,0.002435804129156032,64,0.027180245146155357,0.01852567,3.248511254787445
20,5,2,2,5,False,3,5,0.26857339688915577,0.002694143446713739,64,0.026573793962597847,0.017605918,3.069733828306198
21,5,2,2,5,False,3,5,0.2691020646909333,0.0026454138103570246,64,0.026532895863056183,0.01758194,3.066578507423401
22,2,1,1,6,False,4,5,0.2489604387687743,0.00207292808056648,64,0.02778100222349167,0.019918166,3.523070737719536
23,10,2,3,4,False,3,4,0.19231815386334417,0.0033389711405265505,64,0.026929395273327827,0.018199176,3.189052641391754
24,6,2,2,5,False,2,5,0.2804895795363675,0.001429967421752271,256,0.027002712711691856,0.018691381,3.2925020903348923
25,16,11,9,4,False,3,4,0.24529492702117853,0.0028682921809539603,64,0.02655070647597313,0.017611455,3.0734561383724213
26,4,1,2,3,True,4,5,0.2305963388710219,0.0021025336956289986,64,0.026984918862581253,0.018069694,3.135543316602707
27,10,4,5,5,False,2,4,0.11733574659223149,0.0022956364837186253,64,0.03391075134277344,0.021618765,3.7787050008773804
28,24,8,14,6,False,1,5,0.19720976531727613,0.002571294554646405,64,0.028722599148750305,0.019815465,3.449254482984543
29,28,12,8,7,False,3,4,0.035871385021413765,0.003957100994021876,256,0.05021749064326286,0.038705155,6.644893437623978
30,14,4,7,8,False,2,2,0.2893664887815549,0.003492455233223668,128,0.027321534231305122,0.018315176,3.173219785094261
31,17,11,10,4,False,3,4,0.25264900077436503,0.0030327254444737785,64,0.02740989252924919,0.018428868,3.196236491203308
32,7,2,3,4,False,4,4,0.21450073354602867,0.0028514531879862085,64,0.026387792080640793,0.01768454,3.096938133239746
33,4,2,2,3,False,4,5,0.20932446164151258,0.001994617646176811,64,0.02652454935014248,0.017729143,3.104720264673233
34,4,2,2,2,False,5,3,0.2154820597705164,0.0019561102496593228,64,0.026551514863967896,0.017756037,3.1166300177574158
35,7,1,3,3,False,5,5,0.1710940393816832,0.002238422700203933,128,0.028362277895212173,0.020428428,3.59690859913826
36,7,3,3,2,True,4,3,0.22438678568762874,0.0013554326270495908,64,0.027998579666018486,0.02016115,3.5600226372480392
37,11,3,4,3,False,4,4,0.21282902263799325,0.0017932450803772007,256,0.03888903185725212,0.031499248,5.555767193436623
38,3,1,1,2,True,5,3,0.20320369165271396,0.0028244478136352745,128,0.027319252490997314,0.018487645,3.213488683104515
39,8,2,3,3,False,4,5,0.2325000055250055,0.0036798515969130715,64,0.026791712269186974,0.018066028,3.1449247151613235
40,20,6,13,2,False,4,2,0.1858430969554919,0.0041677431231114115,64,0.02765686996281147,0.019612322,3.468552976846695
41,4,2,2,4,False,3,5,0.26080410428390727,0.0025731097946954918,64,0.026672374457120895,0.018025987,3.150133788585663
42,6,2,2,5,False,3,5,0.2706629808780556,0.002436050476040264,64,0.026519645005464554,0.017672926,3.086995519697666
43,8,1,3,4,False,4,5,0.28417587410709266,0.0019485964737905022,64,0.02647481858730316,0.017590018,3.076998144388199
44,9,1,4,5,False,2,5,0.28471705100956607,0.002381335337170873,64,0.026786837726831436,0.018352065,3.222547471523285
45,7,1,3,4,False,5,5,0.29939557143596535,0.002894810364246802,32,0.02710007131099701,0.01824207,3.1712062656879425
