,in_len,out_len,hidden_size,lstm_layers,num_attention_heads,dropout,hidden_continuous_size,batch_size,full_attention,lr,RMSE,MAE,MAPE
0,6,16,12,1,7,0.03743460420135488,9,32,True,0.002447612897668208,0.03276437520980835,0.023359137,4.087328910827637
1,30,4,26,3,4,0.2862541820182172,8,256,True,0.002896659884711755,0.02683720923960209,0.018071746,3.143557533621788
2,15,26,21,2,3,0.21312248912206277,7,256,True,0.001561124106998068,0.027160940691828728,0.018720174,3.2942838966846466
3,26,4,18,3,2,0.15827529968963705,6,32,True,0.002714434854577914,0.02744913101196289,0.018642142,3.285754472017288
4,20,19,14,2,4,0.06207299105309263,7,256,True,0.002179092935443437,0.02645762637257576,0.01764952,3.0903274193406105
5,21,19,16,3,6,0.2814461885813702,7,256,False,0.0034242642535570428,0.027033040300011635,0.01838578,3.241759166121483
6,16,6,26,3,6,0.24712131852648722,10,128,False,0.002134731113603054,0.027070654556155205,0.018295255,3.1872455030679703
7,10,18,19,1,6,0.0967097482467726,8,128,True,0.0032391861948033247,0.026899447664618492,0.018171947,3.1977850943803787
8,19,29,14,2,7,0.06879915246382737,6,256,True,0.0046028427516745084,0.02656739018857479,0.017574996,3.078419528901577
9,5,15,18,1,7,0.23170747149152968,9,64,True,0.0026642117304704906,0.02815568819642067,0.01883712,3.2812248915433884
10,25,11,8,2,4,0.017671419794731795,7,64,False,0.0011729629608852158,0.0315912663936615,0.019353142,3.37371826171875
11,20,31,12,2,8,0.09460091563344797,6,256,True,0.004778611087463772,0.026554984971880913,0.01752072,3.066657669842243
12,13,24,10,2,8,0.12522922162909234,6,256,True,0.004951748311752904,0.026890331879258156,0.018420646,3.2335128635168076
13,21,31,31,2,4,0.14681431873779152,7,256,True,0.004142350754667542,0.02709539607167244,0.018178152,3.1593021005392075
14,26,23,13,2,5,0.06573994221922887,6,256,False,0.003863394706580035,0.026516428217291832,0.01805955,3.172329068183899
15,31,22,22,2,5,0.04639013401532832,7,256,False,0.003844847928023847,0.02759586274623871,0.018777875,3.2610278576612473
16,26,10,15,2,5,0.18561856572007807,6,64,False,0.0017651193366851371,0.026843490079045296,0.01813869,3.177366405725479
17,24,21,11,2,3,0.013942395557309452,8,128,False,0.003703822020565272,0.027542725205421448,0.018813584,3.2782718539237976
18,11,26,8,2,3,0.08033125596232352,7,32,False,0.002121874013380148,0.027401093393564224,0.018242095,3.172963112592697
19,18,13,15,1,2,0.11733162323882122,9,256,False,0.0043488665871438984,0.02681160904467106,0.01818178,3.1962335109710693
20,28,21,24,2,5,0.05598258875486304,8,256,False,0.0010173994338257848,0.0266095120459795,0.017787755,3.1170692294836044
21,22,29,13,2,8,0.1044390801700419,6,256,True,0.004892111856154547,0.027114640921354294,0.018536592,3.276776894927025
22,18,25,10,2,4,0.08287427579536147,6,256,True,0.004165686218578556,0.0265109334141016,0.017465204,3.0627314001321793
23,17,25,10,2,4,0.03806413256814459,6,256,True,0.003984005087230543,0.026731479912996292,0.01789007,3.1519263982772827
24,1,22,17,2,4,0.0033056124347161167,7,256,True,0.003421267667087196,0.028030872344970703,0.018926887,3.2765883952379227
25,23,18,9,2,5,0.07428607695861608,6,256,True,0.0042121523941311325,0.02784085087478161,0.019398453,3.4276600927114487
26,28,24,13,2,3,0.16417731658398205,7,32,False,0.004473961864229739,0.0260156337171793,0.017547188,3.059738874435425
27,14,28,11,2,3,0.1563717121546933,7,32,True,0.0044956528937013214,0.028022564947605133,0.019833282,3.4747838973999023
28,28,27,14,3,2,0.1884534740586219,8,32,False,0.003123480842762664,0.0271469559520483,0.017725237,3.093053586781025
29,8,15,12,1,3,0.13237348825430117,10,32,True,0.0021381937770072385,0.027324862778186798,0.018717997,3.2712221145629883
30,12,20,16,1,4,0.17455892011265187,7,32,True,0.0024360242186148174,0.0326351523399353,0.023032678,3.972567990422249
31,28,24,13,2,5,0.029103513673422593,6,32,False,0.0037404647251877005,0.03242793306708336,0.0229368,3.9612337946891785
32,30,23,11,2,4,0.05902511862525579,6,128,False,0.004487492589149912,0.028345728293061256,0.019343074,3.3697113394737244
33,23,17,13,2,3,0.10865487433719614,8,256,False,0.0035231145851654464,0.026861092075705528,0.018274084,3.215552493929863
34,27,25,9,2,5,0.08243877615844918,7,64,False,0.0040755713227032895,0.026826009154319763,0.018471913,3.253290057182312
35,19,20,20,3,4,0.13827094122947892,6,256,False,0.004646089778703521,0.02702588029205799,0.01863725,3.2887380570173264
36,15,23,16,2,6,0.2073106791950525,7,32,True,0.0029075931767316987,0.028208138421177864,0.019751659,3.416232392191887
37,25,1,12,3,2,0.16598790850768236,6,256,False,0.004347345807491733,0.0268537774682045,0.018214418,3.1675588339567184
38,30,27,29,2,6,0.05676636470219028,8,128,True,0.0015823616909078182,0.026489242911338806,0.01766154,3.103707544505596
39,30,27,31,2,6,0.09196532502866472,8,128,True,0.0015368954404855243,0.026517871767282486,0.017512655,3.0740439891815186
40,31,29,28,3,7,0.2654987561384119,9,128,True,0.0015572212521477074,0.02630702033638954,0.01749422,3.0652862042188644
41,31,29,29,3,7,0.28976333249062725,9,128,True,0.0014519395777901698,0.027741754427552223,0.019036029,3.351634368300438
42,29,30,28,3,7,0.26470450134326656,9,128,True,0.0019937666449721747,0.02661246992647648,0.017829057,3.129282221198082
43,31,27,26,3,6,0.047459232751927,10,128,True,0.0018771990952381747,0.02902708575129509,0.019959768,3.4566547721624374
44,29,25,29,3,6,0.25528273355075864,9,128,True,0.001286006838783304,0.0271647647023201,0.018171217,3.196205198764801
45,21,28,32,1,7,0.22275383321128228,8,128,True,0.002444118643641872,0.02826942317187786,0.020010486,3.542783111333847
46,17,31,24,3,7,0.2979963523164998,9,128,True,0.0026742314799953876,0.026455972343683243,0.017579023,3.073837049305439
47,16,31,23,3,7,0.2739601630981674,9,128,True,0.0025983540037821423,0.02649769000709057,0.017755017,3.1181346625089645
48,27,30,27,3,7,0.29967606352385817,10,128,True,0.0016687979746376107,0.028466422110795975,0.020620158,3.6538351327180862
49,24,28,24,3,8,0.23801350462973678,9,128,True,0.0013838043807224332,0.02666931413114071,0.017953176,3.1442642211914062
50,20,30,29,3,6,0.21167376774627805,8,128,True,0.0016893361187510071,0.02647489123046398,0.01755127,3.0683284625411034
51,20,30,30,3,6,0.20589449021772194,8,128,True,0.0016655266965321953,0.02689523994922638,0.018103074,3.1809773296117783
52,17,31,25,3,8,0.247015156741837,8,128,True,0.002359424288061159,0.026492992416024208,0.017613793,3.0839527025818825
53,20,26,27,3,7,0.2785180550337406,9,128,True,0.0021680681436339984,0.026920240372419357,0.018089583,3.1580645591020584
54,25,29,28,3,6,0.19668082965443498,8,64,True,0.002767611353816159,0.02663547731935978,0.017767683,3.116159699857235
55,29,27,22,3,6,0.22955497281442117,8,128,True,0.0018782765143087877,0.027574077248573303,0.019452317,3.44059020280838
56,22,30,30,3,7,0.2631362417904433,7,128,True,0.0022781108868785214,0.02688339725136757,0.018195625,3.197997435927391
57,27,7,20,1,6,0.24763123753104,9,128,True,0.0010555519976878799,0.026990868151187897,0.018099615,3.167995810508728
58,14,29,25,3,8,0.29557135901023374,7,64,True,0.0012929698532200993,0.02671847492456436,0.017790642,3.0975917354226112
59,18,26,27,2,5,0.17455234580164009,8,32,True,0.0019605660117169984,0.0340886116027832,0.021913126,3.8371331989765167
60,31,13,18,2,3,0.274869684832131,10,128,True,0.0017505809088682683,0.02738308347761631,0.018221393,3.1825877726078033
61,17,31,26,3,8,0.24096202497086264,8,128,True,0.0023424658596962657,0.026541246101260185,0.01751324,3.0617203563451767
62,16,31,25,3,8,0.21643595586220077,8,128,True,0.00264974938050208,0.02703183889389038,0.018315788,3.1898830085992813
63,17,28,29,3,8,0.2892786567922221,8,128,True,0.002787771038967716,0.02655847929418087,0.017840594,3.1365662813186646
64,19,31,28,3,7,0.2685728504442141,7,128,True,0.003054597607624019,0.02674774080514908,0.018127244,3.1909599900245667
65,13,28,32,3,8,0.2614126398648051,8,128,True,0.002029104232257671,0.028766609728336334,0.020499157,3.630664199590683
66,10,24,25,2,7,0.2559321367200825,8,32,True,0.0022668185569270265,0.030371520668268204,0.018994266,3.3284444361925125
67,22,29,23,2,7,0.25014084765552724,9,128,True,0.003252532678195604,0.026891108602285385,0.017981002,3.1497161835432053
68,14,26,30,3,5,0.28417144885145784,9,32,False,0.0015202950847710299,0.027493342757225037,0.018963493,3.350241854786873
69,4,19,31,1,3,0.15056564517875703,7,128,True,0.0025382769294473744,0.02687782235443592,0.017914949,3.139859065413475
70,19,30,21,2,2,0.23219505179567268,9,64,True,0.0017917277434952449,0.029079832136631012,0.020824151,3.6881431937217712
71,16,31,23,3,7,0.2684856295831585,9,128,True,0.0025525809456350495,0.026483487337827682,0.017728517,3.1127160415053368
72,15,31,24,3,7,0.2713083135349631,9,128,True,0.002901333563838359,0.026471108198165894,0.017651074,3.098814934492111
73,12,29,19,3,7,0.28652831984345883,9,128,True,0.0029124224664413617,0.027177073061466217,0.018558756,3.2692749053239822
74,15,27,22,3,6,0.02763458916269684,9,128,True,0.0032337231003557623,0.026819679886102676,0.018021287,3.164205327630043
75,30,30,24,3,7,0.2752227282990115,10,128,False,0.0028058738934189625,0.02673996053636074,0.018236082,3.1852316111326218
76,15,15,21,2,7,0.12405388526344391,9,32,True,0.002515897362066515,0.035881079733371735,0.025314461,4.368625208735466
77,10,22,15,3,4,0.06981216291766021,9,256,True,0.0030288212478936207,0.026691801846027374,0.01803955,3.1686734408140182
78,21,28,23,2,6,0.2960090653690964,9,128,False,0.0016374569383833222,0.028416868299245834,0.020122338,3.562944382429123
79,26,31,14,3,7,0.1965712129613565,10,128,True,0.0012161040112462099,0.026495778933167458,0.017842313,3.138694167137146
80,18,24,26,2,5,0.05762708065066892,7,128,True,0.0035245238878764845,0.02734142541885376,0.01898549,3.3523395657539368
81,17,31,24,3,8,0.23975160716037658,8,128,True,0.0023395593489839417,0.026753783226013184,0.017842501,3.0997859314084053
82,16,30,25,3,8,0.2700388338277133,8,128,True,0.0026698419610059333,0.02659497782588005,0.017748203,3.1173907220363617
83,13,29,27,3,7,0.25809356452892646,9,128,True,0.002095777573650454,0.0272976141422987,0.018233802,3.1906943768262863
