,in_len,out_len,hidden_size,lstm_layers,num_attention_heads,dropout,hidden_continuous_size,batch_size,full_attention,lr,RMSE,MAE,MAPE
0,31,2,15,2,3,0.16128439462290214,8,128,True,0.003512399722200845,0.026645079255104065,0.017948577,3.152783587574959
1,4,31,24,1,5,0.06743330109512098,7,256,True,0.002777237078255987,0.02692791260778904,0.01797164,3.1221937388181686
2,4,3,23,1,7,0.051356407139365734,6,128,True,0.004283775300717795,0.02680925466120243,0.018041493,3.134628012776375
3,21,30,26,1,8,0.018017971864247972,6,128,True,0.003066561355603385,0.029698319733142853,0.022024501,3.904853016138077
4,28,19,32,3,6,0.10844785302083688,7,32,True,0.0026989786943762114,0.03574168309569359,0.02417976,4.239654168486595
5,29,13,24,2,4,0.25742405359701714,6,128,False,0.004385634428558979,0.02666454389691353,0.01788454,3.132353723049164
6,18,18,8,2,8,0.05193875674153257,10,64,True,0.0022349957317693197,0.027816057205200195,0.019334476,3.4137435257434845
7,9,23,31,3,4,0.13533184013222996,6,32,False,0.0039912251220844495,0.04657677933573723,0.03384034,5.906951427459717
8,27,9,8,2,6,0.03715651842375593,9,32,True,0.004446488740457381,0.028250688686966896,0.019274795,3.338777646422386
9,22,28,9,2,6,0.29883795878125846,8,256,True,0.004871064606011979,0.03005615435540676,0.021329401,3.6737803369760513
10,12,4,16,2,2,0.21576151385904238,9,64,False,0.0016856432084886334,0.030928602442145348,0.021156793,3.661084547638893
11,31,11,16,2,3,0.21573561100765187,8,128,False,0.0035297932896506223,0.028830066323280334,0.020429544,3.617357835173607
12,25,10,17,2,3,0.1996132202991019,7,128,False,0.00363766632526476,0.02674235589802265,0.017808389,3.113139234483242
13,31,1,20,2,4,0.2897208804709219,10,128,False,0.004690607652218484,0.02892574854195118,0.021154279,3.7489186972379684
14,24,13,28,2,2,0.2526895926008919,9,128,False,0.003633936153818187,0.026759082451462746,0.018221218,3.210272267460823
15,15,7,13,3,4,0.16008938601117106,7,128,False,0.004015627603225017,0.026856139302253723,0.01801418,3.153933957219124
16,31,14,19,2,3,0.1738810172181943,8,128,False,0.0032249525862351157,0.026751689612865448,0.017935153,3.1404882669448853
17,19,23,12,2,5,0.24751468924295444,6,64,True,0.0021459829880899495,0.028049303218722343,0.019078907,3.360355645418167
18,27,6,22,3,3,0.11249740587998154,8,256,False,0.0011489318645180498,0.02701742574572563,0.018157054,3.1686950474977493
19,15,16,28,1,4,0.2514942643823148,7,128,True,0.004077044023394003,0.02683880925178528,0.017747423,3.102533146739006
20,28,7,12,2,2,0.09163088149151515,9,128,True,0.004994254924780825,0.02713451161980629,0.018093467,3.177037090063095
21,24,11,18,2,3,0.1943358387870007,7,128,False,0.003619605897753348,0.026575282216072083,0.017870924,3.139084205031395
22,24,12,18,2,3,0.1881559395211921,7,128,False,0.0035416554598138982,0.02756565250456333,0.01951993,3.4505080431699753
23,29,1,21,2,4,0.14681880480452394,6,128,False,0.004439542299015949,0.027079520747065544,0.018235577,3.1627293676137924
24,25,16,25,2,2,0.24150435852140886,7,128,False,0.0038935090157998413,0.027245450764894485,0.01837351,3.227047249674797
25,22,9,14,2,5,0.27478042935771385,8,128,False,0.0033224904486865757,0.027006516233086586,0.01862859,3.2863982021808624
26,29,21,15,2,3,0.2160879596409597,6,256,False,0.002671058237720549,0.02661770023405552,0.017634012,3.088395856320858
27,1,21,15,2,3,0.2206792207695295,8,256,False,0.0025416141271645907,0.02631436660885811,0.017719906,3.1093791127204895
28,1,22,11,1,2,0.2295660678272247,7,256,False,0.002283517944740599,0.027576230466365814,0.018679311,3.235895186662674
29,10,26,15,3,3,0.1857231695974063,8,256,False,0.002611679992369652,0.02664989046752453,0.017768161,3.1247099861502647
30,18,20,18,2,2,0.2079261752987679,6,256,False,0.0018179983562912451,0.027862949296832085,0.019878102,3.515831008553505
31,5,26,14,2,3,0.17317000899103657,8,256,False,0.0028919662672103525,0.02782834880053997,0.019283053,3.4169532358646393
32,6,21,16,2,3,0.13906040048049953,9,256,True,0.002541903366668449,0.026800554245710373,0.018248279,3.2170165330171585
33,1,18,11,1,5,0.2312558944846408,8,256,True,0.0030282021806215683,0.02652166411280632,0.017723007,3.1018614768981934
34,1,25,10,1,7,0.22767301732924583,7,256,False,0.003017607055158534,0.02676118165254593,0.018228248,3.2112035900354385
35,3,19,14,1,5,0.2727474215727448,8,256,True,0.0031651579270473625,0.026284784078598022,0.017639661,3.0936866998672485
36,3,15,11,1,5,0.27223272848194124,8,256,True,0.0031531951488341214,0.026584478095173836,0.017747125,3.1040167436003685
37,7,17,13,1,7,0.27322671206200067,9,256,True,0.003336627060043069,0.026898877695202827,0.018336711,3.220420703291893
38,4,18,20,1,6,0.19340573369301034,8,32,True,0.0024210664384069396,0.028700564056634903,0.019615889,3.3764030784368515
39,2,20,18,1,5,0.26739427993355025,7,256,True,0.0028415082508600137,0.02660706453025341,0.017531078,3.0551353469491005
40,8,18,10,1,5,0.2361359026959089,8,64,True,0.0019460919916331368,0.0272351261228323,0.018793827,3.3111292868852615
41,3,15,11,1,5,0.2825917180692582,8,256,True,0.003039704855256382,0.02659674733877182,0.01775724,3.1057611107826233
42,5,14,13,1,6,0.2624969635771049,8,256,True,0.003177127689723809,0.02729671820998192,0.018634433,3.242778033018112
