,in_len,out_len,hidden_size,lstm_layers,num_attention_heads,dropout,hidden_continuous_size,batch_size,full_attention,lr,RMSE,MAE,MAPE
0,17,23,24,3,6,0.16386209261681936,8,128,False,0.004320523236082184,0.02776060625910759,0.018976923,3.2775405794382095
1,11,29,11,3,4,0.14959203874034835,6,128,True,0.002744298638680892,0.02703910320997238,0.018870393,3.3175449818372726
2,5,23,22,2,4,0.2778108704798775,7,128,True,0.0022405012462900914,0.026979608461260796,0.017997826,3.127860650420189
3,24,9,31,2,4,0.11595638638862225,6,128,False,0.0042631947360575705,0.02883019484579563,0.019994365,3.4528739750385284
4,28,30,29,3,8,0.1727715027216515,10,32,True,0.003926504227928718,0.03462281823158264,0.023266992,4.035991057753563
5,5,7,27,2,2,0.20306755373902852,9,64,False,0.0032245825766755885,0.02738567814230919,0.018149238,3.1635571271181107
6,4,15,25,3,3,0.09226951856372352,10,32,True,0.0017919204286265568,0.032153405249118805,0.022187423,3.9064977318048477
7,26,15,13,3,4,0.28061157660500824,8,128,True,0.003283180787147854,0.026745712384581566,0.017847808,3.119535744190216
8,10,20,27,1,2,0.04536828080068119,6,64,True,0.0037410671393457765,0.03695928305387497,0.025316529,4.36435304582119
9,5,25,31,1,3,0.19977531862154785,8,64,True,0.0035918915248778715,0.027757802978157997,0.018643223,3.269963338971138
10,31,1,15,3,6,0.29663172634919255,9,256,False,0.0011711491664278934,0.026787810027599335,0.018045396,3.170623257756233
11,31,1,16,3,6,0.28515982268231593,9,256,False,0.001147425816128543,0.028590716421604156,0.020621115,3.66043858230114
12,25,14,15,3,6,0.2464345565425835,9,256,False,0.004935218435016391,0.02714182622730732,0.01873205,3.306538239121437
13,20,3,9,3,8,0.23890480060930408,7,256,False,0.0026365940707612683,0.02675706148147583,0.017848145,3.135513886809349
14,20,9,8,3,8,0.24905114000329914,7,256,True,0.002720208503526373,0.02835043892264366,0.02059773,3.651801496744156
15,21,4,8,1,7,0.23729862788187672,7,128,False,0.002107735734296965,0.041948627680540085,0.029627437,5.113482475280762
16,16,12,18,3,5,0.2103577761501777,7,256,False,0.0032116820306010486,0.026562966406345367,0.017635714,3.0692417174577713
17,13,17,19,3,5,0.002927939939409374,8,32,True,0.0032340897950145398,0.030857061967253685,0.021546176,3.770172595977783
