,in_len,out_len,hidden_size,lstm_layers,num_attention_heads,dropout,hidden_continuous_size,batch_size,full_attention,lr,RMSE,MAE,MAPE
0,25,12,11,1,2,0.23542191438504245,9,64,False,0.0017176568680107068,0.06540878862142563,0.05021526,10.432758182287216
1,28,28,14,2,7,0.08756837066356024,10,64,False,0.004174310337879971,0.05002100393176079,0.034394722,7.406115531921387
2,25,3,21,1,7,0.29382481724629195,9,128,True,0.0017880533532679457,0.04821779578924179,0.031898834,7.0474401116371155
3,18,1,17,2,6,0.1657942770443113,9,128,True,0.0032079673449863584,0.057865697890520096,0.041579105,8.641038835048676
4,16,12,28,3,2,0.23179926343126248,10,32,False,0.003946355497431034,0.05333756282925606,0.037558798,8.073315769433975
5,9,13,24,2,7,0.2850720616422085,10,32,False,0.004893481190687677,0.05284760147333145,0.036621027,7.7615246176719666
6,29,13,16,3,7,0.2610036525200312,10,64,False,0.00423407422757867,0.04985533654689789,0.034357976,7.5100526213645935
7,13,6,20,3,5,0.020897645812557507,9,128,False,0.003915004793156149,0.053380999714136124,0.03795393,8.053920418024063
8,7,7,16,2,8,0.08713389502888695,10,64,True,0.0038953925870814704,0.056817878037691116,0.03899211,8.262740820646286
9,18,20,32,3,8,0.010050717591941826,10,64,False,0.0038062048582660777,0.07527685910463333,0.05520187,11.800789088010788
10,1,21,8,1,4,0.17719728970040827,6,256,True,0.0014506366195328828,0.0483422726392746,0.03232201,7.1523405611515045
11,1,21,9,1,4,0.17796259574841414,6,256,True,0.0011839754326361386,0.04891073703765869,0.032533027,7.057221233844757
12,23,27,23,1,4,0.20142458736369828,6,256,True,0.002314549103444469,0.04899223521351814,0.032725867,7.150963693857193
13,1,21,21,1,4,0.12117845273507766,7,256,True,0.0021328205767123117,0.048944566398859024,0.03254197,7.0519790053367615
14,22,1,27,1,5,0.29728241655487453,8,128,True,0.0010524135581157907,0.04835174232721329,0.032065578,7.053548842668533
15,31,31,12,1,3,0.12977934362600724,7,256,True,0.0025562878266100746,0.047918230295181274,0.031861562,7.054603844881058
16,31,30,13,1,3,0.13456075946851745,8,128,True,0.002720871844835274,0.05064666271209717,0.03502148,7.503555715084076
17,26,25,20,1,6,0.08755867497160386,7,128,True,0.003126819035672494,0.0508754663169384,0.03608812,7.985682785511017
18,31,7,18,1,3,0.042831081044074265,7,256,True,0.0020012900195733657,0.04847906157374382,0.032046597,7.002118229866028
19,22,17,12,1,6,0.22032534553451527,8,32,True,0.0027103304752155635,0.05152018740773201,0.035958383,7.766722142696381
20,27,24,26,1,3,0.1278212608631969,7,128,True,0.0025016431970385665,0.048181891441345215,0.032018106,7.016538828611374
21,27,31,27,1,3,0.12012931007282913,7,128,True,0.0025385568989874947,0.04850140959024429,0.032883942,7.337477058172226
22,24,24,24,1,2,0.14154183372998808,7,128,True,0.0017950150948324688,0.048600729554891586,0.032682266,7.142011076211929
23,29,24,30,1,3,0.10697679869181151,9,128,True,0.0034346801740069606,0.04879507049918175,0.032482367,7.047414034605026
24,19,18,22,1,5,0.04767318700518218,8,256,True,0.002379553907061264,0.04898392781615257,0.033693954,7.419028133153915
25,31,28,24,1,3,0.15054676928183044,8,128,True,0.0029020816284998636,0.0493437685072422,0.03420677,7.626448571681976
