,in_len,out_len,hidden_size,lstm_layers,num_attention_heads,dropout,hidden_continuous_size,batch_size,full_attention,lr,RMSE,MAE,MAPE
0,14,4,8,2,5,0.23125011234380954,9,64,False,0.0025182550189390687,0.026557128876447678,0.017759074,3.121209144592285
1,5,17,8,2,7,0.2015769905869079,6,256,True,0.001954487049668886,0.026473166421055794,0.017423414,3.0384982004761696
2,6,7,15,3,7,0.08020533762990452,7,32,True,0.0021423301933457145,0.027669774368405342,0.019232823,3.3838436007499695
3,30,28,16,2,2,0.2591621636444493,10,256,False,0.0049699680688656865,0.027258751913905144,0.019006526,3.355531767010689
4,25,29,23,2,6,0.2319350133235849,9,128,True,0.0021554942948019996,0.02944203093647957,0.021789007,3.8609009236097336
5,14,20,25,2,5,0.26649048926628305,10,256,False,0.0015848531954299752,0.02901010774075985,0.02128388,3.766791895031929
6,1,11,19,3,6,0.21965137232459467,10,32,True,0.003262778455720213,0.027478929609060287,0.018988658,3.344794362783432
7,15,15,13,2,7,0.2211127722313952,10,256,False,0.004936835979043026,0.027298258617520332,0.018272528,3.1906764954328537
8,1,12,28,3,8,0.11544118377973671,7,64,False,0.0018732220683140687,0.0279182530939579,0.018889856,3.2827772200107574
9,3,25,27,3,7,0.24542136919932742,7,64,True,0.0030145659560810475,0.03208635747432709,0.020529142,3.6130763590335846
10,8,21,32,1,3,0.0023016708780894124,6,128,True,0.0011882692098094951,0.027072668075561523,0.018557478,3.2605089247226715
11,21,3,8,2,4,0.171635090709576,8,64,False,0.003729709458494695,0.029273271560668945,0.019634692,3.4027419984340668
12,9,1,8,1,5,0.1635515805232135,8,64,False,0.002501508463772965,0.026794739067554474,0.017841235,3.0993005260825157
13,12,18,11,2,4,0.1890920529208897,6,256,True,0.003770498959481959,0.026899363845586777,0.018407783,3.2399799674749374
14,19,7,11,2,8,0.29962885557331553,9,256,True,0.0026679481796970405,0.02947898581624031,0.021103898,3.6269325762987137
15,11,14,19,2,6,0.09978760383170653,9,64,False,0.0010706995105716987,0.02963445521891117,0.020946803,3.699267655611038
16,18,23,11,1,4,0.19804940957717085,8,128,True,0.001572708260789689,0.026634810492396355,0.017674472,3.100181557238102
17,5,8,8,2,5,0.13143378898864144,6,32,False,0.0026501638359400243,0.0302120428532362,0.020656131,3.5704515874385834
18,23,4,16,2,2,0.2908727390086372,9,256,True,0.0034588844858338018,0.030646955594420433,0.022328014,3.8320213556289673
19,27,17,13,1,6,0.056071448205611676,7,64,False,0.004263975737652224,0.027067430317401886,0.017926438,3.1202981248497963
20,12,10,21,2,3,0.14552245604011074,8,64,False,0.0023512868976911182,0.027426837012171745,0.018476538,3.2079849392175674
21,18,24,11,1,4,0.19410075434090518,9,128,True,0.0016654345717609228,0.027809642255306244,0.019549046,3.4514762461185455
22,17,22,10,1,5,0.19620600830612459,8,128,True,0.0015077666222486831,0.027122287079691887,0.018133633,3.144652023911476
23,20,26,13,1,3,0.20900438486598594,7,128,True,0.0019364694967520615,0.026809120550751686,0.017825825,3.116896376013756
24,15,19,10,1,4,0.1761798948087993,6,128,True,0.002881946577320577,0.026510093361139297,0.017581219,3.076493740081787
25,8,19,9,1,5,0.16631855773314286,6,128,True,0.0029313040203849013,0.027555204927921295,0.018666437,3.2802268862724304
26,15,15,15,2,7,0.24644831522261315,6,256,True,0.003112327895353321,0.026723390445113182,0.018024413,3.167158365249634
27,10,13,13,2,4,0.17838648281760758,6,32,True,0.0026944009723841875,0.032428182661533356,0.019398334,3.4220628440380096
28,5,16,10,3,6,0.14362012743417638,7,64,False,0.002196078139119059,0.027493402361869812,0.01858568,3.217374160885811
29,13,9,14,1,8,0.27553905035897835,6,32,True,0.0019114197635004904,0.027836095541715622,0.01868908,3.2834820449352264
30,7,4,18,3,3,0.23916476661817848,7,128,True,0.0035013673145763667,0.026893092319369316,0.017958516,3.1181396916508675
31,22,23,10,1,4,0.20849243179977978,8,128,True,0.00122142937748989,0.027272086590528488,0.018555865,3.2697349786758423
32,17,20,8,1,4,0.20169407015047913,9,128,True,0.002362528247258642,0.026445036754012108,0.017566564,3.0742472037672997
33,16,27,8,1,5,0.23043579115645862,9,128,True,0.0022783544401578574,0.02703903242945671,0.018230103,3.190157189965248
34,24,30,9,1,2,0.26463753969536136,10,256,True,0.00282541849317173,0.026514755561947823,0.01758086,3.0756615102291107
35,31,20,9,1,2,0.2749581163285886,10,256,True,0.0028447499720828527,0.026541640982031822,0.017576396,3.0705399811267853
36,28,29,12,1,3,0.25577161672048415,10,256,True,0.002402712198638369,0.026771103963255882,0.017869396,3.098975494503975
37,26,31,16,1,2,0.2148657501705999,10,256,True,0.0020784379760273447,0.026857556775212288,0.018259019,3.2135792076587677
38,24,31,9,1,3,0.12227404664845956,9,256,True,0.003169795080978775,0.026281528174877167,0.017554436,3.0713632702827454
39,24,19,23,1,3,0.08280605091302158,9,128,True,0.003319169135274155,0.027300138026475906,0.018351343,3.1863294541835785
40,21,21,12,1,4,0.12464166979644194,9,256,True,0.0038532378324908625,0.026907021179795265,0.018226102,3.193880245089531
41,29,31,9,1,2,0.15760992891204567,10,256,True,0.00315713084115418,0.02659015543758869,0.017595094,3.07321697473526
42,24,28,9,1,3,0.18163527748817748,10,256,True,0.0028566987455329595,0.026864539831876755,0.018280799,3.221536800265312
43,26,29,8,1,2,0.10480531472367406,9,256,True,0.0025834512546167284,0.02731262519955635,0.018398203,3.2194729894399643
44,3,17,10,3,3,0.14617426637117206,10,256,True,0.002784806516431086,0.026938151568174362,0.017981064,3.137974441051483
45,20,25,12,1,4,0.036653792645259003,9,256,True,0.0024585481536930145,0.027197139337658882,0.018283214,3.191385045647621
46,23,31,30,1,2,0.1260201368307015,6,128,True,0.0042579580194786835,0.02692406065762043,0.017919512,3.1264405697584152
47,14,26,8,1,7,0.2252667098130033,8,256,True,0.0029816523293689236,0.027196982875466347,0.018740512,3.3096954226493835
48,25,13,10,3,3,0.18048310932820194,7,32,True,0.0017376652866880507,0.028938449919223785,0.019861974,3.431146964430809
49,29,29,14,2,4,0.1550552440283459,10,256,True,0.003349799568898566,0.02696109749376774,0.018439908,3.2462969422340393
50,3,21,11,1,4,0.09624736022637409,9,128,True,0.0020201081470121434,0.027385737746953964,0.019144392,3.3676616847515106
51,31,19,9,1,2,0.27228972237308197,10,256,True,0.003146857561227144,0.02684605121612549,0.017890261,3.109196573495865
52,31,20,9,1,2,0.26021156234911175,10,256,True,0.0028326115654610444,0.026598893105983734,0.017608045,3.0710704624652863
53,29,17,8,1,2,0.28153546403886714,10,256,True,0.00350719169856536,0.026615934446454048,0.017798057,3.122866153717041
54,17,23,11,1,3,0.24953637320806568,10,256,True,0.002525648667033628,0.026582734659314156,0.017686047,3.1044302508234978
55,27,18,9,1,2,0.2994073424579286,9,256,True,0.002221443936839534,0.026418033987283707,0.01745904,3.0547888949513435
56,27,15,12,2,3,0.13647488489383053,8,128,True,0.0017477055848200847,0.027301238849759102,0.018288983,3.199850022792816
57,23,18,10,1,5,0.2975610710635725,9,256,False,0.002229143781519353,0.026454105973243713,0.017684504,3.0779046937823296
58,22,18,17,2,6,0.2998528738378946,9,128,False,0.001464306769230662,0.028026549145579338,0.020037003,3.5417333245277405
59,19,11,10,1,5,0.285915364364008,9,256,False,0.002183761748200974,0.02643054537475109,0.017670313,3.0775578692555428
60,20,11,14,1,5,0.288679892812565,9,256,False,0.0022145446892810343,0.027298996224999428,0.018332532,3.177005425095558
61,18,16,10,1,5,0.28701053749912414,9,256,False,0.002051641111369867,0.02635778672993183,0.017610399,3.073974885046482
62,18,6,10,1,5,0.28863836073659577,9,256,False,0.002066366308962674,0.026552371680736542,0.017744657,3.0874663963913918
63,19,14,8,1,6,0.28567720153151854,9,256,False,0.0018505536518081721,0.027629340067505836,0.019485503,3.442252054810524
64,17,16,26,1,5,0.29328967076963625,9,256,False,0.0023127060571482894,0.02658269554376602,0.01794471,3.157120943069458
65,22,12,11,2,5,0.23988639074387202,9,256,False,0.0021614486230364057,0.02694273740053177,0.017848263,3.101808577775955
66,19,18,12,1,5,0.26780024816675135,9,256,False,0.0018330746710783776,0.0265768114477396,0.017698532,3.104456327855587
67,26,14,8,3,6,0.27879328256417146,8,32,False,0.0013668487188749673,0.02709394320845604,0.018101167,3.1609129160642624
68,16,10,21,1,5,0.2559163041139462,9,64,False,0.0019565179748355322,0.02727486938238144,0.018900685,3.327598050236702
69,21,6,10,1,6,0.2991119806472574,8,256,False,0.0016279069944295042,0.028385665267705917,0.020262515,3.5867061465978622
70,14,15,11,2,4,0.11335598307685346,9,256,False,0.0022822375541385414,0.02820255607366562,0.019413497,3.355715051293373
71,10,16,9,1,4,0.20155567474211875,6,128,False,0.002461732562181075,0.026978474110364914,0.018538568,3.265471011400223
72,25,20,10,1,5,0.16855607273979456,9,256,False,0.002621920780555921,0.02655208110809326,0.017835537,3.116772137582302
73,13,22,9,1,8,0.21718742963773646,9,128,False,0.0023523820545230025,0.026647020131349564,0.018047504,3.1680524349212646
74,18,18,13,1,5,0.1878470223330471,6,256,False,0.0021111490083488248,0.02657296694815159,0.01796214,3.158554434776306
75,15,17,10,1,4,0.26717159745542135,9,256,False,0.0027017384559893582,0.02730809524655342,0.018376444,3.1877558678388596
76,23,19,8,1,5,0.28079557635411007,8,64,True,0.002193751028104763,0.027471104636788368,0.018474273,3.238190710544586
77,2,22,11,1,6,0.20129559461637667,9,32,True,0.0036494479221441155,0.02879600040614605,0.020743607,3.591782972216606
78,17,13,9,1,7,0.2942382051699403,9,128,False,0.001784890825759408,0.026955239474773407,0.018045342,3.1564801931381226
79,27,16,13,3,7,0.1739244395735293,6,256,True,0.0019607551967881142,0.02656632661819458,0.017573627,3.072330914437771
80,21,18,12,2,4,0.23491998287374072,9,256,True,0.002995726999028926,0.0263935849070549,0.017436069,3.0416028574109077
81,20,18,10,2,4,0.23193005887660345,9,256,True,0.003190583491559512,0.027354756370186806,0.019259613,3.4019455313682556
82,19,20,8,2,4,0.1888433185485475,9,256,True,0.00304677097726484,0.026587462052702904,0.01762824,3.074490465223789
83,21,15,12,2,4,0.20805119668014008,9,256,True,0.0025434048912927774,0.026345089077949524,0.017437035,3.0410809442400932
84,21,17,12,2,3,0.2113996480686644,9,256,True,0.002512945065109182,0.026553001254796982,0.017646609,3.082237020134926
85,23,14,15,2,4,0.24046361625842086,9,256,True,0.002403992383609402,0.026558127254247665,0.017786713,3.119952231645584
86,22,8,11,2,5,0.22470506819513578,9,256,True,0.0027096215057994663,0.027155335992574692,0.018138502,3.145395591855049
87,21,12,9,2,3,0.24982482154944324,8,256,True,0.002002111768310766,0.026552507653832436,0.017609747,3.0745157971978188
88,25,16,12,2,4,0.27350807033184754,9,256,True,0.00221436107239278,0.026503972709178925,0.01799346,3.164796903729439
89,24,15,9,2,5,0.28579871442473553,9,256,True,0.002552000724729872,0.027456944808363914,0.01836853,3.1901411712169647
90,20,21,14,2,4,0.26135830406488497,9,256,False,0.0023787195917329648,0.027117330580949783,0.01804897,3.1404338777065277
91,25,16,12,2,4,0.2727565486547561,9,256,True,0.0022695404345491293,0.026480497792363167,0.01795388,3.1570319086313248
92,25,17,13,2,4,0.2061469270185664,9,256,True,0.00481210795872556,0.026463454589247704,0.017552981,3.067079931497574
93,23,19,11,2,5,0.2063472796148124,9,256,True,0.004806177224394081,0.026703471317887306,0.01765149,3.0750203877687454
94,28,2,10,2,3,0.19347972601606067,9,256,True,0.002080291823503583,0.026948587968945503,0.017894948,3.1139926984906197
95,19,18,8,2,4,0.2199446977174636,9,256,True,0.004193959919331534,0.026682637631893158,0.017770287,3.1051766127347946
96,18,17,13,2,4,0.15909898450869558,9,256,True,0.004979388544392517,0.026523903012275696,0.017729662,3.112960048019886
97,22,15,11,2,5,0.235245162191446,9,256,True,0.004641266886968273,0.026826972141861916,0.017751565,3.0877405777573586
98,24,24,9,1,3,0.22509998257935712,8,256,True,0.002133829210424648,0.026678143069148064,0.017954916,3.1453266739845276
99,16,20,10,3,5,0.203277046359486,9,64,False,0.004143217644201498,0.027647243812680244,0.019637972,3.4636348485946655
