,in_len,out_len,hidden_size,lstm_layers,num_attention_heads,dropout,hidden_continuous_size,batch_size,full_attention,lr,RMSE,MAE,MAPE
0,10,23,10,3,5,0.05640894512171066,10,128,True,0.004405080253134267,0.027523642405867577,0.01859141,3.2137099653482437
1,27,15,18,3,6,0.11273207501710147,6,256,True,0.0045690311947275235,0.026364358142018318,0.017472968,3.0513200908899307
2,25,14,22,3,6,0.22175846942330144,7,128,True,0.004873970554006226,0.02705502323806286,0.018053934,3.1584713608026505
3,7,1,13,1,5,0.13301918343478591,8,128,True,0.002599433581008623,0.026458805426955223,0.017693017,3.105395846068859
4,21,30,18,2,3,0.29714895704355,6,128,False,0.004327293799937069,0.026511944830417633,0.017544445,3.060522861778736
5,6,8,30,3,5,0.0051863291203522064,9,128,False,0.00282860707118267,0.02706831321120262,0.018406743,3.2238464802503586
6,4,28,11,2,3,0.11694749679756047,9,64,False,0.0016530096980539896,0.026475245133042336,0.017771604,3.0904853716492653
7,31,2,30,3,3,0.28798915766991023,10,128,True,0.0049322167808698225,0.027550077065825462,0.01851752,3.209652006626129
8,13,6,31,2,2,0.22310812315678163,9,256,True,0.002372483525422895,0.026870185509324074,0.017904293,3.119376301765442
9,14,31,19,1,2,0.28155807419162787,9,32,True,0.004847449310107884,0.029001154005527496,0.020891078,3.6295559257268906
10,30,17,24,3,8,0.08017440199486886,6,256,False,0.0035930878036761846,0.02668074704706669,0.017643696,3.0697744339704514
11,19,14,14,1,7,0.17102100659864986,7,256,True,0.0035020095851619835,0.027570649981498718,0.018510602,3.211599215865135
12,1,1,15,1,6,0.16805736684454772,7,64,True,0.0019946571656326148,0.027187347412109375,0.01834016,3.173353523015976
13,25,20,15,1,6,0.11419165830661561,8,32,True,0.0011690413729968042,0.026912366971373558,0.018055001,3.161190077662468
14,9,8,8,1,4,0.1325754806991375,8,256,True,0.003117308328772098,0.026626357808709145,0.017664151,3.0742712318897247
15,18,11,26,3,8,0.06414254465753108,6,256,True,0.003840915659438485,0.027215193957090378,0.018481348,3.234414756298065
16,23,25,17,1,7,0.1965360165408244,7,64,True,0.0027138628906870268,0.02827608771622181,0.01919229,3.329009562730789
17,10,19,12,3,4,0.020240288505178977,8,32,True,0.00227336941373165,0.026960084214806557,0.017944247,3.110634908080101
18,28,4,21,1,5,0.08999231542956582,8,128,False,0.004089740490649075,0.027191326022148132,0.018299602,3.1671538949012756
19,16,11,26,2,7,0.14395301088263623,6,256,True,0.0032282201775435744,0.02660176530480385,0.018035678,3.1445663422346115
