,in_len,out_len,hidden_size,lstm_layers,num_attention_heads,dropout,hidden_continuous_size,batch_size,full_attention,lr,RMSE,MAE,MAPE
0,4,28,28,3,6,0.18503462255461506,9,64,False,0.0031121320182586846,0.02905590459704399,0.01976225,3.4513015300035477
1,22,1,31,2,2,0.08312387850005333,10,64,False,0.004996413886501604,0.03044256754219532,0.022940807,4.068029299378395
2,18,24,24,2,2,0.08244009160524657,6,64,False,0.004020008835555772,0.028112666681408882,0.019426456,3.4179452806711197
3,5,7,29,2,2,0.14028911289785995,8,32,False,0.004625313569357203,0.02964678779244423,0.019777743,3.504292294383049
4,9,23,25,2,5,0.2337782507355196,6,256,False,0.004694201103138886,0.026538262143731117,0.017791336,3.1227407976984978
5,6,28,21,3,3,0.19584862342297563,10,32,False,0.0030559297515596164,0.02623709850013256,0.017731963,3.0806738883256912
6,28,2,18,2,7,0.1673620221548089,7,128,False,0.004116731715808056,0.030497608706355095,0.022986442,4.076129570603371
7,20,18,26,2,6,0.16104832395860244,10,128,True,0.0017765089221242225,0.026607029139995575,0.017963259,3.1511448323726654
8,20,26,31,3,6,0.2603979233305614,8,256,False,0.0044315323996973995,0.026733802631497383,0.018020855,3.1687334179878235
9,1,12,24,2,2,0.19883275018185412,8,256,True,0.0035074833183276178,0.026694774627685547,0.017729985,3.0954595655202866
10,11,30,12,1,4,0.02274230133634919,9,32,True,0.0020482729177761635,0.034916605800390244,0.025851496,4.4820986688137054
11,10,21,19,3,4,0.2988402809811588,6,256,False,0.002726952929344239,0.02661324478685856,0.017921668,3.1429704278707504
12,11,31,15,1,4,0.24097543829858112,7,32,False,0.0011298509681232328,0.030023425817489624,0.020440029,3.539936989545822
13,8,22,22,3,8,0.23082946497088314,9,256,False,0.00253698990899972,0.029643986374139786,0.022258384,3.948831558227539
14,14,15,21,3,5,0.291909579856653,7,32,True,0.003532444326329073,0.03322210535407066,0.022512516,3.8769103586673737
15,1,19,9,1,3,0.12213815194145694,10,256,False,0.003450838527253106,0.026691673323512077,0.017716737,3.0855145305395126
16,8,26,16,3,5,0.2089739226100452,6,32,False,0.0021796490412451935,0.03149266913533211,0.021263395,3.6992739886045456
17,14,13,24,2,3,0.263412414167115,9,128,False,0.00112386315574165,0.028364958241581917,0.020270286,3.584056720137596
18,5,25,26,3,3,0.21809626541177443,7,256,True,0.0038470160682119057,0.026836803182959557,0.017865835,3.112485073506832
19,30,21,16,1,8,0.11505146081299056,10,32,False,0.0030265518203093067,0.0263616144657135,0.01805076,3.1432338058948517
20,30,10,13,1,8,0.10164530707570188,10,32,False,0.0031055602460782015,0.027371766045689583,0.018753871,3.3011361956596375
21,25,22,17,1,7,0.011612388053395178,10,32,False,0.0027488562144480947,0.027271362021565437,0.019178074,3.30662839114666
22,16,18,20,1,7,0.04894625851000854,9,32,False,0.004957793136372365,0.03825294226408005,0.027873527,4.8490166664123535
23,26,28,13,1,5,0.1380152927798879,10,32,False,0.002349541516421103,0.02734045498073101,0.018435271,3.1954195350408554
24,31,23,22,2,4,0.18440235410493008,9,32,False,0.0016598774057901477,0.0378202348947525,0.02541146,4.381795600056648
25,8,20,9,1,6,0.2521560355703764,8,256,False,0.0031867327696098718,0.026883801445364952,0.018220592,3.205817937850952
26,3,28,15,3,3,0.10847732175063418,10,64,True,0.0044025423963832185,0.026648476719856262,0.01782101,3.094988130033016
27,14,16,19,2,5,0.1772229746086603,6,128,False,0.0038264343729883556,0.026746949180960655,0.017703865,3.080672211945057
28,9,24,27,3,8,0.06038464374245771,8,32,False,0.002847926960548256,0.02955789305269718,0.020138465,3.4844864159822464
29,6,28,29,1,7,0.15269229497420464,9,64,False,0.003302723991550239,0.02732454612851143,0.018238774,3.15961129963398
30,3,30,11,3,5,0.19981571569744905,9,256,False,0.0015275678354255804,0.02663447894155979,0.017695494,3.0818985775113106
31,22,18,25,2,6,0.16995596323128553,10,128,True,0.0019229694635427706,0.027259649708867073,0.018271402,3.1968139111995697
32,24,20,22,2,6,0.15431277792860837,10,128,True,0.002489437871112785,0.026906879618763924,0.018174414,3.192989155650139
33,20,17,28,2,7,0.12614184482364713,10,128,True,0.0030165550532523814,0.02741275355219841,0.01887788,3.3217381685972214
34,16,26,32,2,8,0.22008687606779984,10,128,True,0.0015267620825497891,0.02734200470149517,0.018883025,3.329865261912346
35,12,15,23,2,4,0.08307848066798497,10,64,True,0.0018185821580486744,0.0298685971647501,0.022161813,3.9310093969106674
36,27,23,26,2,6,0.19444477081075132,9,128,False,0.00373376368927633,0.028417805209755898,0.019391544,3.3608168363571167
37,29,5,30,2,2,0.15845747718856323,7,32,True,0.004211780235304081,0.030481824651360512,0.021692041,3.8079507648944855
38,18,25,18,2,7,0.27807711732324003,10,64,False,0.004716082498696034,0.02662769891321659,0.01810243,3.181253746151924
39,22,21,25,3,6,0.235876832923777,8,256,False,0.002212862869749456,0.026626234874129295,0.017600106,3.079024888575077
40,18,14,20,2,2,0.10370206568795191,6,32,True,0.0028806940488020297,0.02775241807103157,0.019317452,3.3837903290987015
41,6,21,18,3,4,0.29362703126784695,6,256,False,0.0027361589870806484,0.02850371040403843,0.020365333,3.600778803229332
42,11,19,21,3,3,0.2770929785711269,6,256,False,0.0025820499282387882,0.026561129838228226,0.017696755,3.1057115644216537
43,12,10,27,3,3,0.27477501575566626,6,256,False,0.0024732171991018086,0.027260901406407356,0.01847198,3.1943563371896744
44,7,19,23,3,2,0.24999356152635324,7,256,False,0.001350516654267982,0.026601415127515793,0.017560799,3.0699320137500763
45,7,19,21,3,2,0.24818076969506603,7,256,False,0.0033782213702651517,0.02658374235033989,0.017577205,3.0641766265034676
46,4,17,21,3,2,0.2716225914693541,7,256,False,0.003309886638251668,0.026686858385801315,0.01797254,3.1598538160324097
47,10,23,19,3,3,0.24632228898373032,6,256,False,0.0036258561126480526,0.026985187083482742,0.018381326,3.2344501465559006
48,10,27,21,3,2,0.22290554595390544,7,256,False,0.0025955604140878987,0.026687394827604294,0.017805556,3.1195469200611115
49,12,30,16,3,3,0.2615277260443549,6,256,False,0.004031761328431599,0.02864549495279789,0.020574817,3.6372318863868713
50,7,20,23,3,3,0.23186459778755383,7,256,False,0.003355921201325419,0.026913749054074287,0.018447353,3.243589401245117
51,7,19,23,3,2,0.24902976071575386,7,256,False,0.0010198773916239162,0.026602568104863167,0.017590057,3.0750373378396034
52,5,19,24,3,2,0.20886794443831827,6,256,False,0.0029263435371881057,0.027533547952771187,0.019154528,3.3754441887140274
53,2,22,22,3,2,0.2860819191026229,8,256,False,0.003116813265522789,0.02742915228009224,0.019027961,3.354649990797043
54,9,17,21,1,3,0.2590978904240087,7,256,False,0.004199307967281529,0.0265054851770401,0.017753122,3.1169740483164787
55,9,24,17,1,4,0.26645388787518165,6,32,False,0.004723818203551741,0.029750902205705643,0.019036574,3.3062491565942764
56,11,16,20,1,3,0.2803791779119165,7,256,False,0.0044853366806487166,0.029838744550943375,0.02252065,3.995293751358986
57,13,12,20,1,4,0.23755108730817856,6,32,False,0.004847998065482138,0.03252516686916351,0.02456681,4.185859858989716
58,9,17,15,1,3,0.25531277100921806,8,256,False,0.004316946180341751,0.026748156175017357,0.017811539,3.1176473945379257
59,6,14,17,1,3,0.1393162089198739,7,32,False,0.004574723955905662,0.030730200931429863,0.020022253,3.5012412816286087
60,4,21,21,1,5,0.2099358837589218,6,256,False,0.004183627573971605,0.027291391044855118,0.018658182,3.285236656665802
61,7,19,23,3,2,0.24328536809943835,7,256,False,0.00396153843388276,0.02767183817923069,0.018402075,3.2089408487081528
62,8,18,24,3,2,0.25787971385691405,7,256,False,0.0012592795264817292,0.026673031970858574,0.018196702,3.1898129731416702
63,9,20,25,3,3,0.2271586369301725,7,256,False,0.003550821043668529,0.02653866820037365,0.017726183,3.1078699976205826
64,9,22,19,1,3,0.2276376130570598,8,256,False,0.0035934190671908506,0.026933982968330383,0.018012522,3.1578686088323593
65,10,25,25,3,4,0.18639792019215895,7,32,False,0.003442068784271062,0.032839126884937286,0.023237782,3.995019942522049
66,13,20,22,1,3,0.06882971995019703,6,256,False,0.003155382530934155,0.027146920561790466,0.018562969,3.2618876546621323
67,15,31,27,3,4,0.1216283171506224,8,64,False,0.0026114694704099904,0.0277144405990839,0.018525405,3.2463744282722473
68,5,24,25,3,3,0.2987680288701726,7,32,False,0.0037600846570670417,0.030890224501490593,0.02006475,3.480539098381996
69,6,15,13,1,3,0.0936626729072664,6,256,False,0.004993748894391237,0.026611121371388435,0.017833598,3.1270410865545273
70,11,1,21,3,4,0.21426617584079394,8,256,False,0.0029913157688862277,0.02735862508416176,0.018420128,3.196864575147629
71,8,18,23,3,2,0.24075647575810932,7,256,False,0.003224783252353298,0.028539735823869705,0.019049847,3.3115319907665253
72,7,19,22,3,2,0.2687167588689329,7,256,False,0.003463046190321068,0.02677123062312603,0.018154789,3.1936686486005783
73,8,17,18,3,5,0.20104094596505384,7,256,False,0.003929768175889372,0.027223782613873482,0.018224923,3.161941096186638
74,3,21,26,3,3,0.2544931572515597,7,256,False,0.00368450089893264,0.02712414413690567,0.018171063,3.15374955534935
75,10,22,20,3,2,0.22897404472447153,6,32,False,0.0022950388713509394,0.029033515602350235,0.02020118,3.5640697926282883
76,9,20,24,1,3,0.2238293694135605,7,256,False,0.0030393481050875306,0.026722021400928497,0.017876128,3.129063919186592
77,7,27,19,3,8,0.17038268926325167,10,64,False,0.0020394130413946077,0.028005458414554596,0.01889617,3.300974518060684
78,5,16,24,2,4,0.2828102303169725,9,32,False,0.0028206394646613634,0.027573196217417717,0.01904304,3.2869264483451843
79,11,23,28,3,3,0.24873145210536118,6,256,False,0.004360591100412697,0.02657341957092285,0.017559832,3.060595877468586
80,13,23,29,3,3,0.26312325110074686,6,256,False,0.004314720030161309,0.02678201161324978,0.017857658,3.1033705919981003
81,11,18,28,3,2,0.24568813392901392,6,256,False,0.004560101681569937,0.026755617931485176,0.018143976,3.1932704150676727
82,10,20,31,3,3,0.2536600801064284,6,256,False,0.004090518672512535,0.026461461558938026,0.017581683,3.077475167810917
83,12,25,31,3,3,0.23332892992062113,6,256,False,0.00405607252489102,0.02650699019432068,0.017536301,3.059201128780842
84,12,25,32,3,3,0.23566868010932804,6,256,False,0.004042629242939507,0.026677479967474937,0.017670795,3.0806196853518486
85,15,29,29,2,3,0.2878941072130523,6,256,False,0.004189843346883554,0.027267852798104286,0.018924896,3.3360812813043594
86,10,26,30,3,3,0.21584342443559168,6,256,False,0.0043845606720405075,0.027126435190439224,0.018355744,3.1780168414115906
87,11,24,31,3,3,0.2724654493184301,6,128,False,0.004700337681506268,0.029087044298648834,0.020177105,3.4833237528800964
88,17,27,31,1,4,0.20605156549755543,6,32,False,0.00426549145928035,0.028801923617720604,0.019750237,3.4520063549280167
89,12,23,30,3,3,0.19054566382118485,6,256,True,0.0038668710936956723,0.0264905858784914,0.017687542,3.0837351456284523
90,14,22,30,2,4,0.1826308001747602,6,256,True,0.0038534995916864223,0.027465248480439186,0.01875143,3.272169455885887
91,12,23,32,3,3,0.13018165902723838,6,256,True,0.0041068217869557055,0.026758095249533653,0.017722564,3.0901310965418816
92,13,21,30,3,3,0.19187055501178546,6,256,True,0.004497369028703343,0.027434226125478745,0.018711116,3.2328449189662933
93,15,23,28,3,3,0.23269045608799913,6,256,True,0.004106385833715001,0.026610514149069786,0.017953163,3.1519506126642227
94,9,24,29,3,3,0.11593644891649714,6,256,True,0.003906725496581761,0.027019642293453217,0.018279957,3.2123856246471405
95,11,26,31,3,3,0.2624535478306928,6,256,False,0.004846785672314422,0.02704346738755703,0.01801418,3.1298067420721054
96,21,25,31,1,3,0.21950912275163778,6,32,True,0.0037772261519275806,0.030068809166550636,0.020337332,3.512270748615265
97,12,20,8,3,3,0.24110491066152256,10,64,False,0.0044031756021782045,0.027370529249310493,0.018589385,3.217780962586403
98,9,21,28,3,4,0.1451658550201516,6,256,False,0.003551980329720138,0.02661963924765587,0.017811392,3.133523464202881
99,14,29,32,2,7,0.17489176735012502,6,256,False,0.004044572542802761,0.026541780680418015,0.01760735,3.083350509405136
