in_len,out_len,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,batch_size,dropout,lr,year,sMAPE,sMAPE2,MAPE
30,18,64,2,2,4,512,11,0.0258363142997399,1.4224718009336945e-05,False,12.420876195251871,80.88912487176566,56.441977091674666
16,19,32,4,5,7,512,32,0.0256537187854977,1.709466569695274e-05,False,18.30057129124419,73.93303436801969,52.932461774111516
24,26,128,2,2,5,1024,145,0.2279806412716812,4.989486409633484e-05,True,18.39213911427131,18.74888118345237,19.02976014677445
19,28,128,2,2,5,1024,139,0.2157967210097574,4.994527417079436e-05,True,18.423847718885067,18.941787622642014,19.40605129012038
23,26,128,2,2,5,1024,126,0.2273706708621936,4.197053869660891e-05,True,18.44845967567456,18.767263717477395,18.988177039412754
19,7,64,4,4,4,512,300,0.2475818338852213,1.3766936896259718e-05,False,18.475066814417136,19.976319408955927,21.952491313919985
9,10,64,4,2,2,1024,324,0.1920985827362887,1.080843250955294e-05,True,18.49140632977047,20.220730637649538,22.695020644734797
18,10,64,4,2,2,1024,334,0.1477829554568524,1.125863867390354e-05,True,18.50541778918044,19.728436830955964,22.042483416946094
9,10,64,4,2,2,1024,280,0.187577685464707,1.0809727304002476e-05,True,18.53792890137177,19.623456640827797,21.5790256408688
9,10,64,4,2,2,1024,328,0.1786974202208905,1.045945199641704e-05,True,18.55230980702257,20.70545185197343,23.449622355210305
12,10,64,4,2,2,1024,307,0.1814280183705031,1.0665401744973187e-05,True,18.55718065542716,19.958039175632173,22.376919601267836
7,26,128,2,2,5,1024,148,0.2940110009977351,3.7596210033899206e-05,False,18.56911835157328,20.042102097491714,20.05081929111538
8,10,64,4,2,2,1024,309,0.1579963198525706,1.164103248871176e-05,True,18.579654489284724,19.33249944605987,21.189139304215896
15,19,64,8,5,3,1024,208,0.2100798684989928,3.342602895799367e-05,True,18.618969576435763,18.559226229667765,19.97576823152559
9,10,64,4,2,2,1024,364,0.1674930926186831,1.3239808166472893e-05,True,18.624398639570806,19.687484344943122,21.98288229089889
9,12,64,4,2,2,1024,364,0.1695821063934887,1.3259438320158736e-05,True,18.628354159748568,21.440813363795208,24.635994309261633
11,18,64,2,6,8,256,138,0.2095202385631131,4.558219748821445e-05,False,18.633290297706,19.982741749156734,19.950125329694508
10,10,64,4,2,2,1024,297,0.194356059257984,1.0825878662196276e-05,True,18.639071228190808,19.49246743529187,21.389515802954666
7,19,128,4,2,3,512,181,0.1805745466574351,1.501507663917416e-05,True,18.652560678384937,19.517207938313955,19.079276827628938
13,19,128,2,3,4,256,120,0.1865052521137327,1.2509910197018924e-05,False,18.65639574042215,18.627501641402013,18.61727803093777
7,26,128,2,2,5,1024,145,0.289416042222746,3.657206178354652e-05,False,18.659180542738795,19.872860558256946,19.633554766865714
18,25,128,2,2,5,1024,145,0.2445680704989072,4.90946068340436e-05,True,18.659835960487065,18.730353109940882,19.009983312746918
11,19,64,4,5,3,1024,174,0.2367085567694632,3.793781103734916e-05,False,18.661879765345542,18.5854620432705,19.87598452124584
9,10,64,4,2,2,1024,326,0.173517861869246,1.1019444736510476e-05,True,18.66381899433099,20.009298945944558,22.41334209352682
7,26,128,2,2,5,1024,145,0.2909214374281038,3.705006420341946e-05,False,18.67249366528356,20.039501964817575,19.7970028509228
23,26,128,2,2,5,1024,112,0.2471149560966468,4.4419863504072265e-05,True,18.685973675095067,19.642341837840764,20.255835221976767
13,7,64,8,4,3,256,305,0.2507562696446056,2.7711071037823155e-05,False,18.691443469656072,19.057626044962955,19.528133390215405
20,26,128,2,2,5,1024,131,0.2488727906215801,4.635195787611881e-05,True,18.703438766435767,18.825936414217246,20.27475328610879
19,28,128,2,2,5,1024,166,0.237763565718756,4.9754231160080937e-05,True,18.70983920131965,18.618728147732522,19.289689749818002
13,10,64,8,7,2,256,53,0.2156145448356798,1.0999521487276345e-05,False,18.713013041736065,18.749218370095278,19.88572504803196
