in_len,out_len,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,batch_size,dropout,lr,year,sMAPE
14,28,32,8,5,3,1024,87,0.2911813823648413,2.6843601873685612e-05,False,78.22105567368168
8,14,32,4,5,4,1024,271,0.022410903762583034,2.9603865005094335e-05,True,38.05001952007967
8,12,64,8,8,7,512,128,0.09364547517289541,2.9033947914001495e-05,True,102.12606209129137
30,18,64,2,2,4,512,11,0.025836314299739958,1.4224718009336943e-05,False,12.420876195251873
29,7,64,2,4,5,256,58,0.21886263744985193,3.331079977158233e-05,False,95.86673861045743
10,8,32,4,4,2,256,226,0.1661516918327749,1.4563402956906098e-05,True,36.43437225125934
7,28,128,8,5,7,512,218,0.1389594131898197,4.668342935297964e-05,True,104.99633670250614
30,25,128,4,6,7,512,80,0.05708634322876452,1.4647808158423907e-05,True,21.955200230582342
22,21,32,8,4,5,1024,87,0.2876487487204219,2.1961173262492846e-05,False,58.82193015036257
18,14,64,8,6,7,1024,119,0.26501374409960404,1.554025856761347e-05,True,71.85790617974409
24,21,64,2,2,2,512,15,0.011279379250797389,1.0755488101779978e-05,False,31.313959426023974
30,25,128,4,2,8,512,10,0.0629532339022373,1.5842856842476727e-05,False,85.72648842540515
26,18,128,2,7,6,512,333,8.05425081027572e-05,1.0493444472733122e-05,True,65.68661157786116
27,24,128,2,3,4,512,156,0.06519522219940428,1.9274121817226095e-05,False,79.75600577858133
20,18,64,4,7,6,512,49,0.04829925937312285,1.2624833979729212e-05,True,54.62819715017717
26,24,128,2,6,4,512,52,0.10016388237504793,1.9287421840426892e-05,False,26.69563069176825
30,30,64,4,3,8,256,155,0.03920713229652485,1.2727761059351875e-05,True,27.550947843480422
17,16,128,4,6,6,512,11,0.00017108437151805433,1.6501297945490782e-05,False,24.350739487077963
23,21,128,2,8,3,512,98,0.08465588346708455,1.32272172216073e-05,True,91.82329355564882
15,26,64,2,3,3,256,193,0.03523850339472044,1.8016653435070133e-05,False,30.873953979409308
28,10,128,4,7,5,512,357,0.12036647189934277,1.0022234131687902e-05,True,45.05786056238484
17,16,128,4,6,6,512,13,0.0020346689886185376,1.6441059472930182e-05,False,32.10498359636609
12,16,128,4,6,6,512,46,0.03125557811795759,1.3751313315629047e-05,False,49.99072281718717
20,20,128,4,5,7,512,39,0.05123722716377282,1.761975270204899e-05,False,25.30684433676941
25,16,128,4,7,5,512,73,0.018346174309814747,1.1938529113145952e-05,False,26.47644989828914
16,23,64,4,6,8,512,30,0.07129125737325379,1.6287759855532308e-05,False,22.873567847126303
21,24,64,2,4,8,512,123,0.06919000547316476,1.4753315027789958e-05,False,57.99800900113405
15,22,64,4,5,8,512,36,0.07363804091509298,1.1922053218105985e-05,False,79.20387386340802
28,27,64,4,7,7,1024,104,0.10571264959518561,1.4315775313534322e-05,True,48.43335283397927
12,29,64,2,6,4,256,69,0.044896333614226916,2.21821232518098e-05,False,91.12412818680723
13,23,32,8,2,8,1024,155,0.08148972827377192,1.3804957701251907e-05,False,36.090319462741846
17,18,128,4,6,6,512,27,0.025400670978870547,1.6695191359679796e-05,False,20.52618125621238
16,19,32,4,5,7,512,32,0.02565371878549779,1.709466569695274e-05,False,18.30057129124419
19,19,32,4,5,7,512,87,0.023746717891119075,2.0145206578326193e-05,False,22.962150436686564
14,14,32,4,8,5,512,72,0.03134717279483929,1.7501080290623655e-05,False,59.502156565745835
18,12,32,4,3,6,512,32,0.052511246812820836,1.5142775396428043e-05,True,92.1350244041459
28,19,32,4,4,7,512,65,0.017153721894591738,2.070133046167999e-05,False,51.75364570582877
11,17,32,8,5,6,256,22,0.036677822647240226,2.376205378168484e-05,True,32.61913308094277
23,12,32,2,5,7,1024,273,0.021145757029393072,1.4586201335072853e-05,False,30.608318050861595
30,20,128,4,4,3,512,89,0.05918118796766866,1.7943734162885752e-05,True,52.047174478650234
10,17,32,8,8,5,512,252,0.08882637208614355,2.5355178711575334e-05,False,58.3607467376845
16,22,64,4,6,8,512,29,0.054894137644239616,1.603419647200861e-05,False,20.970009485346573
16,22,64,4,6,7,512,30,0.0525514118795807,1.5758166387343e-05,False,19.29500130633209
16,20,64,4,7,7,512,57,0.018102049747808095,1.6304255852750344e-05,False,19.17447007149149
