in_len,out_len,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,batch_size,dropout,lr,year,sMAPE
27,19,128,4,3,2,256,351,0.2690285131105248,4.701230092073433e-05,True,22.457021574466964
9,17,64,8,6,5,512,162,0.07824575901783512,2.2104315846059468e-05,True,77.15650192421634
19,17,128,4,8,3,1024,48,0.10335720058945287,1.0233655397974214e-05,True,52.46230801382629
28,30,64,8,2,8,256,335,0.18690826369228872,2.959644970485375e-05,False,23.858028315675124
10,30,32,2,2,6,512,302,0.19323102036246934,2.7040202958513096e-05,True,32.432534108981685
25,7,32,4,3,8,256,235,0.021341748338997688,2.019108248796343e-05,False,54.94851314154383
10,19,128,8,5,8,512,353,0.08378804679864067,1.137114751897943e-05,False,66.69470641310302
28,20,128,8,2,3,256,219,0.07212164090530591,1.58581477951746e-05,False,22.356781330811152
20,20,32,2,5,5,1024,153,0.2628353197133545,2.206355993335199e-05,False,39.64128790732298
23,15,32,2,5,4,512,348,0.06455046585968645,2.2664748990473557e-05,True,33.67959836969656
30,23,128,8,7,2,256,72,0.009693797195523046,1.431897340954505e-05,False,25.13417165190842
26,24,128,4,3,2,256,252,0.2865963230619777,4.837733266133583e-05,True,19.794923857910142
15,25,128,4,3,3,256,247,0.29807581885135115,4.218746239331485e-05,False,21.07362802179936
14,25,128,4,4,3,256,265,0.2931537215715086,4.969858598561031e-05,True,19.83705246024718
15,26,128,4,4,2,256,292,0.23198405426957214,4.862251059224549e-05,True,22.594242016503177
15,26,128,4,4,4,256,101,0.2913285411017815,3.8781836257795406e-05,True,21.567666440744265
22,23,64,4,4,4,1024,272,0.24425414124855468,3.6348924168311795e-05,True,25.662823328687033
13,23,128,4,6,6,256,197,0.21777494291401508,4.887041459185298e-05,True,21.238799165586766
17,13,128,4,3,3,256,131,0.14830033912736473,3.3936834655776163e-05,True,98.20367393496893
23,28,64,4,4,2,1024,257,0.26635475051950425,4.0967366244369605e-05,True,23.494857366675372
12,12,128,2,6,6,256,206,0.2995447008119581,3.205041936467948e-05,True,21.40553860470578
17,25,128,4,3,3,256,254,0.29953265217363967,4.2178524314606436e-05,False,20.780956842189894
