in_len,out_len,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,batch_size,dropout,lr,year,sMAPE
21,21,64,8,7,6,1024,163,0.25090411641093924,4.9488591126656994e-05,True,36.45241872288791
15,23,64,2,3,5,1024,362,0.2897624814478518,4.574340193635079e-05,True,37.62525656439122
20,20,32,2,6,2,256,328,0.22129919585151606,1.762748361609823e-05,True,40.21199298062563
28,26,128,4,3,8,256,258,0.2706537166978398,1.5711233738940694e-05,False,24.780741888753038
19,21,128,2,5,2,256,341,0.01076028544251384,1.8684092566863465e-05,True,48.187927047329524
15,7,128,2,7,5,256,250,0.25673239841728285,2.2528144055117568e-05,True,23.789248278018192
28,29,64,8,5,5,1024,63,0.2297592537057446,2.3768876036173548e-05,False,60.6195646076072
11,18,64,2,6,8,256,138,0.2095202385631131,4.558219748821445e-05,False,18.633290297705997
11,19,128,2,2,7,512,292,0.040403508246180775,1.3329263416527119e-05,False,74.08976191446575
25,28,32,4,4,8,1024,32,0.19282454521202547,2.4808200076598288e-05,True,32.4567458574877
7,12,64,4,8,3,512,129,0.14720680647665282,1.01276633865391e-05,False,72.01395230012119
13,7,128,2,7,4,256,233,0.16166108413977928,3.3021843339453496e-05,False,95.21972867542249
8,14,128,2,8,6,256,201,0.2938697526569466,3.4735197099827506e-05,False,20.859175740747276
7,14,64,2,8,7,256,111,0.29573290349772485,3.669913086878485e-05,False,19.691878042095198
10,14,64,8,6,7,256,114,0.20429492989281436,3.792626395649293e-05,False,22.702221713923556
7,16,64,2,6,7,256,92,0.2966951179820175,2.9936582305288284e-05,False,21.00419687260452
11,11,64,2,8,8,512,162,0.24841052938676436,4.202557035956356e-05,False,60.94394338791764
16,17,64,2,4,6,256,63,0.18029092559052848,4.9692835141599455e-05,False,20.104438137862427
9,10,32,8,7,7,256,145,0.13011763201821727,4.101963615239921e-05,False,70.9554969850559
13,24,64,4,5,8,512,90,0.22780731734157522,2.836028252369146e-05,False,20.4484337453731
