in_len,out_len,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,batch_size,dropout,lr,year,sMAPE
15,8,128,4,2,4,1024,210,0.21296552331680077,3.495555463981235e-05,True,96.66535810599703
9,30,128,8,7,6,512,239,0.1344937577914057,2.77445549419297e-05,False,61.95338668729303
24,17,128,4,7,7,512,97,0.07353620289327438,1.120613450509855e-05,False,89.3118793529821
17,28,64,2,7,4,1024,119,0.06765471675576618,1.1490812052087611e-05,False,46.070337361024016
29,30,32,4,4,8,1024,357,0.23471043022879315,4.305444959027849e-05,False,33.41481380227882
19,18,32,2,4,5,256,321,0.1895801442537123,1.3042339505709084e-05,True,38.38385366056309
14,8,32,2,6,4,256,265,0.05390345146358037,4.118558448082883e-05,True,53.053187223240606
23,24,32,8,6,4,1024,196,0.14501452762504768,1.0731506167635808e-05,False,42.01775584871164
8,7,64,4,4,5,1024,306,0.19304943581710637,3.097606763398458e-05,False,22.233371881586283
23,11,32,8,8,3,1024,332,0.2742167886082707,2.99119814914643e-05,False,45.11552544619237
7,14,64,4,2,2,512,7,0.2984140993353962,2.062654034846279e-05,True,102.64698335022308
29,23,64,4,4,8,1024,363,0.22622047518446403,4.911922278507353e-05,False,34.25589283580852
11,23,64,4,4,6,1024,288,0.2544558031012659,4.673363829011753e-05,False,22.11322301075102
10,22,64,4,3,6,1024,277,0.25553371590618223,3.7419042761984636e-05,False,59.96578980882007
12,14,64,4,5,6,1024,295,0.19337716198208146,4.932589636905571e-05,False,20.631625279402392
12,14,64,4,5,6,256,140,0.18103744379215403,4.543032940731564e-05,False,55.329703564624424
12,21,64,4,5,7,1024,278,0.2612275256348935,4.8720881173461456e-05,False,39.57289802088115
19,15,64,4,3,7,1024,161,0.29872609085450685,3.782337396591564e-05,False,84.37560558643182
12,25,64,2,6,6,256,234,0.11154693071428314,4.987959202535125e-05,True,75.05992782410915
16,20,64,8,3,5,512,297,0.013936165696940284,2.3132539079440048e-05,False,23.076208574742783
10,11,128,4,5,7,1024,230,0.1640592250485612,4.1899512218721905e-05,False,96.38386315012977
7,11,64,4,4,5,1024,309,0.20668178064496023,3.361214543011302e-05,False,64.56620442246202
9,26,64,4,4,6,1024,337,0.17389328715179034,4.1030844047603964e-05,False,27.955091191775207
13,7,64,4,3,5,1024,258,0.1993585689271965,3.2308365645870084e-05,False,84.35414391152283
7,16,64,4,5,5,1024,297,0.2339531342065051,3.724562089072126e-05,False,20.796845308091154
11,19,64,4,5,3,1024,174,0.2367085567694632,3.793781103734916e-05,False,18.661879765345546
7,16,64,4,6,2,1024,170,0.2304988144861468,3.6744620129460314e-05,True,69.68850132995154
14,18,64,4,5,3,256,95,0.22114784526445963,4.027399030037774e-05,False,91.86637615668542
17,13,128,2,6,3,512,52,0.1646214174240403,4.3118039503225096e-05,False,79.88840215188571
15,19,64,8,5,3,1024,208,0.2100798684989928,3.342602895799367e-05,True,18.618969576435763
15,20,128,8,5,3,1024,174,0.20670496407247246,3.437373094022942e-05,True,18.869607160587847
15,20,128,8,5,3,1024,209,0.20883373898168509,3.429414184534352e-05,True,66.64186508913969
21,19,128,8,6,2,1024,181,0.20162869618878712,2.8976141924993488e-05,True,20.643174795547775
15,19,128,8,5,3,1024,152,0.21837218699456026,2.670037856472338e-05,True,19.5948275150939
16,21,128,8,7,3,1024,149,0.21992474278765795,2.6597940532208864e-05,True,20.345402529604762
18,19,128,8,5,2,512,109,0.17516119605571928,2.6190617644099153e-05,True,20.116076044321908
14,17,128,8,7,4,1024,134,0.23763607542155268,3.372448561832755e-05,True,50.55878562771354
21,17,128,8,6,3,1024,211,0.2156891506739013,2.9913389736060163e-05,True,25.01567006505625
15,27,128,8,5,4,1024,187,0.24812953723595543,3.2049113727978245e-05,True,31.15606934333155
27,21,128,8,8,2,256,81,0.12991761396242224,2.6907592946572828e-05,True,50.50064540653614
20,18,32,8,5,3,512,208,0.24334936991387635,3.4411538053381525e-05,True,74.80825992294902
18,19,128,8,5,2,512,115,0.18464100370490183,2.503726965469275e-05,True,19.669067614863103
17,20,128,8,6,2,512,125,0.21172767237964407,2.461163977635328e-05,True,27.312506451342934
18,22,128,8,4,3,512,156,0.1865914774614498,2.0792510586188953e-05,True,21.637839496010663
16,19,128,8,4,4,512,74,0.19628761909057468,2.8485329337102717e-05,True,64.96408241755012
14,17,32,8,5,4,512,171,0.27393749804909373,3.180743068147307e-05,True,46.55389182762129
13,23,128,8,7,2,1024,116,0.21634774171909651,2.8991681105679812e-05,True,22.81915624171638
20,24,128,2,6,3,1024,225,0.23304529896585288,2.3596634395444223e-05,True,26.60876088010357
10,22,32,8,4,2,1024,193,0.1865555738391121,2.4962833718873614e-05,True,24.692702490898686
16,16,128,8,5,3,256,143,0.2264961509656505,3.1443421379705526e-05,True,29.15571767408703
13,29,128,8,5,3,1024,256,0.2482466421830077,3.602469331860085e-05,True,36.03992884929265
18,19,128,8,5,2,512,118,0.17722991937062663,2.703692683412399e-05,True,20.006788928041267
18,20,128,8,4,2,512,43,0.20118961260250467,2.1613634630427275e-05,True,96.6625346902339
17,18,128,8,5,2,512,102,0.15738216519871412,2.7543867656503682e-05,True,41.92987373857392
20,19,128,8,6,3,512,124,0.1853923834514068,2.2451283293145624e-05,True,22.88959110575609
22,21,128,2,4,4,512,170,0.17757375118355426,3.0506820077051936e-05,True,24.81825971785414
19,15,64,8,5,2,512,134,0.20819402061158856,2.8085070955913592e-05,True,51.8363947040243
25,20,32,8,5,3,1024,158,0.19110816461341146,3.8972138594790564e-05,True,44.54591565933638
15,18,64,8,6,2,1024,179,0.22576049345866187,1.961939902987106e-05,True,55.59570436905076
11,22,128,8,4,4,1024,245,0.17126763222760583,3.94323775263391e-05,True,54.85742609200105
9,24,64,2,5,3,256,84,0.1508354870709816,3.571651282643886e-05,True,29.381692198354088
