in_len,out_len,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,batch_size,dropout,lr,year,sMAPE
10,20,32,2,8,8,512,270,0.21333905752978258,1.4347426466105914e-05,False,49.835619581990706
17,7,64,2,7,7,1024,194,0.2589859147807854,4.2177942516707e-05,False,100.39525799799137
24,20,64,2,2,7,512,314,0.1728489775489373,2.149578544291061e-05,True,23.07196356841757
22,19,32,8,7,6,256,181,0.20748997612030476,3.561615721382694e-05,False,39.253376443908934
29,19,128,4,6,7,1024,23,0.05922146140615356,2.182331898973444e-05,True,76.24648729006242
30,16,128,4,3,8,512,29,0.27518410303245344,2.5532671224600833e-05,False,100.31874892761728
22,25,32,4,7,8,512,230,0.27454196689611915,4.4896292704595626e-05,False,64.60821128789728
18,21,32,4,8,7,256,84,0.043475022382431915,2.028703066547006e-05,True,44.871836469847096
12,11,32,8,6,4,256,343,0.0954495689607279,2.857412238008521e-05,False,60.203337512252865
16,25,128,2,7,3,256,241,0.24819265036783966,1.461652552838267e-05,False,21.005375839292025
13,30,128,2,4,2,256,129,0.1289351974994888,1.0146945881848606e-05,True,22.89944029135853
15,29,128,2,4,2,256,128,0.14652945763824635,1.009792544159444e-05,True,23.753653742414564
8,30,128,2,4,2,256,122,0.13152433064031407,1.1163666729782435e-05,True,27.517878427112187
12,25,128,2,5,4,256,263,0.10649775457759995,1.3879992034241758e-05,True,22.506192118682353
15,26,128,2,5,4,256,278,0.08587880685008388,1.5259915050613173e-05,False,27.0105062254129
7,24,128,2,5,4,256,226,0.012837454368990864,1.5207928453967144e-05,True,30.58089427603677
11,15,128,8,6,3,1024,276,0.18246476950293694,1.763059553792541e-05,True,27.13690438353444
21,23,64,2,6,5,256,359,0.23892467349832588,1.1868793362923902e-05,False,29.83001298804689
15,27,128,2,3,3,256,207,0.22656440248845586,1.2566404868729515e-05,True,29.078771315843273
26,23,128,8,5,5,1024,305,0.29756558303845676,1.709624422987709e-05,False,24.454178227443187
19,27,64,2,8,3,256,250,0.17513130766056184,1.272217213026169e-05,True,23.428337450470842
14,29,128,2,4,2,256,159,0.12058557230052654,1.0651978000639798e-05,True,33.985504112879184
13,28,128,2,4,3,256,85,0.11707568781358471,1.363180251544137e-05,True,20.931557337576166
9,22,128,2,3,3,256,61,0.1038818581847602,1.3607863141048478e-05,True,79.73783505627911
17,27,128,2,5,4,256,87,0.15204719131051414,1.7732273447217732e-05,True,36.92511618527467
12,16,128,2,2,3,256,162,0.19581568550106457,1.3305311055792786e-05,True,20.805415526689558
