in_len,out_len,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,batch_size,dropout,lr,year,sMAPE
15,25,32,2,6,6,256,351,0.18026324593417564,1.747806443312522e-05,False,45.878992667833934
19,7,64,8,2,3,256,317,0.11708117375079324,1.167060819622575e-05,True,23.65587030209328
15,13,32,8,3,8,512,331,0.02775688228190758,1.0516063222779446e-05,False,37.91729215015814
21,22,128,4,3,7,512,346,0.027476404972582812,2.924307927480586e-05,False,43.40981686277976
16,28,32,2,5,2,256,295,0.2694668355812109,1.628120618232306e-05,True,27.05396407348885
26,20,64,2,5,3,1024,269,0.023157058287316467,2.371493227985069e-05,False,29.07792903512712
28,11,32,8,8,7,1024,46,0.12792940515119897,2.3138883321587822e-05,True,54.04882646592903
8,20,128,4,6,4,512,260,0.2123013034622457,2.6210211465705682e-05,False,19.623959549846383
12,29,64,4,3,4,256,296,0.00997879009636069,4.214868276568236e-05,False,43.09547225865268
23,24,64,4,7,6,256,340,0.18348933028057918,3.0710194368853067e-05,False,28.06544033683192
8,16,128,4,6,5,512,183,0.25906023030817726,4.761132429880548e-05,True,21.06963471406527
8,16,128,4,6,5,512,184,0.28112711364670695,4.898905039747826e-05,True,20.918609558450406
7,16,128,4,6,4,512,193,0.29622593150258764,3.752127906206797e-05,True,27.497348596266235
10,18,128,4,8,5,512,200,0.235712481756116,3.838555341640358e-05,True,20.82496489759651
11,19,128,4,8,4,512,240,0.2280255453331208,3.572588718995948e-05,False,24.344085316320935
11,21,128,4,7,2,512,101,0.22481575065736115,2.876209702116535e-05,True,23.115568112317998
12,12,128,4,7,6,1024,130,0.23241868864351173,3.5899191628283e-05,False,100.33506617044054
10,24,128,4,4,3,512,234,0.2017379621244327,2.5195357003487606e-05,True,21.482735873037484
17,17,128,8,8,5,512,120,0.16339767911667485,2.0336690770566005e-05,True,83.98412857743838
14,26,128,2,7,4,512,153,0.25133287946256483,3.270571088950058e-05,False,20.541053964409812
13,27,128,2,4,4,1024,9,0.29685853744970386,3.1279965705891986e-05,False,90.46504317018854
9,30,128,2,7,5,512,225,0.24636934728430113,4.113616763207758e-05,False,52.45467904031354
14,22,128,2,8,3,512,151,0.20955945043292074,2.721356792345593e-05,False,70.91190023270909
7,26,128,2,7,4,512,71,0.2569908962113772,3.186021264453247e-05,False,19.50537824867218
7,27,128,2,7,4,512,46,0.2676146986681473,3.351123090529876e-05,False,19.674786712239033
7,27,128,2,6,3,512,77,0.2783959780509194,2.6499206281568424e-05,False,20.23856958552189
9,23,128,2,5,4,512,12,0.2583423581590764,3.324098028818439e-05,False,94.66261664793427
7,30,128,2,7,2,512,60,0.27219789730077204,2.7979831265718434e-05,False,24.422642240055595
18,26,32,2,6,4,512,45,0.21203877249468683,3.318234931337808e-05,False,23.385486885266207
30,25,64,2,6,6,1024,80,0.2521500023110429,2.1315699738864747e-05,False,37.23095776509251
9,28,32,2,7,5,256,96,0.18655281544815167,2.497081668488092e-05,False,56.98739108316939
7,27,128,2,6,3,512,69,0.282748137371618,2.5995440586699646e-05,False,20.335071452760474
7,25,128,2,6,3,512,33,0.2743288506802504,2.9289291480840932e-05,False,94.24024443954914
10,8,128,8,5,3,512,82,0.29487283227412964,2.0028617438713125e-05,False,113.85565222393008
8,23,128,2,4,4,512,28,0.26298083801874017,2.786767856321393e-05,False,92.61102848258729
20,27,128,2,7,2,512,362,0.24209494136136242,2.2716060632896965e-05,False,41.52106084301615
