in_len,out_len,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,batch_size,dropout,lr,year,sMAPE
29,17,128,2,8,7,1024,135,0.07462826283942961,2.3400702765968946e-05,True,29.89458963675291
24,25,32,2,4,4,512,315,0.1238727400846465,1.9825354076237725e-05,False,34.522260621209256
11,29,32,4,7,4,512,38,0.24231955946490472,1.681923327310643e-05,False,32.11123761494182
21,20,64,2,8,7,1024,328,0.14916895456391724,2.3508650756360602e-05,True,50.01574981491422
20,22,64,2,4,4,256,249,0.12620657376190683,1.484321872619813e-05,False,19.914807834109787
28,10,64,4,2,7,256,305,0.27203145960964203,1.623254154929605e-05,True,19.310383889358572
7,15,32,4,6,2,512,170,0.1601974089337377,1.9026594773998424e-05,True,32.652792394773265
11,27,32,2,7,7,1024,70,0.22339250545671907,1.6892645030532615e-05,False,45.44125640375355
27,21,64,4,2,5,1024,40,0.2591241605844988,1.2504241139652602e-05,False,22.544385934452816
28,28,128,4,6,6,512,223,0.11410670174994444,1.3136383723538908e-05,False,32.88134530982315
16,7,64,8,2,8,256,359,0.2857757662536169,3.324674941657647e-05,True,87.35025024245083
19,11,64,8,4,3,256,254,0.009763880937746161,1.0028694247309985e-05,True,54.61943389789534
24,12,64,4,3,5,256,257,0.2172232884621903,4.819135292176629e-05,True,19.930967417665098
15,22,64,2,4,4,256,282,0.2962081816443539,1.4122706691784552e-05,False,20.00433679076719
23,24,64,8,3,6,256,202,0.18429659316737618,1.0555938318468031e-05,False,31.717675072403857
26,7,64,2,3,8,256,137,0.19062905581623435,1.6746759635489177e-05,True,87.06760758441445
30,17,128,4,5,2,256,293,0.27457051088981915,1.3753685923799724e-05,False,49.203036018057595
17,12,64,2,2,6,256,349,0.2217946897247888,2.6609243772842314e-05,True,44.55373413723532
21,15,64,4,5,3,256,240,0.26096305080213794,1.184530671004827e-05,False,27.63774711658522
13,9,128,8,3,3,256,176,0.2952691298326926,1.5210776062730773e-05,True,104.92067100948479
20,23,64,2,4,5,256,284,0.08703305943343312,1.1954830961107919e-05,False,22.737232921552675
24,12,64,4,3,5,256,254,0.23140362180328256,3.739032396375954e-05,True,20.978172558635176
26,14,64,4,2,5,256,309,0.19867132181446823,2.8841940702822703e-05,True,20.18794206208681
23,19,64,4,3,4,256,266,0.25701943470830263,3.997504504242233e-05,True,23.9591768568637
25,10,64,4,5,6,256,202,0.20899973829163943,4.156420086497903e-05,True,40.914461776018854
22,13,64,4,2,4,256,226,0.24128776935937502,4.66507500908952e-05,True,19.68286362930933
18,9,64,4,2,3,256,225,0.24499712218246877,4.825445550193479e-05,True,21.200307696634255
22,26,64,4,2,4,256,134,0.27250798659985137,2.1095492363079612e-05,True,20.322616763880333
19,17,128,8,4,3,512,328,0.17858673559147098,1.8831589225198415e-05,False,21.28375875391992
