in_len,out_len,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,batch_size,dropout,lr,year,sMAPE,sMAPE2,MAPE
30,18,64,2,2,4,512,11,0.0258363142997399,1.4224718009336945e-05,False,12.420876195251871,58.8645955723588,43.60725469708949
16,19,32,4,5,7,512,32,0.0256537187854977,1.709466569695274e-05,False,18.30057129124419,56.31715621509939,42.66626621693403
24,26,128,2,2,5,1024,145,0.2279806412716812,4.989486409633484e-05,True,18.39213911427131,43.54533935821924,34.11749930412762
19,28,128,2,2,5,1024,139,0.2157967210097574,4.994527417079436e-05,True,18.423847718885067,61.103131041867755,45.22840435843795
23,26,128,2,2,5,1024,126,0.2273706708621936,4.197053869660891e-05,True,18.44845967567456,48.06671424779088,37.072998760018855
19,7,64,4,4,4,512,300,0.2475818338852213,1.3766936896259718e-05,False,18.475066814417136,38.6764080431927,53.433494019487206
9,10,64,4,2,2,1024,324,0.1920985827362887,1.080843250955294e-05,True,18.49140632977047,19.798908952959565,20.418701524257553
18,10,64,4,2,2,1024,334,0.1477829554568524,1.125863867390354e-05,True,18.50541778918044,19.972022817070016,20.576734069442843
9,10,64,4,2,2,1024,280,0.187577685464707,1.0809727304002476e-05,True,18.53792890137177,20.102566017672316,21.21870138584648
9,10,64,4,2,2,1024,328,0.1786974202208905,1.045945199641704e-05,True,18.55230980702257,19.727782885216516,20.562030371204266
12,10,64,4,2,2,1024,307,0.1814280183705031,1.0665401744973187e-05,True,18.55718065542716,20.056797239172756,20.77382763416667
7,26,128,2,2,5,1024,148,0.2940110009977351,3.7596210033899206e-05,False,18.56911835157328,19.124349059637037,19.16255428887708
8,10,64,4,2,2,1024,309,0.1579963198525706,1.164103248871176e-05,True,18.579654489284724,19.39541573993589,20.408870866492492
15,19,64,8,5,3,1024,208,0.2100798684989928,3.342602895799367e-05,True,18.618969576435763,20.122862782373176,21.59475279616033
9,10,64,4,2,2,1024,364,0.1674930926186831,1.3239808166472893e-05,True,18.624398639570806,19.779713433545034,20.57256187471232
9,12,64,4,2,2,1024,364,0.1695821063934887,1.3259438320158736e-05,True,18.628354159748568,19.33148542683703,20.13409165774295
11,18,64,2,6,8,256,138,0.2095202385631131,4.558219748821445e-05,False,18.633290297706,23.148066933940672,25.806933431669464
10,10,64,4,2,2,1024,297,0.194356059257984,1.0825878662196276e-05,True,18.639071228190808,20.10163389465696,20.879837251379094
7,19,128,4,2,3,512,181,0.1805745466574351,1.501507663917416e-05,True,18.652560678384937,19.135791955499208,20.295144119638522
13,19,128,2,3,4,256,120,0.1865052521137327,1.2509910197018924e-05,False,18.65639574042215,22.62546886498638,21.46133611916064
7,26,128,2,2,5,1024,145,0.289416042222746,3.657206178354652e-05,False,18.659180542738795,19.288511001308244,19.26046893657127
18,25,128,2,2,5,1024,145,0.2445680704989072,4.90946068340436e-05,True,18.659835960487065,26.934846065302846,23.249057199211055
11,19,64,4,5,3,1024,174,0.2367085567694632,3.793781103734916e-05,False,18.661879765345542,27.834276575113687,23.845338621054545
9,10,64,4,2,2,1024,326,0.173517861869246,1.1019444736510476e-05,True,18.66381899433099,19.64930167385378,20.283417959960033
7,26,128,2,2,5,1024,145,0.2909214374281038,3.705006420341946e-05,False,18.67249366528356,19.262191483003612,19.24789689899215
23,26,128,2,2,5,1024,112,0.2471149560966468,4.4419863504072265e-05,True,18.685973675095067,63.226585846108364,46.557738654789844
13,7,64,8,4,3,256,305,0.2507562696446056,2.7711071037823155e-05,False,18.691443469656072,19.38190215853645,20.367617550248916
20,26,128,2,2,5,1024,131,0.2488727906215801,4.635195787611881e-05,True,18.703438766435767,48.095643075221275,37.05958755328544
19,28,128,2,2,5,1024,166,0.237763565718756,4.9754231160080937e-05,True,18.70983920131965,29.56486985193918,25.166797042806248
13,10,64,8,7,2,256,53,0.2156145448356798,1.0999521487276345e-05,False,18.713013041736065,90.50206220630257,61.57056262813384
20,20,128,4,2,3,512,179,0.1830981521941227,1.5950481093239385e-05,True,18.71560895526713,20.526577565238902,20.05141748364948
13,25,64,8,4,3,256,245,0.2994474191152911,3.172965817872544e-05,False,18.74995533795829,20.40467972900617,21.721933102288162
8,27,128,2,3,7,512,224,0.2794523714323302,3.745316573020406e-05,False,18.763942890221543,19.29235150037943,19.825107394516188
10,25,128,2,2,8,1024,91,0.2742388138039219,4.37393382783452e-05,False,18.803513883051963,52.68970755378747,40.24524532936453
10,19,64,8,4,3,256,295,0.262554491604273,2.64879120778557e-05,False,18.841079821109997,21.467222496020398,22.676728790300565
8,25,128,2,2,8,1024,150,0.2808637287387889,3.322494878784286e-05,False,18.8564409077866,18.913173120360707,19.51955684621921
15,20,128,8,5,3,1024,174,0.2067049640724724,3.437373094022942e-05,True,18.869607160587847,36.0074289242113,29.262345590752382
11,19,64,8,4,3,256,291,0.2418533550385134,2.7975733078877603e-05,False,18.890755719799905,22.366549919021807,23.097581396249495
8,25,128,2,2,8,1024,179,0.280305095905443,4.184812425118468e-05,False,18.916278927955343,18.71882326568065,19.04305765490964
8,23,64,8,4,3,256,69,0.2426073054801945,3.1854798233007366e-05,False,18.9223887967604,20.280045575741624,21.968547429073123
9,25,128,2,3,7,512,179,0.2828620716047976,3.569918716795856e-05,False,18.962242274047064,20.091139016603883,19.645731865856835
8,27,128,2,2,8,1024,156,0.2796698461946776,3.648587823786252e-05,True,18.96660682894081,19.47092227455609,19.835219457781687
20,21,128,4,2,4,512,177,0.1851517360332582,1.5503736215826923e-05,True,18.978006849857028,20.01406238264006,21.23303519571801
8,25,128,2,2,8,1024,172,0.2797894873235303,3.73543942412664e-05,True,18.979949128945016,19.019840515911383,19.143140377348725
12,19,64,8,4,3,256,289,0.2808761174617118,2.4475221073414243e-05,False,18.981245258841277,21.602770198046077,23.008209599234245
10,19,64,8,4,3,256,285,0.2505354296184293,2.637268428796502e-05,False,18.98158613640522,21.09985033796473,22.279366596858996
16,10,128,2,2,7,512,201,0.2123747565319081,1.7502829949649912e-05,True,19.02169399684937,25.075311566494435,22.162905532554554
27,17,128,4,2,3,512,162,0.1949747671427788,1.9562053556945988e-05,True,19.029234829847628,20.30155201476153,20.067984124690106
8,28,128,2,3,7,512,223,0.2920937245138139,3.303021577404316e-05,False,19.04640079776109,19.673403966802212,20.410113953590237
9,27,128,2,3,7,512,200,0.2820248181779805,3.30501479694674e-05,False,19.054119008038413,19.417096025393164,19.623645635456693
8,30,128,2,3,7,512,187,0.2936442902426218,3.369939513452405e-05,False,19.06264082415467,19.589134556770617,19.77942432059126
9,27,128,2,2,7,256,329,0.2811351877699583,1.5309620768809764e-05,True,19.08976669629783,20.083508355069597,20.37938853673423
10,19,128,4,2,3,512,137,0.2266417079932995,1.752654281184817e-05,False,19.09618680282833,19.361841772253044,20.49940811217551
12,19,64,8,4,3,256,333,0.2404942149270114,2.65307551513632e-05,False,19.11355518190953,22.165238847494184,24.10758708495598
10,22,64,8,4,3,256,67,0.2608858345417097,2.998954403062899e-05,False,19.127277437529266,19.910478989605682,21.320604797616642
8,27,128,2,2,7,256,292,0.2569006998216807,1.9362087933392716e-05,True,19.141749122519624,19.835777268586,20.178997246210333
16,20,64,4,7,7,512,57,0.018102049747808,1.6304255852750344e-05,False,19.17447007149149,71.9111584418555,51.86041277777077
13,20,64,8,4,3,256,303,0.2414131275558128,2.746693239759564e-05,False,19.189590536252965,22.314846131150414,24.18091601148449
19,26,128,2,2,7,256,276,0.276433179808874,2.9396643665606523e-05,True,19.19035755126941,19.821507969875064,19.814205154836984
20,7,64,4,2,5,512,307,0.2508702334858674,1.343828508018573e-05,True,19.2354565940988,19.426501977142305,19.775021215208373
13,20,128,4,3,5,256,108,0.2328245937757124,1.2340306167180373e-05,False,19.2418567837068,24.130833901660043,24.46287857739441
7,29,128,2,2,7,256,311,0.2235399334312559,1.7360964617495272e-05,True,19.277587594043865,20.312633636384465,21.104685938413244
26,19,128,4,2,3,512,202,0.1821144053558979,1.753872342290575e-05,True,19.287496826195145,20.285121117516365,19.709917369200213
16,22,64,4,6,7,512,30,0.0525514118795807,1.5758166387343e-05,False,19.29500130633209,79.89732648581588,56.20272668920494
28,10,64,4,2,7,256,305,0.272031459609642,1.623254154929605e-05,True,19.31038388935857,22.811521072479927,20.733895236763683
14,19,128,4,3,6,512,97,0.1175121846451921,1.530644198239654e-05,True,19.32165556323315,19.291086890860555,19.17456534413229
11,24,128,2,3,5,256,54,0.2169978980149807,1.4110141736306343e-05,False,19.35635262756592,93.71574771354356,62.91679688845749
10,27,128,2,3,7,256,61,0.2698001633475524,1.8748466279992625e-05,True,19.35925337415798,22.36901520114663,22.313112380917104
15,20,128,4,3,5,256,96,0.2203343601056504,1.2501293131386153e-05,False,19.366252515212683,24.820562251174845,23.894323539269585
14,27,128,2,3,7,256,303,0.2362087837438703,2.295544364068669e-05,True,19.368215794145133,20.541387172358366,20.501544535434572
11,24,128,8,4,8,512,103,0.1716620928263192,2.1487613522214995e-05,True,19.370713235610147,19.406956803605784,20.392454179084435
14,28,128,2,2,7,256,319,0.2770668992160798,2.4891637978741534e-05,True,19.38205776195777,19.762995204529535,20.500005513229144
13,28,128,2,2,7,256,300,0.2755691959001076,1.836379321050245e-05,True,19.389433518285603,19.754300949053523,20.504117574912335
9,26,128,2,7,4,512,43,0.2597021709705406,2.891445956282672e-05,False,19.392885362520268,90.32558279287286,61.48350270525928
