in_len,out_len,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,batch_size,dropout,lr,year,sMAPE,sMAPE2,MAPE
11,24,128,8,4,8,512,103,0.1716620928263192,2.1487613522214995e-05,True,19.370713235610147,19.74506046149332,20.4493966159037
14,28,128,2,2,7,256,319,0.2770668992160798,2.4891637978741534e-05,True,19.38205776195777,19.248964247583146,18.658877593269466
13,28,128,2,2,7,256,300,0.2755691959001076,1.836379321050245e-05,True,19.389433518285603,19.3104899199892,18.830454752017644
9,26,128,2,7,4,512,43,0.2597021709705406,2.891445956282672e-05,False,19.392885362520268,19.392885362520275,20.873925059501044
8,29,128,2,2,7,256,298,0.2257336144536092,1.680054559659115e-05,True,19.41790050316282,19.35329346180172,19.754770234006163
9,19,128,2,4,8,512,112,0.1083993779933621,1.5153851757727313e-05,True,19.452829552788025,90.63577684241706,61.44604135610251
9,21,128,2,4,7,1024,98,0.1866641072596827,1.3921796392337896e-05,True,19.483448001587725,28.168736331220252,24.474888294448586
11,21,128,2,3,4,256,72,0.1979249489505024,1.4278903519982206e-05,False,19.49919769106829,19.421049677905703,19.265749244041867
8,29,128,2,6,4,512,66,0.2889612195901666,2.9379337145755068e-05,False,19.50164240942365,19.501642409423646,20.870920910418057
7,26,128,2,7,4,512,71,0.2569908962113772,3.186021264453247e-05,False,19.50537824867218,19.50537824867218,20.869301489066768
13,18,128,2,4,3,512,141,0.1744542265768739,1.5902191488220958e-05,True,19.52782746103869,20.385947774815982,20.522979776081854
13,16,128,2,4,8,512,140,0.1517389137699717,1.6350209668664877e-05,True,19.535536998649626,92.32934416316166,62.33382750867547
15,20,128,4,3,5,256,94,0.2191997708872856,1.279127517826816e-05,False,19.56848897847632,19.73629358605816,19.383997696119966
30,16,128,4,2,3,512,59,0.1823095684360854,1.8390003773598623e-05,True,19.594540629815675,94.52378533596195,63.39281799899597
15,19,128,8,5,3,1024,152,0.2183721869945602,2.670037856472338e-05,True,19.5948275150939,19.52998918007704,20.125382360682536
8,20,128,4,6,4,512,260,0.2123013034622457,2.621021146570568e-05,False,19.623959549846383,19.623959549846383,20.838473380745462
13,21,128,2,3,4,256,76,0.2011308699693259,1.4061194114012251e-05,False,19.661823351088504,19.561521539043227,19.781039727609446
18,19,128,8,5,2,512,115,0.1846410037049018,2.503726965469275e-05,True,19.669067614863103,19.636177782730655,20.03604554114014
7,27,128,2,7,4,512,46,0.2676146986681473,3.351123090529876e-05,False,19.674786712239037,19.674786712239033,21.09219407613222
22,13,64,4,2,4,256,226,0.241287769359375,4.66507500908952e-05,True,19.68286362930933,19.682863621071782,19.79752190269749
11,21,128,2,4,7,1024,100,0.1875191165862754,1.3662106456743503e-05,True,19.68296114296384,26.261010796363188,25.381398344815647
14,16,128,8,4,8,512,143,0.1508343235318498,1.5912281696266786e-05,True,19.685959649646797,92.47876772737267,62.4187789877311
12,21,128,4,3,5,256,59,0.2340506521972713,1.2362086600620915e-05,False,19.68936640815117,19.739455406849306,19.864873027823553
7,14,64,2,8,7,256,111,0.2957329034977248,3.669913086878485e-05,False,19.6918780420952,19.62498043799834,20.122060775716275
14,20,128,4,3,6,512,108,0.1305296584855805,1.4239086434081938e-05,True,19.71816296735271,87.04294880055498,59.783253439839626
20,21,128,4,2,4,512,177,0.1870455216732423,1.762162052234265e-05,True,19.73248779330276,20.74315480807708,19.284225902136164
13,18,128,2,4,8,512,100,0.1726837487038197,1.5832942556486034e-05,True,19.748890591355824,94.15342695755265,63.216780827855644
12,21,128,4,3,5,256,63,0.23088294767706,1.249443804666084e-05,False,19.76231389593338,19.909698921970836,19.579365897526067
8,20,128,4,2,3,512,141,0.1800028067298815,1.66816433368713e-05,False,19.770435136998778,20.0668452890923,20.92731182895726
18,21,64,4,4,4,256,352,0.2929003441191321,1.3143342980464064e-05,False,19.780149475922062,27.167750540162704,35.75033520363041
8,26,128,2,6,4,512,57,0.2995220818617865,2.943057601255229e-05,False,19.785349808835075,19.785349808835086,21.255019846574882
8,8,128,8,8,8,512,89,0.2885693123192606,3.5526502866322034e-05,False,19.80737051806854,19.807787632208992,18.93500376093312
16,25,64,2,4,4,256,266,0.2835786680466512,1.6164900686999884e-05,False,19.831383638356183,26.226189464419285,32.71335977403708
18,22,64,4,4,4,512,348,0.2755833928553847,1.255102150183765e-05,False,19.897232586222017,40.67890886094216,110.81174978531527
20,22,64,2,4,4,256,249,0.1262065737619068,1.484321872619813e-05,False,19.914807834109787,28.592040861226465,38.95301312088254
17,25,64,2,4,5,256,219,0.250187431263005,1.659630373670651e-05,False,19.91925771694705,20.323333874096342,21.857649980290088
18,22,64,4,4,4,512,348,0.2758021516483854,1.2602792164041e-05,False,19.92549946188217,40.46703762470037,106.66098372327113
7,26,128,2,6,3,512,75,0.2892693362037458,2.631689578312376e-05,False,20.00629693642485,20.006296936424842,21.033158291030126
18,19,128,8,5,2,512,118,0.1772299193706266,2.703692683412399e-05,True,20.006788928041267,19.99684708298163,19.555961503814725
8,26,128,2,6,4,512,63,0.2852977242180478,2.653596992867092e-05,False,20.10192037972151,20.101920379721513,21.8303197518495
16,17,64,2,4,6,256,63,0.1802909255905284,4.9692835141599455e-05,False,20.104438137862427,92.5993847765694,62.38365585741692
18,19,128,8,5,2,512,109,0.1751611960557192,2.6190617644099157e-05,True,20.116076044321908,20.070271116212304,19.36981051260385
8,26,128,2,6,4,512,61,0.2850617150086086,2.974103936451396e-05,False,20.153803671245285,20.153803671245285,22.197517453407638
7,27,128,2,6,3,512,77,0.2783959780509194,2.6499206281568424e-05,False,20.23856958552189,20.23856958552189,21.097181169947444
16,21,128,8,7,3,1024,149,0.2199247427876579,2.6597940532208864e-05,True,20.34540252960476,20.236617800444247,21.590986196189885
13,24,64,4,5,8,512,90,0.2278073173415752,2.836028252369146e-05,False,20.4484337453731,22.056700072470388,21.840791093762117
17,18,128,4,6,6,512,27,0.0254006709788705,1.6695191359679796e-05,False,20.52618125621238,85.09717609532768,58.81623517536803
12,14,64,4,5,6,1024,295,0.1933771619820814,4.932589636905571e-05,False,20.631625279402392,25.50787095825059,24.79248599192578
19,23,32,2,3,2,1024,149,0.0754111286561653,1.9289581883103764e-05,False,20.64059324144851,26.573963238535264,34.672889439166184
21,19,128,8,6,2,1024,181,0.2016286961887871,2.8976141924993488e-05,True,20.643174795547772,20.610027233844622,22.879676550043314
12,30,64,8,5,5,512,186,0.2630360162006589,3.431569772924619e-05,True,20.77388873643391,22.16767297873036,22.374274797649925
8,14,128,2,8,6,256,201,0.2938697526569466,3.4735197099827506e-05,False,20.85917574074728,24.70651239356594,22.304960543040856
