in_len,out_len,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,batch_size,dropout,lr,year,sMAPE
26,12,128,2,4,5,1024,195,0.15861199540893847,2.43570038634576e-05,True,89.68053422297689
26,12,32,2,6,6,256,355,0.22755646911871638,4.8847530155502264e-05,False,67.34321080644523
7,26,128,4,8,4,512,347,0.0298924683058735,4.30713478138035e-05,True,18.077444973330138
12,25,128,4,3,5,512,113,0.02290278740356517,3.8446262903520525e-05,True,29.472001940193554
18,14,64,8,5,6,256,148,0.1886302584545227,2.1097387684236105e-05,True,74.14550731378127
9,9,128,8,2,7,1024,234,0.03643259994610826,3.46153845550926e-05,True,68.10458294133385
26,15,32,4,6,6,512,236,0.29287153363539736,1.4543594122360087e-05,False,51.66459741409844
12,25,128,2,8,6,1024,155,0.07671272562806786,2.2784128768631758e-05,True,34.374101941969116
21,11,32,2,4,5,256,49,0.19609467905064695,2.0053874537980027e-05,False,41.952315982311035
25,27,32,2,8,6,256,237,0.12022211093098523,4.2195265196930413e-05,False,46.720542393057706
7,30,64,4,7,2,512,363,0.08760719563530966,1.1787135148169488e-05,True,28.017039221219452
7,30,64,4,7,2,512,362,0.08951911871285848,1.057473113433124e-05,True,26.629794902156412
14,21,64,4,7,2,512,312,7.048792261787895e-05,1.0891841820063566e-05,True,23.24288376514892
15,21,64,4,8,3,512,298,0.0014985241233190054,2.9775634511986053e-05,True,16.447540379640873
17,20,128,4,8,3,512,298,0.04781806036181292,2.9187705753341e-05,True,23.744203356874557
21,22,64,4,6,4,512,298,0.002641993224416033,3.0329941066940442e-05,True,27.78534231477849
30,18,64,4,8,4,512,272,0.0602391309529513,4.986151566110451e-05,True,17.927533454071234
22,17,64,8,7,3,512,269,0.062180151496338314,1.665133448093873e-05,True,49.90312170808408
29,18,64,4,5,8,512,204,0.12246966235469522,4.967845878296903e-05,False,20.34199070855496
15,7,64,4,6,3,1024,266,0.10979894714703273,2.7848646302899286e-05,True,111.01500718142303
23,23,64,8,8,4,512,11,0.05735372890888375,3.450802527561531e-05,True,37.152398353730796
10,27,128,4,8,4,512,329,0.024798272230576464,4.411347600595532e-05,True,20.26360313631335
30,19,64,4,7,4,512,273,0.023588950946233367,3.7669003040908794e-05,True,14.531665627333748
30,16,64,4,7,3,512,270,0.008514076702596032,3.856281217275275e-05,True,23.85175959278225
28,19,64,4,7,4,512,286,0.05049425689090121,3.377044764465258e-05,True,10.420058367223685
29,20,64,4,5,3,512,322,0.04148358162619882,2.6396132009230735e-05,True,45.268954239383156
28,19,64,4,7,4,512,218,0.09809481203422554,3.242527827159569e-05,False,20.698906729046204
16,23,64,4,6,5,512,163,0.14395732852912788,3.7133170133041924e-05,True,27.04911761099812
19,22,64,4,7,3,256,302,0.07171960817216778,2.6127568398021185e-05,True,73.71536061051775
27,14,64,8,4,5,1024,180,0.14108908166997955,1.89945320954251e-05,True,82.52720726846815
25,17,32,2,5,2,1024,250,0.01503129003498504,2.321550263999e-05,True,37.55247974114729
