in_len,out_len,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,batch_size,dropout,lr,year,sMAPE
18,7,32,4,4,3,512,159,0.2787779160104021,1.3662774590574723e-05,False,19.28302389774565
9,17,32,4,2,2,256,107,0.2044065718251424,1.537779251264314e-05,False,31.616867868957016
26,28,32,8,8,8,256,325,0.2785922456685834,1.821127770507361e-05,True,42.05142039697763
8,15,32,8,5,3,1024,232,0.23204233797664642,4.41533079842391e-05,False,68.1078596689499
14,20,128,2,2,8,256,220,0.2515661531552419,1.2926597225220012e-05,False,17.923038022939235
21,25,128,8,3,6,1024,52,0.1155774187299169,3.5082858598430906e-05,True,24.83552715271104
8,24,64,4,7,6,256,290,0.28851218194607703,1.1390457286390389e-05,True,21.901446034680294
10,16,64,2,7,6,1024,263,0.15125902111839434,1.6352463055649145e-05,False,73.54283311088918
21,30,64,2,5,6,256,79,0.2055283861089555,3.0655239682347195e-05,False,120.3100248817212
26,20,32,4,6,3,512,48,0.28047961686985073,1.0013433106914864e-05,True,26.99848040616318
16,10,128,2,2,8,256,360,0.020277815763759782,2.2989525705809664e-05,False,92.58935225453095
16,9,128,2,4,4,512,155,0.23797837269776073,1.3347660022146528e-05,False,168.31573274912287
16,7,128,4,3,4,512,185,0.1210958928661969,2.164725336287562e-05,False,114.62423583835819
13,13,32,2,4,2,512,136,0.17394732642466315,1.2130075188090738e-05,False,77.77238395071666
20,20,128,4,3,7,512,216,0.2421345415509657,1.9508037324773708e-05,False,16.900164440012297
22,20,128,4,2,7,256,215,0.06415658156299137,2.1238229866964783e-05,False,63.039929258038626
30,23,128,2,3,7,512,228,0.23947364812551755,2.5989229408206903e-05,False,16.526396656116876
30,24,128,2,3,7,512,291,0.18550237498970484,2.7708601102189077e-05,False,21.437944007628104
30,22,128,4,3,7,512,255,0.22374486764029292,2.6389317077041134e-05,True,16.657569660367592
30,26,128,8,4,5,512,269,0.14492726233018077,2.5832078732663942e-05,True,78.9939327988522
26,22,128,4,5,5,512,334,0.1991414681415225,3.790583222709259e-05,True,77.45599869574657
28,23,128,4,3,7,512,197,0.24680434826431186,1.865265731182058e-05,True,15.885643586962303
28,22,128,4,3,7,512,185,0.22509899656548363,2.5757656916840258e-05,True,20.023460161888792
28,27,128,4,4,7,512,10,0.2608594068250364,3.263172352695219e-05,True,92.16318874881212
24,22,128,4,3,8,512,239,0.21744748777732553,2.8137247793330293e-05,True,142.9963165100961
28,18,64,2,2,6,512,268,0.2626504100241812,1.8170086497535833e-05,True,13.736819052499794
27,14,64,2,2,6,1024,295,0.2982727453683502,1.709365648419698e-05,True,20.548630342245655
24,18,64,2,2,5,512,197,0.26085000620732907,1.9366400747435288e-05,True,15.724023677184675
24,18,64,2,2,5,512,194,0.26079781989547696,1.5255077077057528e-05,True,13.032839446478153
24,18,64,2,2,4,512,150,0.26934470232617613,1.4749738308634028e-05,True,21.60991171014536
24,12,64,2,2,5,512,122,0.1664439473235509,1.5485537761602513e-05,True,33.03534098409908
23,18,64,2,2,5,512,182,0.26203103182321535,1.9364397960744605e-05,True,13.688723159290955
23,18,64,2,2,5,512,175,0.26561285484658,1.991566198959793e-05,True,13.087658925628839
19,16,64,2,2,4,512,173,0.2724585693403422,1.7332276674068404e-05,True,14.017141125367905
22,17,64,2,2,5,512,104,0.29496358297842623,2.2529563554820567e-05,True,20.412787489797434
23,19,64,2,2,4,1024,164,0.2592430227330805,1.4473013240319152e-05,True,37.17143973769099
25,15,64,8,8,6,512,104,0.2088229850251663,2.054937041559933e-05,True,73.3287428412106
18,17,64,2,2,5,512,133,0.279482739926239,1.5941235510033332e-05,True,18.7358348136223
22,19,64,2,6,6,1024,245,0.08762800342255908,2.3369828550240247e-05,True,90.88658117156251
20,15,64,2,4,3,512,309,0.18591651981965118,1.7857001148992968e-05,True,17.726706027603058
26,12,64,8,2,6,256,271,0.2992825882835758,1.429289854746169e-05,True,13.652144898596843
26,12,64,8,2,6,256,274,0.28759249955954014,1.4422626791735173e-05,True,17.791886826950424
27,10,64,8,2,5,256,322,0.2974022272992293,1.2586080779267228e-05,True,21.9068243677668
25,16,64,8,3,6,256,205,0.2565017943243906,1.1100382702531814e-05,True,14.090701756004107
23,17,32,8,2,5,256,174,0.2748575586237118,1.6314134832253418e-05,True,28.085231154194503
27,14,64,2,3,6,256,349,0.23270617809862978,1.3508859848887146e-05,True,14.523910430089831
25,20,64,2,2,4,1024,245,0.24810209710381437,2.001948529658747e-05,True,47.61878223134772
21,7,64,8,3,5,256,149,0.28167484004423304,1.797507572676626e-05,True,17.231408209293978
29,21,32,2,2,6,512,277,0.2664211728350837,2.3853595511046017e-05,True,27.619127956341107
23,18,64,2,6,4,512,226,0.02109759698275518,1.1473474908785203e-05,True,24.167313436565397
12,11,64,2,2,5,256,210,0.2859282884255408,4.805239844359335e-05,True,29.38811887927968
17,16,64,2,2,4,512,176,0.27465894070480357,1.6866289595509073e-05,True,16.052269788203436
21,16,64,2,2,2,512,163,0.24682779958528078,1.76685224080301e-05,True,16.928456810994877
19,14,64,2,3,3,512,136,0.2679064587998812,1.8998931950529155e-05,True,15.336007287643849
19,19,64,2,2,4,512,200,0.25403103753697676,1.5093894939022782e-05,True,24.315213667465198
25,13,64,8,3,6,512,85,0.23628627857208062,1.3986469973990448e-05,True,38.57715473377593
15,17,32,2,2,5,512,179,0.2179182217216477,2.0751269457022655e-05,True,51.70938301138121
29,21,64,2,3,5,512,256,0.2992352268091919,1.641719639819908e-05,False,16.91034821312387
20,18,64,2,5,6,512,231,0.2838615480062273,1.2858208187988294e-05,True,18.732679925656058
26,30,64,8,2,4,1024,163,0.2726192827318078,2.1827833332504005e-05,True,42.454330310419344
7,9,64,2,7,3,512,305,0.22859797698148315,1.5428461462219733e-05,True,12.671242830201129
7,8,64,2,6,3,512,314,0.22756741865811986,1.852857698377725e-05,True,44.57637281526544
13,9,64,2,7,3,512,291,0.26482486804594957,1.5768912315004008e-05,True,16.21712424398399
11,10,64,2,8,2,512,339,0.24131850775377817,1.7188951154710636e-05,True,73.77370954799277
9,15,64,2,8,4,512,189,0.25223888396674576,1.3885403869131753e-05,True,27.285472131850653
22,12,64,2,5,5,512,298,0.2931121728159726,1.9789003602882258e-05,False,16.00090413422164
17,21,32,2,7,3,512,365,0.13320374089218665,1.5371749833228737e-05,True,65.54624871001865
23,8,64,2,2,2,256,217,0.20054080286541842,2.4448261370729768e-05,True,30.150680243344404
27,19,64,2,3,6,512,279,0.2892645742881766,1.1913963070605602e-05,True,28.40019125303558
28,16,64,8,2,5,512,262,0.27754485057589057,1.861700967212015e-05,True,20.445864546869128
29,18,64,2,2,4,512,307,0.21236063700781976,1.6703867260706056e-05,False,30.408098700638735
25,16,64,8,3,6,256,208,0.2578154343702354,1.3307788305303694e-05,True,13.052222961092417
24,13,64,8,4,7,256,193,0.2528225637132507,1.3204666570891522e-05,True,18.065631281160588
26,11,64,8,2,6,256,121,0.26659789182216115,1.451599120062087e-05,True,63.65537552850338
