in_len,out_len,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,batch_size,dropout,lr,year,sMAPE,sMAPE2,MAPE
12,29,32,8,4,2,1024,61,0.024950500900048,2.403203728396671e-05,False,12.63354369858114,13.444066054620865,14.699757809647343
14,29,32,8,4,2,1024,68,0.010038066112551,2.126029213369543e-05,False,12.775561334308158,12.350959953901606,11.999947166390749
16,28,32,8,5,3,1024,19,0.0004427321128716,4.03452391502692e-05,False,12.934295256283155,15.04162153642293,14.083775707094079
15,30,32,8,4,3,1024,19,0.0002919368393513,1.5336889410040097e-05,False,12.985579459793254,10.742723255804178,10.930852764696361
10,22,32,8,8,4,1024,93,0.0736649625818496,2.5859679466328587e-05,True,13.176824092025512,15.900672090496226,14.477402684011661
14,30,32,8,4,2,1024,11,0.0179598030414915,1.5167726583477533e-05,False,13.314499761243964,12.770073274470588,11.91125643168583
15,28,32,8,4,3,256,7,0.0140706368596061,1.303146309349317e-05,False,13.621100728307574,14.53066220474703,15.722221941849115
13,29,32,8,4,2,1024,63,0.0121238924990803,2.7207776183655532e-05,False,13.710564158712572,12.816914030590798,12.675795288696731
18,27,32,8,5,5,1024,18,0.0522584658060158,4.952265461399795e-05,True,13.711978648447737,9.275537471611116,9.017776217191397
13,30,32,8,4,3,1024,44,0.0472530928262396,1.0692811247384763e-05,False,14.09759818228617,11.843509053612236,12.180626642451136
16,28,32,8,4,4,1024,9,0.043729308001247,1.6866100513464337e-05,True,14.25092435170491,14.865250098614657,13.604574771793121
12,28,64,8,6,2,1024,75,0.023960758970711,2.145543716199729e-05,False,14.270991486141584,18.4672309929647,21.300301750606014
