in_len,out_len,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,batch_size,dropout,lr,year,sMAPE,sMAPE2,MAPE
7,9,64,2,7,3,512,305,0.2285979769814831,1.5428461462219733e-05,True,12.671242830201129,15.725148944449662,14.86506376806582
24,18,64,2,2,5,512,194,0.2607978198954769,1.5255077077057528e-05,True,13.032839446478151,17.618747796174212,18.733994275251714
25,16,64,8,3,6,256,208,0.2578154343702354,1.3307788305303694e-05,True,13.052222961092417,15.442112470611063,15.003309328760784
23,18,64,2,2,5,512,175,0.26561285484658,1.991566198959793e-05,True,13.08765892562884,17.48900817005998,18.4093871623181
26,12,64,8,2,6,256,271,0.2992825882835758,1.429289854746169e-05,True,13.652144898596845,14.205415003462162,13.771971847884496
23,18,64,2,2,5,512,182,0.2620310318232153,1.9364397960744605e-05,True,13.688723159290957,19.46554136732247,21.08121457194702
28,18,64,2,2,6,512,268,0.2626504100241812,1.8170086497535836e-05,True,13.736819052499794,17.498895182164826,18.152201710621156
19,16,64,2,2,4,512,173,0.2724585693403422,1.7332276674068404e-05,True,14.017141125367903,18.920109494417378,19.873964864473624
25,16,64,8,3,6,256,205,0.2565017943243906,1.1100382702531814e-05,True,14.090701756004108,15.887826261805662,15.528772119725707
27,14,64,2,3,6,256,349,0.2327061780986297,1.3508859848887146e-05,True,14.523910430089831,22.007927078940952,26.17808973419054
19,14,64,2,3,3,512,136,0.2679064587998812,1.8998931950529155e-05,True,15.336007287643849,19.361292001745596,20.782674558008956
24,18,64,2,2,5,512,197,0.260850006207329,1.9366400747435288e-05,True,15.724023677184675,17.275478365748068,18.310753845719667
28,23,128,4,3,7,512,197,0.2468043482643118,1.865265731182058e-05,True,15.885643586962304,17.922575211232907,18.900829435721374
22,12,64,2,5,5,512,298,0.2931121728159726,1.9789003602882258e-05,False,16.00090413422164,22.935968078140352,26.365055518905383
17,16,64,2,2,4,512,176,0.2746589407048035,1.6866289595509073e-05,True,16.052269788203436,17.996719753346742,18.938863113793705
13,9,64,2,7,3,512,291,0.2648248680459495,1.5768912315004008e-05,True,16.21712424398399,17.596719041328125,16.20258886105313
30,23,128,2,3,7,512,228,0.2394736481255175,2.5989229408206903e-05,False,16.526396656116876,101.45725046288932,281.34252592882166
30,22,128,4,3,7,512,255,0.2237448676402929,2.638931707704113e-05,True,16.657569660367592,55.14401089226023,82.46622059014375
20,20,128,4,3,7,512,216,0.2421345415509657,1.9508037324773708e-05,False,16.900164440012297,120.57540134458753,1466.2879281803437
29,21,64,2,3,5,512,256,0.2992352268091919,1.641719639819908e-05,False,16.91034821312387,17.88773705362918,19.459439645950592
28,19,64,4,7,4,512,286,0.0504942568909012,3.377044764465258e-05,True,10.420058367223684,18.522037633716952,20.818057521404874
24,21,64,4,7,4,512,341,0.0733697260218266,4.1290307060409664e-05,True,11.992274950625577,16.90995750083936,15.754812603753809
26,28,32,4,6,6,512,97,0.0756071974988951,2.7304540149720875e-05,False,12.620354059449904,11.994217135145457,11.989050200791478
28,22,64,4,7,4,512,281,0.0225066469599886,3.939906303126876e-05,True,13.694262486613509,18.589082241161854,16.34485401331463
22,30,32,4,6,6,512,54,0.0767812707899024,3.1152884314851444e-05,False,13.926894534032847,16.358865233599257,18.44311158985778
26,23,64,4,6,4,512,312,0.0344241613536833,4.2843930785278974e-05,True,14.381088333828396,16.65373439441583,18.80141501969122
30,19,64,4,7,4,512,273,0.0235889509462333,3.76690030409088e-05,True,14.531665627333748,26.366960186180144,31.955417081429218
27,26,64,4,8,6,512,91,0.0819113341227846,3.15836611824859e-05,False,14.73367948363293,13.725936252988841,12.813515188466354
30,29,64,4,7,6,512,103,0.0806339116759814,3.2162632764986385e-05,False,14.79524760612014,15.757631045337254,15.4572274982827
30,28,64,4,7,5,512,133,0.0819265294779699,3.185560872218325e-05,False,15.03611079439712,19.85330489193047,17.642149662469397
29,25,64,4,7,5,512,312,0.0521261800746614,3.843953951944244e-05,False,15.447380772111943,19.023870266868244,16.561158042860757
30,29,64,4,7,7,512,112,0.0977945969209452,3.2917786818960466e-05,False,15.652662174901048,22.69885480682295,19.255177446104195
28,21,64,4,7,4,512,292,0.0335047170906693,4.223424012358275e-05,True,16.2937186697906,16.538692383250382,15.311614939650852
24,16,64,4,7,5,1024,348,0.027363169175879,3.590848266682254e-05,True,16.372088717299814,36.97307614498027,47.579259558954526
15,21,64,4,8,3,512,298,0.001498524123319,2.9775634511986053e-05,True,16.447540379640873,17.27594959709967,16.552029865745677
28,27,64,8,8,6,512,74,0.0682054752938975,3.4773044498070234e-05,False,16.616163085734044,12.470799432316378,11.47707829905689
29,21,64,4,7,4,512,257,0.030895525269203,4.696415607270205e-05,True,16.807109443884038,18.249665450529275,17.254567904026555
18,25,64,4,7,4,512,198,0.0116167324815198,3.0380765841991027e-05,True,17.84124635107783,15.01786561648209,14.963346724796523
30,18,64,4,8,4,512,272,0.0602391309529513,4.986151566110451e-05,True,17.927533454071234,46.90440705971932,65.43602973830163
7,26,128,4,8,4,512,347,0.0298924683058735,4.30713478138035e-05,True,18.077444973330135,15.388056451415363,15.478456555360667
16,26,32,8,7,4,1024,25,0.0019628713660598,1.1167191121345314e-05,True,9.791918914624157,10.979946839607425,11.323742209295128
16,29,32,8,5,2,1024,48,0.0009220969991334,2.376568039489521e-05,False,9.990415513928024,11.758811488467384,12.629492495880587
12,30,32,8,5,2,1024,10,0.0142841703422985,1.0137754558325512e-05,False,10.564068782473733,27.703476101896907,22.94236273052212
14,30,32,8,4,2,1024,7,0.0042877967393588,1.667045288857003e-05,False,10.957570336453054,11.923365044428555,12.803986521513334
11,28,32,8,4,2,1024,25,0.036670225224458,2.506099355519992e-05,False,11.148165428552437,13.575428436414427,14.840947702946863
12,29,32,8,4,2,1024,63,0.0245187915678838,2.4169490561848757e-05,False,11.794256426230932,11.67270863077641,11.527500025034467
15,29,32,8,4,3,1024,26,0.0024568967113377,1.7370801799733654e-05,False,11.9681065591457,11.590519042013655,11.128026771578924
12,29,32,8,4,3,1024,66,0.004844027018255,2.0287695644415543e-05,False,12.380176449434876,14.768027313482213,16.54079718225832
