in_len,out_len,d_model,nhead,num_encoder_layers,num_decoder_layers,dim_feedforward,batch_size,dropout,lr,year,sMAPE,sMAPE2,MAPE
20,20,128,4,3,7,512,216,0.2421345415509657,1.9508037324773708e-05,False,16.900164440012297,111.1449433838726,746.1133359834165
29,21,64,2,3,5,512,256,0.2992352268091919,1.641719639819908e-05,False,16.91034821312387,18.159345901822693,19.771374630777974
28,19,64,4,7,4,512,286,0.0504942568909012,3.377044764465258e-05,True,10.420058367223684,19.29883468539819,17.755748540530476
24,21,64,4,7,4,512,341,0.0733697260218266,4.1290307060409664e-05,True,11.992274950625577,21.28073957682973,18.27576944424997
26,28,32,4,6,6,512,97,0.0756071974988951,2.7304540149720875e-05,False,12.620354059449904,11.828770683234138,12.353449853147305
28,22,64,4,7,4,512,281,0.0225066469599886,3.939906303126876e-05,True,13.694262486613509,19.66938393622927,22.907237980940064
22,30,32,4,6,6,512,54,0.0767812707899024,3.1152884314851444e-05,False,13.926894534032847,15.650583320947634,17.629178824905722
26,23,64,4,6,4,512,312,0.0344241613536833,4.2843930785278974e-05,True,14.381088333828396,20.0961931217168,23.485846582988618
30,19,64,4,7,4,512,273,0.0235889509462333,3.76690030409088e-05,True,14.531665627333748,22.76453056927045,22.05072791360835
27,26,64,4,8,6,512,91,0.0819113341227846,3.15836611824859e-05,False,14.73367948363293,12.151345674670969,12.365071479100614
30,29,64,4,7,6,512,103,0.0806339116759814,3.2162632764986385e-05,False,14.79524760612014,12.727625039831386,13.446964162855481
30,28,64,4,7,5,512,133,0.0819265294779699,3.185560872218325e-05,False,15.03611079439712,18.553010556304553,18.079581006712083
29,25,64,4,7,5,512,312,0.0521261800746614,3.843953951944244e-05,False,15.447380772111943,19.447446939036553,17.042554341985262
30,29,64,4,7,7,512,112,0.0977945969209452,3.2917786818960466e-05,False,15.652662174901048,20.182860194371248,17.637003236057563
28,21,64,4,7,4,512,292,0.0335047170906693,4.223424012358275e-05,True,16.2937186697906,17.75496552332848,17.200412187763877
24,16,64,4,7,5,1024,348,0.027363169175879,3.590848266682254e-05,True,16.372088717299814,13.939498436449565,15.45257208141362
15,21,64,4,8,3,512,298,0.001498524123319,2.9775634511986053e-05,True,16.447540379640873,18.395144163424888,16.047238170050292
28,27,64,8,8,6,512,74,0.0682054752938975,3.4773044498070234e-05,False,16.616163085734044,9.356729861883748,9.307968819483637
29,21,64,4,7,4,512,257,0.030895525269203,4.696415607270205e-05,True,16.807109443884038,21.750838847323507,19.36103142572392
18,25,64,4,7,4,512,198,0.0116167324815198,3.0380765841991027e-05,True,17.84124635107783,15.783202221148402,16.278048888231925
30,18,64,4,8,4,512,272,0.0602391309529513,4.986151566110451e-05,True,17.927533454071234,17.42357554243419,16.907565276067867
7,26,128,4,8,4,512,347,0.0298924683058735,4.30713478138035e-05,True,18.077444973330135,12.649256415133129,12.833662261048442
16,26,32,8,7,4,1024,25,0.0019628713660598,1.1167191121345314e-05,True,9.791918914624157,9.791918914624157,10.131750355410185
16,29,32,8,5,2,1024,48,0.0009220969991334,2.376568039489521e-05,False,9.990415513928024,16.269268914688258,18.089774589275052
12,30,32,8,5,2,1024,10,0.0142841703422985,1.0137754558325512e-05,False,10.564068782473733,11.616192335449837,10.711867549649885
14,30,32,8,4,2,1024,7,0.0042877967393588,1.667045288857003e-05,False,10.957570336453054,10.957570336453054,10.776568698706901
11,28,32,8,4,2,1024,25,0.036670225224458,2.506099355519992e-05,False,11.148165428552437,13.427347817021904,14.593953794867485
12,29,32,8,4,2,1024,63,0.0245187915678838,2.4169490561848757e-05,False,11.794256426230932,11.049657963478401,11.367053116755066
15,29,32,8,4,3,1024,26,0.0024568967113377,1.7370801799733654e-05,False,11.9681065591457,10.798631537789111,11.422587850355349
